,TRIMA_monthly_10
2022-04-04,18.4073
2022-03-31,18.3948
2022-02-28,18.4541
2022-01-31,18.5868
2021-12-31,18.7660
2021-11-30,18.8345
2021-10-29,18.7019
2021-09-30,18.2074
2021-08-31,17.3537
2021-07-30,16.1444
2021-06-30,14.7086
2021-05-28,13.1684
2021-04-30,11.6762
2021-03-31,10.3249
2021-02-26,9.2179
2021-01-29,8.4066
2020-12-31,7.8329
2020-11-30,7.5804
2020-10-30,7.6379
2020-09-30,7.8556
2020-08-31,8.1322
2020-07-31,8.4416
2020-06-30,8.7152
2020-05-29,8.7918
2020-04-30,8.7484
2020-03-31,8.7000
2020-02-28,8.6797
2020-01-31,8.6618
2019-12-31,8.7412
2019-11-29,8.9631
2019-10-31,9.2104
2019-09-30,9.3813
2019-08-30,9.5224
2019-07-31,9.6288
2019-06-28,9.6921
2019-05-31,9.7274
2019-04-30,9.8281
2019-03-29,10.0055
2019-02-28,10.2216
2019-01-31,10.4416
2018-12-31,10.6422
2018-11-30,10.7984
2018-10-31,10.8591
2018-09-28,10.8780
2018-08-31,10.8585
2018-07-31,10.8087
2018-06-29,10.7930
2018-05-31,10.7489
2018-04-30,10.6981
2018-03-29,10.6493
2018-02-28,10.5911
2018-01-31,10.5870
2017-12-29,10.6266
2017-11-30,10.7358
2017-10-31,10.8642
2017-09-29,11.0150
2017-08-31,11.0933
2017-07-31,10.9760
2017-06-30,10.6528
2017-05-31,10.1578
2017-04-28,9.5284
2017-03-31,8.7547
2017-02-28,8.0540
2017-01-31,7.4923
2016-12-30,7.0413
2016-11-30,6.6898
2016-10-31,6.4677
2016-09-30,6.3586
2016-08-31,6.2548
2016-07-29,6.1957
2016-06-30,6.2201
2016-05-31,6.3541
2016-04-29,6.5644
2016-03-31,6.8855
2016-02-29,7.3092
2016-01-29,7.7996
2015-12-31,8.2658
2015-11-30,8.6764
2015-10-30,8.9794
2015-09-30,9.1806
2015-08-31,9.2633
2015-07-31,9.2656
2015-06-30,9.2132
2015-05-29,9.1420
2015-04-30,9.0525
2015-03-31,8.9216
2015-02-27,8.7769
2015-01-30,8.6403
2014-12-31,8.5256
2014-11-28,8.4039
2014-10-31,8.3142
2014-09-30,8.2876
2014-08-29,8.2975
2014-07-31,8.2975
2014-06-30,8.3138
2014-05-30,8.3556
2014-04-30,8.3871
2014-03-31,8.3556
2014-02-28,8.2961
2014-01-31,8.1796
2013-12-31,8.0140
2013-11-29,7.7728
2013-10-31,7.4838
2013-09-30,7.1643
2013-08-30,6.8185
2013-07-31,6.4878
2013-06-28,6.1588
2013-05-31,5.8796
2013-04-30,5.6540
2013-03-28,5.4921
2013-02-28,5.3377
2013-01-31,5.2061
2012-12-31,5.1114
2012-11-30,5.0279
2012-10-31,4.9486
2012-09-28,4.8712
2012-08-31,4.8124
2012-07-31,4.7413
2012-06-29,4.6343
2012-05-31,4.5173
2012-04-30,4.4318
2012-03-30,4.3937
