,TRIMA_monthly_10
2022-04-04,184.5664
2022-03-31,192.0145
2022-02-28,197.0845
2022-01-31,199.3417
2021-12-31,198.0873
2021-11-30,193.1012
2021-10-29,186.4448
2021-09-30,178.5768
2021-08-31,170.5065
2021-07-30,161.6734
2021-06-30,153.5610
2021-05-28,146.3566
2021-04-30,140.1651
2021-03-31,134.6260
2021-02-26,130.0519
2021-01-29,126.5155
2020-12-31,122.7552
2020-11-30,118.9133
2020-10-30,115.8009
2020-09-30,113.3433
2020-08-31,111.3147
2020-07-31,110.2505
2020-06-30,110.3765
2020-05-29,110.4404
2020-04-30,109.9498
2020-03-31,109.0145
2020-02-28,107.3950
2020-01-31,105.0099
2019-12-31,102.4203
2019-11-29,100.1414
2019-10-31,97.6299
2019-09-30,95.2772
2019-08-30,93.1251
2019-07-31,91.0863
2019-06-28,89.6286
2019-05-31,89.2380
2019-04-30,90.1408
2019-03-29,91.8094
2019-02-28,94.4558
2019-01-31,97.3387
2018-12-31,99.7297
2018-11-30,101.2424
2018-10-31,101.8285
2018-09-28,101.4319
2018-08-31,99.9924
2018-07-31,97.9788
2018-06-29,95.5802
2018-05-31,92.6031
2018-04-30,89.1159
2018-03-29,85.2820
2018-02-28,81.1202
2018-01-31,76.8287
2017-12-29,72.6905
2017-11-30,69.0166
2017-10-31,65.7973
2017-09-29,63.5511
2017-08-31,62.0490
2017-07-31,61.0063
2017-06-30,60.3009
2017-05-31,59.9913
2017-04-28,59.7480
2017-03-31,59.3360
2017-02-28,59.2005
2017-01-31,59.4277
2016-12-30,59.8971
2016-11-30,60.2630
2016-10-31,60.7027
2016-09-30,61.0196
2016-08-31,60.9931
2016-07-29,60.7795
2016-06-30,60.4664
2016-05-31,60.2233
2016-04-29,60.1916
2016-03-31,60.3580
2016-02-29,60.6406
2016-01-29,61.1856
2015-12-31,61.9150
2015-11-30,62.7133
2015-10-30,63.3340
2015-09-30,63.9953
2015-08-31,64.5287
2015-07-31,64.7749
2015-06-30,64.7202
2015-05-29,64.6367
2015-04-30,64.3685
2015-03-31,64.0443
2015-02-27,63.7017
2015-01-30,63.4291
2014-12-31,63.3017
2014-11-28,63.2062
2014-10-31,63.1714
2014-09-30,63.1704
2014-08-29,63.1427
2014-07-31,62.8926
2014-06-30,62.3723
2014-05-30,61.5518
2014-04-30,60.6692
2014-03-31,59.5447
2014-02-28,58.4261
2014-01-31,57.4507
2013-12-31,56.8324
2013-11-29,56.3242
2013-10-31,55.9909
2013-09-30,55.5717
2013-08-30,54.9712
2013-07-31,54.0807
2013-06-28,52.8484
2013-05-31,51.4465
2013-04-30,49.9591
2013-03-28,48.7027
2013-02-28,47.4905
2013-01-31,46.5511
2012-12-31,45.9285
2012-11-30,45.6009
2012-10-31,45.2813
2012-09-28,44.9893
2012-08-31,44.7230
2012-07-31,44.1606
2012-06-29,43.1711
2012-05-31,42.0568
2012-04-30,41.0639
2012-03-30,40.1714
2012-02-29,39.6835
2012-01-31,39.8930
2011-12-30,40.7458
2011-11-30,41.9473
2011-10-31,43.2862
2011-09-30,44.5700
2011-08-31,45.4653
2011-07-29,45.7032
2011-06-30,45.2328
2011-05-31,43.9992
2011-04-29,42.2496
2011-03-31,40.1424
2011-02-28,38.0402
2011-01-31,36.3776
2010-12-31,35.3772
2010-11-30,34.9575
2010-10-29,35.0468
2010-09-30,35.5524
2010-08-31,35.9940
2010-07-30,36.1166
2010-06-30,35.8623
2010-05-28,35.4511
2010-04-30,34.7659
2010-03-31,33.8264
2010-02-26,32.9002
2010-01-29,31.9551
2009-12-31,30.7491
2009-11-30,29.0951
2009-10-30,27.2708
2009-09-30,25.4947
2009-08-31,23.8066
2009-07-31,22.5242
2009-06-30,22.3174
2009-05-29,23.3756
2009-04-30,25.3059
2009-03-31,27.8569
2009-02-27,30.9226
2009-01-30,33.8572
2008-12-31,35.8840
2008-11-28,36.9863
2008-10-31,37.4086
2008-09-30,37.3944
2008-08-29,37.0302
2008-07-31,36.8728
2008-06-30,37.0396
2008-05-30,37.4339
2008-04-30,37.7676
2008-03-31,37.8263
2008-02-29,37.5394
2008-01-31,36.8072
2007-12-31,35.8707
2007-11-30,34.7961
2007-10-31,33.8305
2007-09-28,32.9107
2007-08-31,32.1366
2007-07-31,31.4976
2007-06-29,30.9773
2007-05-31,30.4942
2007-04-30,30.0445
2007-03-30,29.6418
2007-02-28,29.2122
2007-01-31,28.6574
2006-12-29,27.9689
2006-11-30,27.3047
2006-10-31,26.7047
2006-09-29,26.1480
2006-08-31,25.6261
2006-07-31,25.0910
2006-06-30,24.5384
2006-05-31,23.9035
2006-04-28,23.1975
2006-03-31,22.4679
2006-02-28,21.8092
2006-01-31,21.1801
2005-12-30,20.6367
2005-11-30,20.1855
2005-10-31,19.7667
2005-09-30,19.4758
2005-08-31,19.2908
2005-07-29,19.1764
2005-06-30,18.9899
2005-05-31,18.7477
2005-04-29,18.3659
2005-03-31,17.8644
2005-02-28,17.2402
2005-01-31,16.6585
2004-12-31,16.2336
2004-11-30,15.9858
2004-10-29,15.9266
2004-09-30,15.9528
2004-08-31,15.9629
2004-07-30,15.8343
2004-06-30,15.5417
2004-05-28,15.0816
2004-04-30,14.5312
2004-03-31,13.9443
2004-02-27,13.4108
2004-01-30,12.9013
2003-12-31,12.3501
2003-11-28,11.7461
2003-10-31,11.1000
2003-09-30,10.4006
2003-08-29,9.7434
2003-07-31,9.2096
2003-06-30,8.8288
2003-05-30,8.6174
2003-04-30,8.5179
2003-03-31,8.5415
2003-02-28,8.6468
2003-01-31,8.8436
2002-12-31,9.1563
2002-11-29,9.5832
2002-10-31,10.0606
2002-09-30,10.4991
2002-08-30,10.8242
2002-07-31,10.9340
2002-06-28,10.8298
2002-05-31,10.5934
2002-04-30,10.3415
2002-03-28,10.1603
2002-02-28,10.1024
2002-01-31,10.2119
2001-12-31,10.3668
2001-11-30,10.5013
2001-10-31,10.6195
2001-09-28,10.7358
2001-08-31,10.7800
2001-07-31,10.9229
2001-06-29,11.2378
2001-05-31,11.6377
2001-04-30,12.0088
2001-03-30,12.3844
2001-02-28,12.6584
2001-01-31,12.6927
2000-12-29,12.5593
2000-11-30,12.2864
2000-10-31,11.9916
2000-09-29,11.6250
