,TRIMA_monthly_10
2022-04-04,29.9293
2022-03-31,31.1710
2022-02-28,32.4343
2022-01-31,33.6773
2021-12-31,34.9867
2021-11-30,36.0433
2021-10-29,36.3797
2021-09-30,35.9457
2021-08-31,34.9867
2021-07-30,33.3257
2021-06-30,31.0893
2021-05-28,28.8327
2021-04-30,26.7337
2021-03-31,24.6813
2021-02-26,22.7330
2021-01-29,21.1640
2020-12-31,19.7213
2020-11-30,18.6407
2020-10-30,18.2080
2020-09-30,18.5417
2020-08-31,19.3327
2020-07-31,20.7213
2020-06-30,22.5727
2020-05-29,24.1187
2020-04-30,25.1867
2020-03-31,25.7967
2020-02-28,25.9217
2020-01-31,25.6193
2019-12-31,25.3720
2019-11-29,25.4323
2019-10-31,25.9430
2019-09-30,26.9083
2019-08-30,28.3600
2019-07-31,30.0843
2019-06-28,31.9360
2019-05-31,34.0257
2019-04-30,36.1703
2019-03-29,38.1727
2019-02-28,39.9657
2019-01-31,41.4103
2018-12-31,42.2027
2018-11-30,42.2187
2018-10-31,41.5133
2018-09-28,40.3767
2018-08-31,38.8657
2018-07-31,36.9610
2018-06-29,34.9940
2018-05-31,32.8750
2018-04-30,30.5883
2018-03-29,28.0983
2018-02-28,25.7250
2018-01-31,23.7323
2017-12-29,22.2300
2017-11-30,21.3980
2017-10-31,21.3483
2017-09-29,22.0383
2017-08-31,23.2073
2017-07-31,24.7333
2017-06-30,26.4317
2017-05-31,28.2257
2017-04-28,29.8003
2017-03-31,30.9180
2017-02-28,31.5810
2017-01-31,31.7810
2016-12-30,31.6060
2016-11-30,31.0070
2016-10-31,30.2067
2016-09-30,29.3503
2016-08-31,28.3940
2016-07-29,27.4280
2016-06-30,26.6503
2016-05-31,26.2523
2016-04-29,26.3373
2016-03-31,27.0350
2016-02-29,28.1893
2016-01-29,29.8487
2015-12-31,31.9047
2015-11-30,33.9060
2015-10-30,35.5737
2015-09-30,36.8463
2015-08-31,37.6690
2015-07-31,37.6267
2015-06-30,37.0160
2015-05-29,36.3583
2015-04-30,35.7253
2015-03-31,35.1187
2015-02-27,34.8747
2015-01-30,35.1055
2014-12-31,35.3010
2014-11-28,35.3892
2014-10-31,35.5227
2014-09-30,35.7242
2014-08-29,35.9325
2014-07-31,36.2227
2014-06-30,36.6012
2014-05-30,37.1263
2014-04-30,37.7682
2014-03-31,38.3307
2014-02-28,38.9160
2014-01-31,39.6100
2013-12-31,40.2200
2013-11-29,40.5583
2013-10-31,40.8007
2013-09-30,40.9173
2013-08-30,40.7743
2013-07-31,40.3760
2013-06-28,39.9853
2013-05-31,39.4873
2013-04-30,38.6097
2013-03-28,37.4807
2013-02-28,36.2170
2013-01-31,34.7663
2012-12-31,33.1333
2012-11-30,31.6037
2012-10-31,30.3313
2012-09-28,29.3823
2012-08-31,28.6267
2012-07-31,28.0957
2012-06-29,27.6430
2012-05-31,27.2515
2012-04-30,27.0623
2012-03-30,26.9258
2012-02-29,26.9623
2012-01-31,27.3662
2011-12-30,28.0945
2011-11-30,29.0283
2011-10-31,29.9852
2011-09-30,31.0813
2011-08-31,32.2812
2011-07-29,33.2077
2011-06-30,33.7810
2011-05-31,34.0430
2011-04-29,33.9943
2011-03-31,33.6540
2011-02-28,33.2867
2011-01-31,33.0913
2010-12-31,33.3857
2010-11-30,33.7980
2010-10-29,34.2380
2010-09-30,34.7477
2010-08-31,34.8763
2010-07-30,34.5780
2010-06-30,33.9537
2010-05-28,33.2233
2010-04-30,32.2220
2010-03-31,30.9060
2010-02-26,29.4220
2010-01-29,27.8050
2009-12-31,25.8537
2009-11-30,23.7603
2009-10-30,21.8550
2009-09-30,20.1267
2009-08-31,18.7197
2009-07-31,17.8477
2009-06-30,17.8853
2009-05-29,18.8377
2009-04-30,20.5680
2009-03-31,22.9137
2009-02-27,25.6517
2009-01-30,28.2900
2008-12-31,30.2783
2008-11-28,31.4577
2008-10-31,31.9630
2008-09-30,31.8700
2008-08-29,31.1603
2008-07-31,30.1687
2008-06-30,29.0867
2008-05-30,27.9423
2008-04-30,26.6310
2008-03-31,25.4117
2008-02-29,24.5043
2008-01-31,23.9317
2007-12-31,23.7120
2007-11-30,23.8543
2007-10-31,24.2490
2007-09-28,24.5977
2007-08-31,24.7867
2007-07-31,24.5433
2007-06-29,23.9430
2007-05-31,22.8937
2007-04-30,21.5517
2007-03-30,20.1683
2007-02-28,18.9367
2007-01-31,18.1880
2006-12-29,17.9710
2006-11-30,18.4937
2006-10-31,19.6240
2006-09-29,21.1387
2006-08-31,22.8747
2006-07-31,24.5543
2006-06-30,25.9823
2006-05-31,26.9783
2006-04-28,27.8152
2006-03-31,28.3418
2006-02-28,28.5562
2006-01-31,28.4045
2005-12-30,28.0813
2005-11-30,27.4222
2005-10-31,26.3512
2005-09-30,25.2167
2005-08-31,24.1055
2005-07-29,23.1178
2005-06-30,22.1385
2005-05-31,21.2810
2005-04-29,20.4228
2005-03-31,19.5129
2005-02-28,18.4092
2005-01-31,17.2332
2004-12-31,16.0731
2004-11-30,14.9776
2004-10-29,13.9562
2004-09-30,12.9868
2004-08-31,12.1837
2004-07-30,11.4462
2004-06-30,10.6663
2004-05-28,9.8862
2004-04-30,9.1331
2004-03-31,8.3530
2004-02-27,7.4936
2004-01-30,6.6646
2003-12-31,5.8706
2003-11-28,5.1224
2003-10-31,4.4532
2003-09-30,3.9191
2003-08-29,3.5093
2003-07-31,3.1985
2003-06-30,3.0212
2003-05-30,2.9530
2003-04-30,2.9479
2003-03-31,3.0180
2003-02-28,3.1256
2003-01-31,3.2518
2002-12-31,3.3450
2002-11-29,3.4176
2002-10-31,3.4557
2002-09-30,3.4364
2002-08-30,3.3455
2002-07-31,3.1868
2002-06-28,2.9865
2002-05-31,2.7422
2002-04-30,2.4805
2002-03-28,2.2086
2002-02-28,1.9970
2002-01-31,1.8361
2001-12-31,1.7052
2001-11-30,1.6157
2001-10-31,1.5716
2001-09-28,1.5275
2001-08-31,1.4506
2001-07-31,1.3583
2001-06-29,1.2847
2001-05-31,1.2106
2001-04-30,1.1559
2001-03-30,1.1376
2001-02-28,1.1429
2001-01-31,1.1574
2000-12-29,1.2012
