,TRIMA_monthly_10
2022-04-04,67.6635
2022-03-31,69.7507
2022-02-28,71.5729
2022-01-31,73.5404
2021-12-31,75.3223
2021-11-30,76.6992
2021-10-29,77.6814
2021-09-30,78.5109
2021-08-31,78.9803
2021-07-30,78.3714
2021-06-30,77.3680
2021-05-28,76.0468
2021-04-30,74.0943
2021-03-31,71.2419
2021-02-26,68.1777
2021-01-29,65.1352
2020-12-31,62.0073
2020-11-30,59.5996
2020-10-30,58.6832
2020-09-30,59.8496
2020-08-31,62.3216
2020-07-31,66.0658
2020-06-30,70.7110
2020-05-29,74.9628
2020-04-30,78.1424
2020-03-31,79.9216
2020-02-28,80.7363
2020-01-31,80.6617
2019-12-31,80.0511
2019-11-29,79.3087
2019-10-31,78.6977
2019-09-30,77.6714
2019-08-30,76.2749
2019-07-31,74.7637
2019-06-28,73.4289
2019-05-31,72.4819
2019-04-30,72.3816
2019-03-29,72.7414
2019-02-28,73.4376
2019-01-31,73.8962
2018-12-31,73.6723
2018-11-30,72.7263
2018-10-31,71.1759
2018-09-28,69.4146
2018-08-31,67.4770
2018-07-31,65.7726
2018-06-29,64.2719
2018-05-31,62.7574
2018-04-30,60.9254
2018-03-29,58.8690
2018-02-28,56.5977
2018-01-31,54.2058
2017-12-29,51.9036
2017-11-30,49.8454
2017-10-31,47.9500
2017-09-29,46.4712
2017-08-31,45.4315
2017-07-31,44.6204
2017-06-30,44.1283
2017-05-31,44.1963
2017-04-28,44.6826
2017-03-31,45.3724
2017-02-28,46.2885
2017-01-31,47.4180
2016-12-30,48.5231
2016-11-30,49.4138
2016-10-31,50.0894
2016-09-30,50.5742
2016-08-31,50.8834
2016-07-29,51.0764
2016-06-30,51.2787
2016-05-31,51.6715
2016-04-29,52.4290
2016-03-31,53.3233
2016-02-29,54.2534
2016-01-29,55.2247
2015-12-31,56.1907
2015-11-30,56.8847
2015-10-30,57.1775
2015-09-30,57.4540
2015-08-31,57.7250
2015-07-31,57.6853
2015-06-30,57.2926
2015-05-29,56.7776
2015-04-30,55.9181
2015-03-31,54.6256
2015-02-27,53.1431
2015-01-30,51.7348
2014-12-31,50.5476
2014-11-28,49.4294
2014-10-31,48.5505
2014-09-30,47.9710
2014-08-29,47.4496
2014-07-31,46.8475
2014-06-30,46.0771
2014-05-30,45.0784
