,TRIMA_monthly_10
2022-04-04,47.2074
2022-03-31,47.3300
2022-02-28,47.5881
2022-01-31,47.9678
2021-12-31,48.4488
2021-11-30,48.9253
2021-10-29,49.4918
2021-09-30,49.3976
2021-08-31,48.6406
2021-07-30,47.0251
2021-06-30,44.8968
2021-05-28,42.3533
2021-04-30,39.9114
2021-03-31,38.0139
2021-02-26,36.8762
2021-01-29,36.6319
2020-12-31,37.0078
2020-11-30,37.9275
2020-10-30,39.0819
2020-09-30,40.5892
2020-08-31,42.3168
2020-07-31,44.0939
2020-06-30,45.9267
2020-05-29,47.6179
2020-04-30,48.9154
2020-03-31,49.5756
2020-02-28,49.5738
2020-01-31,49.2415
2019-12-31,48.9754
2019-11-29,49.1923
2019-10-31,50.0672
2019-09-30,51.6578
2019-08-30,54.3336
2019-07-31,57.5525
2019-06-28,60.4655
2019-05-31,62.7767
2019-04-30,64.5487
2019-03-29,65.0341
2019-02-28,64.0904
2019-01-31,62.4709
2018-12-31,60.7109
2018-11-30,59.0957
2018-10-31,57.9430
2018-09-28,57.8110
2018-08-31,58.3711
2018-07-31,59.1456
2018-06-29,60.2502
2018-05-31,61.4966
2018-04-30,62.5321
2018-03-29,63.4305
2018-02-28,64.5696
2018-01-31,65.9513
2017-12-29,67.1394
2017-11-30,68.3127
2017-10-31,69.3612
2017-09-29,70.3021
2017-08-31,70.7696
2017-07-31,70.9631
2017-06-30,70.9503
2017-05-31,70.7406
2017-04-28,70.3288
2017-03-31,69.8259
2017-02-28,69.2254
2017-01-31,68.5971
2016-12-30,68.2306
2016-11-30,67.8903
2016-10-31,67.5494
2016-09-30,67.4662
2016-08-31,67.6641
2016-07-29,67.9107
2016-06-30,68.1743
2016-05-31,68.6354
2016-04-29,69.5126
2016-03-31,70.1865
2016-02-29,70.7618
2016-01-29,71.3239
2015-12-31,71.7213
2015-11-30,71.5580
2015-10-30,70.7880
2015-09-30,69.7436
2015-08-31,68.2758
2015-07-31,66.2535
2015-06-30,63.6333
2015-05-29,61.0256
2015-04-30,58.5063
2015-03-31,56.3990
2015-02-27,54.8906
2015-01-30,54.1753
2014-12-31,54.2596
2014-11-28,54.6828
2014-10-31,54.8609
2014-09-30,54.5042
2014-08-29,53.7078
2014-07-31,52.4969
2014-06-30,50.7594
2014-05-30,48.7972
2014-04-30,47.0946
2014-03-31,45.3819
2014-02-28,43.5969
2014-01-31,41.8804
2013-12-31,40.5332
2013-11-29,39.1888
2013-10-31,37.9276
