,TRIMA_monthly_10
2022-04-04,125.7433
2022-03-31,125.6378
2022-02-28,125.2005
2022-01-31,124.4615
2021-12-31,122.9826
2021-11-30,120.3949
2021-10-29,117.6133
2021-09-30,114.7130
2021-08-31,111.5257
2021-07-30,107.9473
2021-06-30,104.7243
2021-05-28,102.2349
2021-04-30,99.6222
2021-03-31,96.7743
2021-02-26,94.2615
2021-01-29,92.0771
2020-12-31,89.4109
2020-11-30,86.8695
2020-10-30,85.5038
2020-09-30,85.1051
2020-08-31,85.2811
2020-07-31,86.6822
2020-06-30,89.7392
2020-05-29,93.2059
2020-04-30,96.4447
2020-03-31,99.6515
2020-02-28,102.4232
2020-01-31,103.8420
2019-12-31,103.9488
2019-11-29,103.1339
2019-10-31,101.4138
2019-09-30,99.0447
2019-08-30,96.2690
2019-07-31,93.4854
2019-06-28,91.1294
2019-05-31,89.1239
2019-04-30,87.2557
2019-03-29,85.2826
2019-02-28,83.4118
2019-01-31,81.7200
2018-12-31,80.0884
2018-11-30,78.7457
2018-10-31,77.9973
2018-09-28,77.6965
2018-08-31,77.5666
2018-07-31,77.2281
2018-06-29,76.7069
2018-05-31,75.8818
2018-04-30,74.6828
2018-03-29,73.1793
2018-02-28,71.7358
2018-01-31,70.3932
2017-12-29,68.8959
2017-11-30,67.3172
2017-10-31,65.6750
2017-09-29,64.0471
2017-08-31,62.3935
2017-07-31,60.9131
2017-06-30,59.8145
2017-05-31,59.0042
2017-04-28,58.4620
2017-03-31,58.0779
2017-02-28,57.6732
2017-01-31,57.0935
2016-12-30,56.3369
2016-11-30,55.2392
2016-10-31,53.9000
2016-09-30,52.4933
2016-08-31,51.0272
2016-07-29,49.5694
2016-06-30,48.4597
2016-05-31,47.8692
2016-04-29,47.8142
2016-03-31,48.3244
2016-02-29,49.3916
2016-01-29,50.8212
2015-12-31,52.0751
2015-11-30,53.0363
2015-10-30,53.3157
2015-09-30,52.8642
2015-08-31,51.8259
2015-07-31,50.5167
2015-06-30,49.0376
2015-05-29,47.7010
2015-04-30,46.6658
2015-03-31,46.0741
2015-02-27,45.7799
2015-01-30,45.7345
2014-12-31,45.9443
2014-11-28,46.2511
2014-10-31,46.3429
2014-09-30,46.3201
2014-08-29,46.1988
2014-07-31,45.8151
2014-06-30,45.3142
2014-05-30,44.7743
2014-04-30,44.4669
2014-03-31,44.0257
2014-02-28,43.5746
2014-01-31,43.2169
2013-12-31,42.9545
2013-11-29,42.4852
2013-10-31,41.9837
2013-09-30,41.6255
2013-08-30,41.2440
2013-07-31,40.8911
2013-06-28,40.5175
2013-05-31,40.2702
2013-04-30,40.0810
2013-03-28,39.8675
2013-02-28,39.6806
2013-01-31,39.6579
2012-12-31,39.7669
2012-11-30,39.9294
2012-10-31,40.1025
2012-09-28,40.1062
2012-08-31,39.7783
2012-07-31,38.9787
2012-06-29,37.7016
2012-05-31,36.2207
2012-04-30,34.6394
2012-03-30,33.2661
2012-02-29,32.2556
2012-01-31,31.6749
2011-12-30,31.3679
2011-11-30,31.1905
2011-10-31,30.9711
2011-09-30,30.6471
2011-08-31,30.2209
2011-07-29,29.6766
2011-06-30,29.1085
2011-05-31,28.4922
2011-04-29,27.8921
2011-03-31,27.2034
2011-02-28,26.4201
2011-01-31,25.6031
2010-12-31,24.8058
2010-11-30,23.9631
2010-10-29,23.1783
2010-09-30,22.4924
2010-08-31,21.8367
2010-07-30,21.1493
2010-06-30,20.5269
2010-05-28,20.0489
2010-04-30,19.6712
2010-03-31,19.3708
2010-02-26,19.2376
2010-01-29,19.1987
2009-12-31,19.0338
2009-11-30,18.6983
2009-10-30,18.2664
2009-09-30,17.8121
2009-08-31,17.2082
2009-07-31,16.6400
2009-06-30,16.3132
2009-05-29,16.2851
2009-04-30,16.4227
2009-03-31,16.7676
2009-02-27,17.4252
2009-01-30,18.2009
2008-12-31,18.8897
2008-11-28,19.4263
2008-10-31,19.8692
2008-09-30,20.1392
2008-08-29,20.1531
2008-07-31,20.0764
2008-06-30,19.9621
2008-05-30,19.8480
2008-04-30,19.6391
2008-03-31,19.3770
2008-02-29,19.0640
2008-01-31,18.6443
2007-12-31,18.1696
2007-11-30,17.6656
2007-10-31,17.2246
2007-09-28,16.7846
2007-08-31,16.4545
2007-07-31,16.1897
2007-06-29,15.9413
2007-05-31,15.6519
2007-04-30,15.2905
2007-03-30,14.9135
2007-02-28,14.4641
2007-01-31,13.9990
2006-12-29,13.5860
2006-11-30,13.2954
2006-10-31,13.1198
2006-09-29,13.0105
2006-08-31,12.9564
2006-07-31,12.9235
2006-06-30,12.8975
2006-05-31,12.8296
2006-04-28,12.8167
2006-03-31,12.8634
2006-02-28,12.9391
2006-01-31,12.9847
2005-12-30,13.0629
2005-11-30,13.1283
2005-10-31,13.0963
2005-09-30,13.0000
2005-08-31,12.8869
2005-07-29,12.7143
2005-06-30,12.4328
2005-05-31,12.1249
2005-04-29,11.7907
2005-03-31,11.4214
2005-02-28,11.0137
2005-01-31,10.6620
2004-12-31,10.3667
2004-11-30,10.1180
2004-10-29,9.9179
2004-09-30,9.7635
2004-08-31,9.6257
2004-07-30,9.4717
2004-06-30,9.2695
2004-05-28,9.0431
2004-04-30,8.8068
2004-03-31,8.5546
2004-02-27,8.2863
2004-01-30,8.0087
2003-12-31,7.7491
2003-11-28,7.4735
2003-10-31,7.1814
2003-09-30,6.8996
2003-08-29,6.6643
2003-07-31,6.4559
2003-06-30,6.3271
2003-05-30,6.3127
