,WMA_monthly_10
2022-04-04,138.2944
2022-03-31,133.3608
2022-02-28,127.6856
2022-01-31,123.7986
2021-12-31,120.7913
2021-11-30,117.7896
2021-10-29,117.6561
2021-09-30,116.0087
2021-08-31,114.5087
2021-07-30,112.0114
2021-06-30,109.1271
2021-05-28,107.2895
2021-04-30,105.1163
2021-03-31,101.5537
2021-02-26,98.0521
2021-01-29,97.3359
2020-12-31,95.8632
2020-11-30,95.2806
2020-10-30,93.4036
2020-09-30,92.6361
2020-08-31,91.5366
2020-07-31,90.1835
2020-06-30,88.0042
2020-05-29,85.3747
2020-04-30,83.5332
2020-03-31,82.6769
2020-02-28,81.8189
2020-01-31,81.5046
2019-12-31,80.9128
2019-11-29,80.3648
2019-10-31,79.2029
2019-09-30,78.3430
2019-08-30,78.1082
2019-07-31,77.9553
2019-06-28,77.0852
2019-05-31,76.6033
2019-04-30,77.4504
2019-03-29,79.0648
2019-02-28,79.8825
2019-01-31,80.1448
2018-12-31,80.4905
2018-11-30,82.7156
2018-10-31,82.6015
2018-09-28,82.7559
2018-08-31,82.0423
2018-07-31,81.4684
2018-06-29,82.3469
2018-05-31,82.5352
2018-04-30,83.4286
2018-03-29,82.9973
2018-02-28,83.3821
2018-01-31,82.0002
2017-12-29,79.7077
2017-11-30,78.7173
2017-10-31,78.9270
2017-09-29,80.5348
2017-08-31,81.0692
2017-07-31,81.8370
2017-06-30,80.1559
2017-05-31,78.2106
2017-04-28,76.5942
2017-03-31,76.6027
2017-02-28,75.2936
2017-01-31,73.3513
2016-12-30,72.1431
2016-11-30,72.5677
2016-10-31,73.1932
2016-09-30,75.6783
2016-08-31,76.7081
2016-07-29,76.8465
2016-06-30,77.4761
2016-05-31,79.3954
2016-04-29,82.5119
2016-03-31,84.3543
2016-02-29,86.3668
2016-01-29,88.7983
2015-12-31,91.1826
2015-11-30,91.2235
2015-10-30,92.0164
2015-09-30,93.0972
2015-08-31,94.3493
2015-07-31,94.5246
2015-06-30,93.3446
2015-05-29,91.5877
2015-04-30,88.2267
2015-03-31,83.9444
2015-02-27,79.0972
2015-01-30,75.3955
2014-12-31,72.5015
2014-11-28,70.0264
2014-10-31,67.0082
2014-09-30,64.6916
2014-08-29,63.5607
2014-07-31,62.2071
2014-06-30,60.7047
2014-05-30,59.6227
2014-04-30,58.2047
2014-03-31,57.9486
2014-02-28,57.4336
2014-01-31,56.3251
2013-12-31,55.0941
2013-11-29,52.9938
2013-10-31,50.4463
2013-09-30,48.4029
2013-08-30,46.7236
2013-07-31,45.4202
2013-06-28,43.6180
2013-05-31,41.9200
2013-04-30,40.2607
2013-03-28,38.3870
2013-02-28,36.6987
2013-01-31,35.5133
2012-12-31,34.5515
2012-11-30,33.8351
2012-10-31,33.2088
2012-09-28,33.0100
2012-08-31,32.8948
2012-07-31,32.8359
2012-06-29,32.5703
2012-05-31,32.3562
2012-04-30,32.5220
2012-03-30,32.7327
2012-02-29,32.5812
2012-01-31,32.8276
2011-12-30,32.8506
2011-11-30,33.1544
2011-10-31,33.4379
2011-09-30,33.0717
2011-08-31,33.1462
2011-07-29,32.7551
2011-06-30,32.4560
2011-05-31,31.4621
2011-04-29,30.3178
2011-03-31,29.1394
2011-02-28,27.9955
2011-01-31,26.9908
2010-12-31,26.2053
2010-11-30,25.5891
2010-10-29,25.4126
2010-09-30,24.8435
2010-08-31,24.5108
2010-07-30,24.6105
2010-06-30,24.1952
2010-05-28,23.3483
2010-04-30,22.3938
2010-03-31,21.3158
2010-02-26,20.3706
2010-01-29,19.3856
2009-12-31,18.3637
2009-11-30,17.3654
2009-10-30,16.4738
2009-09-30,15.9093
2009-08-31,15.2075
2009-07-31,14.5784
2009-06-30,14.1811
2009-05-29,14.1195
2009-04-30,13.9689
2009-03-31,14.1299
2009-02-27,14.4266
2009-01-30,14.8534
2008-12-31,14.9788
2008-11-28,15.1964
2008-10-31,15.8462
2008-09-30,16.6097
2008-08-29,16.9545
2008-07-31,17.0925
2008-06-30,17.1960
2008-05-30,17.4954
2008-04-30,17.7260
2008-03-31,18.0735
2008-02-29,18.4523
2008-01-31,18.8247
2007-12-31,18.8757
2007-11-30,19.0974
2007-10-31,19.3208
2007-09-28,19.3949
2007-08-31,19.5942
2007-07-31,19.5911
2007-06-29,19.7340
2007-05-31,19.6691
2007-04-30,19.4189
2007-03-30,19.2019
2007-02-28,18.7212
2007-01-31,18.1828
2006-12-29,17.6333
2006-11-30,17.6206
2006-10-31,17.5166
2006-09-29,17.2878
2006-08-31,17.1654
2006-07-31,17.0736
2006-06-30,17.0348
2006-05-31,17.0399
2006-04-28,16.8704
2006-03-31,16.6726
2006-02-28,15.9956
2006-01-31,15.3712
2005-12-30,14.8090
2005-11-30,14.3245
2005-10-31,13.8483
2005-09-30,13.4563
2005-08-31,12.9620
2005-07-29,12.4912
2005-06-30,12.0592
2005-05-31,11.6673
2005-04-29,11.4007
2005-03-31,11.2464
2005-02-28,11.2434
2005-01-31,11.1399
2004-12-31,11.0819
2004-11-30,11.0071
2004-10-29,10.9088
2004-09-30,10.9538
2004-08-31,11.0797
2004-07-30,11.2010
2004-06-30,11.3243
2004-05-28,11.2386
2004-04-30,11.1564
2004-03-31,11.1897
2004-02-27,11.3652
2004-01-30,11.4208
2003-12-31,11.5738
2003-11-28,11.6834
2003-10-31,11.5212
2003-09-30,11.5822
2003-08-29,11.7535
2003-07-31,11.8228
2003-06-30,11.7490
2003-05-30,11.4640
2003-04-30,11.4302
2003-03-31,11.6329
2003-02-28,12.1120
2003-01-31,12.5819
2002-12-31,12.9749
