,WMA_monthly_10
2017-01-11,17.1991
2016-12-30,16.9362
2016-11-30,16.6091
2016-10-31,16.3291
2016-09-30,16.0527
2016-08-31,15.7680
2016-07-29,15.4124
2016-06-30,15.0547
2016-05-31,14.7785
2016-04-29,14.4069
2016-03-31,14.0416
2016-02-29,13.7593
2016-01-29,13.7842
2015-12-31,13.7631
2015-11-30,13.7985
2015-10-30,13.4656
2015-09-30,13.6858
2015-08-31,14.0720
2015-07-31,14.1567
2015-06-30,14.4060
2015-05-29,14.6105
2015-04-30,14.7144
2015-03-31,14.6600
2015-02-27,14.6596
2015-01-30,14.7009
2014-12-31,14.8859
2014-11-28,14.9755
2014-10-31,15.0072
2014-09-30,15.0827
2014-08-29,15.3008
2014-07-31,15.2504
2014-06-30,15.2343
2014-05-30,15.1435
2014-04-30,15.1301
2014-03-31,15.0327
2014-02-28,14.7442
2014-01-31,14.4905
2013-12-31,14.2094
2013-11-29,13.8927
2013-10-31,13.6026
2013-09-30,13.5089
2013-08-30,13.4321
2013-07-31,13.5737
2013-06-28,13.4467
2013-05-31,13.4800
2013-04-30,13.3321
2013-03-28,12.7648
2013-02-28,12.1977
2013-01-31,11.6671
2012-12-31,11.1659
2012-11-30,10.8517
2012-10-31,10.4765
2012-09-28,10.0439
2012-08-31,9.6116
2012-07-31,9.1863
2012-06-29,8.8911
2012-05-31,8.5532
2012-04-30,8.3682
2012-03-30,8.0584
2012-02-29,8.0007
2012-01-31,7.9260
2011-12-30,8.0075
2011-11-30,8.4073
2011-10-31,8.7853
2011-09-30,9.0140
2011-08-31,9.4220
2011-07-29,9.4549
2011-06-30,9.2431
2011-05-31,8.8958
2011-04-29,8.4684
2011-03-31,7.8745
2011-02-28,7.2629
2011-01-31,6.6965
2010-12-31,6.2867
2010-11-30,5.9285
2010-10-29,5.5760
2010-09-30,5.1773
2010-08-31,4.9391
2010-07-30,4.7900
2010-06-30,4.5853
2010-05-28,4.4053
2010-04-30,4.0849
2010-03-31,3.5514
2010-02-26,3.1448
2010-01-29,2.8335
2009-12-31,2.5853
2009-11-30,2.5339
2009-10-30,2.3676
2009-09-30,2.2331
2009-08-31,1.9834
2009-07-31,1.9695
2009-06-30,2.1156
2009-05-29,2.4863
2009-04-30,3.1839
2009-03-31,4.0486
2009-02-27,5.3235
2009-01-30,6.9395
2008-12-31,8.6954
2008-11-28,10.7139
2008-10-31,12.9106
2008-09-30,14.2584
2008-08-29,14.6283
2008-07-31,15.5453
2008-06-30,16.7860
2008-05-30,17.8161
2008-04-30,18.1744
2008-03-31,18.6283
2008-02-29,18.9458
2008-01-31,19.2426
2007-12-31,19.6997
2007-11-30,20.4396
2007-10-31,20.9154
2007-09-28,20.8706
2007-08-31,20.8776
2007-07-31,21.0919
2007-06-29,21.5910
2007-05-31,21.6308
2007-04-30,21.1016
2007-03-30,20.4030
2007-02-28,19.9767
2007-01-31,19.4281
2006-12-29,18.4701
2006-11-30,17.6050
2006-10-31,16.7987
2006-09-29,16.0892
2006-08-31,15.6491
2006-07-31,15.3095
2006-06-30,15.2663
2006-05-31,15.3610
2006-04-28,15.3951
2006-03-31,15.4425
2006-02-28,15.4449
2006-01-31,15.3612
2005-12-30,15.2964
2005-11-30,15.1522
2005-10-31,14.8548
2005-09-30,14.5703
2005-08-31,14.3029
2005-07-29,13.8820
2005-06-30,13.4655
2005-05-31,13.1099
2005-04-29,12.7732
2005-03-31,12.6723
2005-02-28,12.5659
2005-01-31,12.1419
2004-12-31,11.7983
2004-11-30,11.4824
2004-10-29,11.2509
2004-09-30,11.1176
2004-08-31,10.9229
2004-07-30,10.6915
2004-06-30,10.6014
2004-05-28,10.5556
2004-04-30,10.5870
2004-03-31,10.6792
2004-02-27,10.2564
2004-01-30,9.7640
2003-12-31,9.3186
2003-11-28,8.9720
2003-10-31,8.6691
2003-09-30,8.4515
2003-08-29,8.3282
2003-07-31,8.2072
2003-06-30,7.8172
2003-05-30,7.5832
2003-04-30,7.2158
2003-03-31,7.0497
2003-02-28,7.0146
2003-01-31,6.9108
2002-12-31,6.9218
2002-11-29,7.0529
2002-10-31,7.2962
2002-09-30,7.6385
2002-08-30,8.0630
2002-07-31,8.3673
2002-06-28,8.4782
2002-05-31,8.4676
2002-04-30,8.3336
2002-03-28,8.0561
2002-02-28,7.8087
2002-01-31,7.6958
2001-12-31,7.6440
2001-11-30,7.5012
2001-10-31,7.3997
2001-09-28,7.4467
2001-08-31,7.3191
2001-07-31,7.1392
2001-06-29,6.9791
2001-05-31,6.7494
2001-04-30,6.5470
2001-03-30,6.3816
2001-02-28,6.2393
2001-01-31,6.1233
2000-12-29,6.0012
2000-11-30,5.8601
2000-10-31,5.9514
2000-09-29,6.0044
