,WMA_monthly_10
2022-04-04,76.1646
2022-03-31,71.9596
2022-02-28,67.3338
2022-01-31,64.5514
2021-12-31,62.1247
2021-11-30,60.8218
2021-10-29,60.2499
2021-09-30,59.1100
2021-08-31,58.5304
2021-07-30,57.6840
2021-06-30,56.6995
2021-05-28,55.2590
2021-04-30,52.3135
2021-03-31,49.6093
2021-02-26,47.6650
2021-01-29,45.4287
2020-12-31,44.1438
2020-11-30,42.5461
2020-10-30,40.9469
2020-09-30,40.0112
2020-08-31,38.9498
2020-07-31,38.1190
2020-06-30,37.6379
2020-05-29,37.6169
2020-04-30,37.7043
2020-03-31,38.2806
2020-02-28,39.2318
2020-01-31,39.8520
2019-12-31,39.2620
2019-11-29,38.3162
2019-10-31,37.9622
2019-09-30,37.7828
2019-08-30,37.8315
2019-07-31,38.5212
2019-06-28,38.8958
2019-05-31,39.4584
2019-04-30,40.5793
2019-03-29,40.7135
2019-02-28,41.0860
2019-01-31,41.5890
2018-12-31,41.7139
2018-11-30,42.4818
2018-10-31,42.3453
2018-09-28,41.9309
2018-08-31,40.8374
2018-07-31,39.5466
2018-06-29,38.5500
2018-05-31,37.8599
2018-04-30,37.4670
2018-03-29,36.7791
2018-02-28,36.3713
2018-01-31,36.3080
2017-12-29,36.0996
2017-11-30,36.4442
2017-10-31,36.8696
2017-09-29,37.2496
2017-08-31,37.3652
2017-07-31,37.6856
2017-06-30,37.9055
2017-05-31,38.2741
2017-04-28,38.6464
2017-03-31,38.3569
2017-02-28,37.9568
2017-01-31,37.2832
2016-12-30,36.9481
2016-11-30,36.2192
2016-10-31,35.7270
2016-09-30,35.1091
2016-08-31,34.6062
2016-07-29,33.8654
2016-06-30,32.8970
2016-05-31,32.2798
2016-04-29,31.7303
2016-03-31,31.7726
2016-02-29,32.6005
2016-01-29,33.8248
2015-12-31,35.2089
2015-11-30,36.5481
2015-10-30,38.0517
2015-09-30,38.3056
2015-08-31,39.3437
2015-07-31,39.8673
2015-06-30,40.1119
2015-05-29,40.2503
2015-04-30,39.5904
2015-03-31,39.4788
2015-02-27,39.5396
2015-01-30,39.4548
2014-12-31,39.5383
2014-11-28,38.6559
2014-10-31,37.4675
2014-09-30,37.0831
2014-08-29,35.9305
2014-07-31,34.8160
2014-06-30,34.0926
2014-05-30,33.5651
2014-04-30,32.7821
2014-03-31,32.0598
2014-02-28,31.2177
2014-01-31,30.6729
2013-12-31,30.2338
2013-11-29,29.0570
2013-10-31,28.1564
2013-09-30,26.9897
2013-08-30,26.2533
2013-07-31,25.6216
2013-06-28,24.6967
2013-05-31,24.0278
2013-04-30,23.5017
2013-03-28,22.6879
2013-02-28,21.8688
2013-01-31,21.2895
2012-12-31,21.2415
2012-11-30,21.3996
2012-10-31,21.6723
2012-09-28,21.9693
2012-08-31,22.2525
2012-07-31,22.6170
2012-06-29,23.0750
2012-05-31,23.0349
2012-04-30,22.6364
2012-03-30,22.3904
2012-02-29,22.0323
2012-01-31,21.8071
2011-12-30,22.0528
2011-11-30,22.4123
2011-10-31,22.5884
2011-09-30,22.9596
2011-08-31,23.9466
2011-07-29,24.4890
2011-06-30,24.8099
2011-05-31,25.1651
2011-04-29,25.1372
2011-03-31,24.3513
2011-02-28,23.5519
2011-01-31,22.4618
2010-12-31,21.9443
2010-11-30,21.7599
2010-10-29,21.7272
2010-09-30,21.1006
2010-08-31,20.6404
2010-07-30,20.3117
2010-06-30,20.4820
2010-05-28,20.8922
2010-04-30,21.4323
2010-03-31,21.6166
2010-02-26,21.6501
2010-01-29,21.5532
2009-12-31,21.3613
2009-11-30,20.9261
2009-10-30,20.5044
2009-09-30,20.1682
2009-08-31,19.9204
2009-07-31,19.6118
2009-06-30,19.0421
2009-05-29,18.8880
2009-04-30,18.6427
2009-03-31,18.9058
2009-02-27,18.9053
2009-01-30,19.2661
2008-12-31,19.7229
2008-11-28,20.1950
2008-10-31,21.0602
2008-09-30,23.1228
2008-08-29,25.2143
2008-07-31,26.9752
2008-06-30,28.4002
2008-05-30,29.1652
2008-04-30,29.0851
2008-03-31,28.3197
2008-02-29,27.8422
2008-01-31,26.7738
2007-12-31,25.7680
2007-11-30,24.2924
2007-10-31,24.0389
2007-09-28,23.8198
2007-08-31,23.9645
2007-07-31,24.0853
2007-06-29,24.2829
2007-05-31,24.6423
2007-04-30,24.8619
2007-03-30,24.6625
2007-02-28,24.7720
2007-01-31,25.1978
2006-12-29,25.9505
2006-11-30,26.7021
2006-10-31,27.0098
2006-09-29,26.7281
2006-08-31,26.3425
2006-07-31,25.3309
2006-06-30,23.7339
2006-05-31,22.2397
2006-04-28,20.4728
2006-03-31,19.1807
2006-02-28,18.0491
2006-01-31,16.9837
2005-12-30,15.8688
2005-11-30,15.5933
2005-10-31,15.4564
2005-09-30,15.2020
2005-08-31,14.8657
2005-07-29,14.7530
2005-06-30,14.5228
2005-05-31,14.4160
2005-04-29,14.4403
2005-03-31,14.6863
2005-02-28,14.0233
2005-01-31,13.3354
2004-12-31,12.5533
2004-11-30,11.9373
2004-10-29,11.3860
2004-09-30,11.0141
2004-08-31,10.8985
2004-07-30,10.8831
2004-06-30,10.9121
2004-05-28,10.7399
2004-04-30,10.5407
2004-03-31,10.1794
2004-02-27,9.8403
2004-01-30,9.3850
2003-12-31,9.0638
2003-11-28,8.7417
2003-10-31,8.5018
2003-09-30,8.2364
2003-08-29,8.1197
2003-07-31,7.9059
2003-06-30,7.7769
2003-05-30,7.6697
2003-04-30,7.6640
2003-03-31,7.7897
2003-02-28,7.9906
2003-01-31,8.2050
2002-12-31,8.3101
2002-11-29,8.3888
2002-10-31,8.3623
2002-09-30,8.3151
2002-08-30,8.4298
2002-07-31,8.6000
2002-06-28,8.8436
2002-05-31,8.9655
2002-04-30,8.8585
2002-03-28,8.8953
2002-02-28,8.8412
2002-01-31,8.7652
2001-12-31,8.6669
2001-11-30,8.5189
2001-10-31,8.2349
2001-09-28,8.1281
2001-08-31,8.1696
2001-07-31,8.0779
2001-06-29,8.0167
2001-05-31,7.9453
2001-04-30,7.7775
2001-03-30,7.7651
2001-02-28,7.6022
2001-01-31,7.1739
2000-12-29,6.7062
2000-11-30,6.1811
2000-10-31,5.8878
2000-09-29,5.8004
