,WMA_monthly_10
2022-04-04,450.1600
2022-03-31,437.2337
2022-02-28,422.1918
2022-01-31,413.1593
2021-12-31,404.5516
2021-11-30,388.8811
2021-10-29,381.7845
2021-09-30,367.3466
2021-08-31,363.0017
2021-07-30,356.5515
2021-06-30,346.3755
2021-05-28,334.7257
2021-04-30,318.0411
2021-03-31,302.6022
2021-02-26,289.6028
2021-01-29,286.3582
2020-12-31,282.9337
2020-11-30,273.9834
2020-10-30,266.0364
2020-09-30,265.4716
2020-08-31,265.9501
2020-07-31,264.0303
2020-06-30,262.8442
2020-05-29,263.4987
2020-04-30,258.7430
2020-03-31,256.3398
2020-02-28,264.3038
2020-01-31,267.1610
2019-12-31,268.9094
2019-11-29,264.0779
2019-10-31,261.9579
2019-09-30,263.1357
2019-08-30,270.2457
2019-07-31,273.9346
2019-06-28,271.4090
2019-05-31,270.7051
2019-04-30,270.4117
2019-03-29,272.2668
2019-02-28,268.7336
2019-01-31,261.7633
2018-12-31,252.9080
2018-11-30,250.5827
2018-10-31,242.8158
2018-09-28,236.6588
2018-08-31,230.0350
2018-07-31,224.1626
2018-06-29,219.2004
2018-05-31,216.0655
2018-04-30,215.3010
2018-03-29,211.1505
2018-02-28,209.1330
2018-01-31,203.5081
2017-12-29,194.2765
2017-11-30,187.9101
2017-10-31,178.5307
2017-09-29,172.4309
2017-08-31,168.8060
2017-07-31,162.9458
2017-06-30,157.7019
2017-05-31,151.0110
2017-04-28,144.5169
2017-03-31,137.9594
2017-02-28,132.9313
2017-01-31,127.6653
2016-12-30,123.9258
2016-11-30,121.6868
2016-10-31,119.5303
2016-09-30,121.1409
2016-08-31,122.2098
2016-07-29,123.6303
2016-06-30,124.1073
2016-05-31,124.7040
2016-04-29,125.6054
2016-03-31,125.4161
2016-02-29,125.9605
2016-01-29,128.3110
2015-12-31,131.0615
2015-11-30,132.3929
2015-10-30,135.3878
2015-09-30,136.6750
2015-08-31,137.5867
2015-07-31,138.1617
2015-06-30,135.9521
2015-05-29,131.2913
2015-04-30,125.1457
2015-03-31,121.0557
2015-02-27,115.6051
2015-01-30,110.8007
2014-12-31,107.2832
2014-11-28,104.6914
2014-10-31,101.0994
2014-09-30,97.1269
2014-08-29,93.8485
2014-07-31,90.6144
2014-06-30,88.0278
2014-05-30,85.4096
2014-04-30,82.3533
2014-03-31,80.2206
2014-02-28,77.8823
2014-01-31,76.7675
2013-12-31,76.0607
2013-11-29,73.8141
2013-10-31,71.0835
2013-09-30,69.2540
