,WMA_monthly_10
2022-04-04,33.3449
2022-03-31,30.4299
2022-02-28,27.4388
2022-01-31,25.1970
2021-12-31,23.1140
2021-11-30,22.0680
2021-10-29,21.0155
2021-09-30,19.6639
2021-08-31,19.0316
2021-07-30,18.5489
2021-06-30,18.0293
2021-05-28,16.8699
2021-04-30,15.7603
2021-03-31,14.6760
2021-02-26,13.8461
2021-01-29,12.5653
2020-12-31,12.0837
2020-11-30,11.8119
2020-10-30,12.0322
2020-09-30,13.3823
2020-08-31,14.7515
2020-07-31,15.2827
2020-06-30,15.8885
2020-05-29,16.9665
2020-04-30,18.7647
2020-03-31,20.4209
2020-02-28,24.0509
2020-01-31,24.1029
2019-12-31,23.8119
2019-11-29,24.0051
2019-10-31,24.9554
2019-09-30,26.0804
2019-08-30,26.7084
2019-07-31,28.3112
2019-06-28,29.7966
2019-05-31,30.7790
2019-04-30,32.5939
2019-03-29,33.4413
2019-02-28,34.1057
2019-01-31,35.1453
2018-12-31,36.3279
2018-11-30,38.8021
2018-10-31,39.9115
2018-09-28,40.6182
2018-08-31,39.5797
2018-07-31,39.1401
2018-06-29,38.3106
2018-05-31,37.2532
2018-04-30,37.4820
2018-03-29,37.6503
2018-02-28,38.4012
2018-01-31,40.1094
2017-12-29,40.1083
2017-11-30,40.7497
2017-10-31,41.7409
2017-09-29,43.1571
2017-08-31,44.1984
2017-07-31,46.7243
2017-06-30,47.7036
2017-05-31,48.9987
2017-04-28,50.5707
2017-03-31,51.9324
2017-02-28,52.9656
2017-01-31,53.8202
2016-12-30,53.2919
2016-11-30,51.7844
2016-10-31,49.4784
2016-09-30,47.9715
2016-08-31,45.5338
2016-07-29,45.3527
2016-06-30,44.4837
2016-05-31,42.9572
2016-04-29,40.9962
2016-03-31,39.5118
2016-02-29,39.1323
2016-01-29,40.9219
2015-12-31,42.2901
2015-11-30,43.7260
2015-10-30,44.6069
2015-09-30,46.0480
2015-08-31,49.1867
2015-07-31,51.8495
2015-06-30,55.1555
2015-05-29,57.3140
2015-04-30,59.7836
2015-03-31,61.3840
2015-02-27,64.8050
2015-01-30,67.6720
2014-12-31,71.3618
2014-11-28,75.3277
2014-10-31,79.3134
2014-09-30,81.3561
2014-08-29,80.7742
2014-07-31,78.7270
2014-06-30,76.2610
2014-05-30,73.9114
2014-04-30,72.5082
2014-03-31,72.0510
2014-02-28,72.2133
2014-01-31,72.8546
2013-12-31,73.2843
2013-11-29,72.6684
2013-10-31,71.0579
2013-09-30,69.6944
2013-08-30,68.7962
2013-07-31,67.7588
2013-06-28,67.6498
2013-05-31,67.0361
2013-04-30,66.7389
2013-03-28,67.9264
2013-02-28,68.6968
2013-01-31,70.2404
2012-12-31,70.5622
2012-11-30,72.1676
2012-10-31,74.3181
2012-09-28,75.7111
2012-08-31,76.7424
2012-07-31,78.0902
2012-06-29,79.2818
2012-05-31,80.4526
2012-04-30,83.2655
2012-03-30,84.2503
2012-02-29,84.9341
2012-01-31,84.8499
2011-12-30,86.6348
2011-11-30,90.2285
2011-10-31,92.7624
2011-09-30,95.5579
2011-08-31,101.7576
2011-07-29,104.4285
2011-06-30,103.5362
2011-05-31,102.1992
2011-04-29,100.2284
2011-03-31,96.1593
2011-02-28,91.8517
2011-01-31,88.1498
2010-12-31,84.9692
2010-11-30,81.5856
2010-10-29,79.8262
2010-09-30,79.0993
2010-08-31,78.8464
2010-07-30,79.8559
2010-06-30,79.9280
2010-05-28,81.7612
2010-04-30,82.6914
2010-03-31,81.3085
2010-02-26,79.7190
2010-01-29,77.3325
2009-12-31,75.1518
2009-11-30,71.6529
2009-10-30,69.0356
2009-09-30,66.2884
2009-08-31,63.6810
2009-07-31,62.0668
2009-06-30,60.8985
2009-05-29,62.1632
2009-04-30,62.0103
2009-03-31,64.5613
2009-02-27,69.5019
2009-01-30,76.3236
2008-12-31,81.4272
2008-11-28,87.2223
