,WMA_monthly_10
2022-04-04,233.0971
2022-03-31,243.4325
2022-02-28,254.9913
2022-01-31,267.4995
2021-12-31,278.2595
2021-11-30,287.0878
2021-10-29,297.5284
2021-09-30,301.9467
2021-08-31,302.6211
2021-07-30,291.5493
2021-06-30,281.9093
2021-05-28,267.6505
2021-04-30,267.8484
2021-03-31,268.0775
2021-02-26,266.5455
2021-01-29,266.6980
2020-12-31,265.6955
2020-11-30,272.7116
2020-10-30,281.1020
2020-09-30,288.1407
2020-08-31,289.7255
2020-07-31,290.7915
2020-06-30,293.4507
2020-05-29,296.5391
2020-04-30,291.1789
2020-03-31,286.5395
2020-02-28,276.5802
2020-01-31,266.6345
2019-12-31,263.2876
2019-11-29,255.4404
2019-10-31,247.6507
2019-09-30,240.1013
2019-08-30,246.3664
2019-07-31,256.5445
2019-06-28,265.5371
2019-05-31,277.4227
2019-04-30,294.0516
2019-03-29,309.9805
2019-02-28,325.6582
2019-01-31,323.6865
2018-12-31,319.5756
2018-11-30,321.2224
2018-10-31,317.1616
2018-09-28,318.7155
2018-08-31,310.7867
2018-07-31,302.0647
2018-06-29,296.4327
2018-05-31,299.3029
2018-04-30,301.4173
2018-03-29,307.1927
2018-02-28,312.4545
2018-01-31,314.6349
2017-12-29,304.7682
2017-11-30,299.6729
2017-10-31,293.1062
2017-09-29,287.9398
2017-08-31,282.1616
2017-07-31,275.0965
2017-06-30,273.3613
2017-05-31,275.5636
2017-04-28,282.8216
2017-03-31,285.2835
2017-02-28,287.6400
2017-01-31,286.9891
2016-12-30,288.0960
2016-11-30,287.6109
2016-10-31,284.8365
2016-09-30,285.0635
2016-08-31,278.8418
2016-07-29,273.6907
2016-06-30,271.4284
2016-05-31,278.9220
2016-04-29,278.2329
2016-03-31,282.5684
2016-02-29,292.0560
2016-01-29,303.7893
2015-12-31,315.7549
2015-11-30,323.5449
2015-10-30,336.7385
2015-09-30,350.1584
2015-08-31,363.6305
2015-07-31,376.5369
2015-06-30,385.7565
2015-05-29,378.3853
2015-04-30,371.1395
2015-03-31,367.0205
2015-02-27,352.2476
2015-01-30,337.5480
2014-12-31,325.0485
2014-11-28,321.6096
2014-10-31,324.0353
2014-09-30,323.2717
2014-08-29,320.0146
2014-07-31,312.7367
2014-06-30,305.3291
2014-05-30,299.5307
2014-04-30,291.1535
2014-03-31,287.3323
2014-02-28,278.8587
2014-01-31,261.8423
2013-12-31,247.7420
2013-11-29,237.5952
2013-10-31,222.9235
2013-09-30,214.9788
2013-08-30,205.9909
2013-07-31,200.6865
2013-06-28,193.2000
2013-05-31,184.9987
2013-04-30,171.0782
2013-03-28,159.1767
2013-02-28,150.9344
2013-01-31,146.8821
2012-12-31,144.1483
2012-11-30,142.6364
2012-10-31,140.0637
2012-09-28,138.9567
2012-08-31,135.2273
2012-07-31,131.4245
2012-06-29,126.8022
2012-05-31,121.5311
2012-04-30,118.2131
2012-03-30,113.8098
2012-02-29,110.2944
2012-01-31,108.1695
2011-12-30,104.9667
2011-11-30,102.4431
2011-10-31,98.1289
2011-09-30,92.6618
2011-08-31,90.8842
2011-07-29,88.3431
2011-06-30,83.5756
2011-05-31,76.9242
2011-04-29,71.7827
2011-03-31,65.1976
2011-02-28,62.5355
2011-01-31,60.5204
2010-12-31,58.8911
2010-11-30,56.7556
2010-10-29,54.9942
2010-09-30,53.2944
2010-08-31,52.6258
2010-07-30,52.1669
2010-06-30,51.2324
2010-05-28,51.8805
2010-04-30,52.5345
2010-03-31,51.9751
2010-02-26,50.5684
2010-01-29,49.4731
2009-12-31,48.5847
2009-11-30,47.6044
2009-10-30,47.8478
2009-09-30,49.0658
2009-08-31,48.6091
2009-07-31,48.0715
2009-06-30,48.0655
2009-05-29,48.6009
2009-04-30,48.2558
2009-03-31,48.6753
2009-02-27,48.5407
2009-01-30,49.8325
2008-12-31,50.8869
2008-11-28,52.3218
2008-10-31,55.0629
2008-09-30,58.0216
2008-08-29,60.0064
2008-07-31,62.3022
2008-06-30,61.1120
2008-05-30,62.5878
2008-04-30,62.7035
2008-03-31,63.0629
2008-02-29,63.0684
2008-01-31,63.4765
2007-12-31,63.1125
2007-11-30,63.2680
2007-10-31,59.8275
2007-09-28,55.8696
2007-08-31,53.1305
2007-07-31,50.5529
2007-06-29,49.0833
2007-05-31,47.9973
2007-04-30,46.9591
2007-03-30,46.8156
2007-02-28,47.2276
2007-01-31,47.4862
2006-12-29,47.1495
2006-11-30,46.6229
2006-10-31,45.4016
2006-09-29,44.9855
2006-08-31,45.0662
2006-07-31,45.1693
2006-06-30,45.6165
2006-05-31,45.2115
2006-04-28,44.6165
2006-03-31,44.1562
2006-02-28,43.1413
2006-01-31,41.8989
2005-12-30,40.9249
2005-11-30,39.7340
2005-10-31,39.3949
2005-09-30,39.9245
2005-08-31,41.0124
2005-07-29,41.9078
2005-06-30,43.7193
2005-05-31,46.8631
2005-04-29,49.5415
2005-03-31,53.2309
2005-02-28,57.7375
2005-01-31,61.8613
2004-12-31,61.0313
2004-11-30,59.6984
2004-10-29,59.5218
2004-09-30,59.0496
2004-08-31,57.6122
2004-07-30,56.0695
2004-06-30,53.9193
2004-05-28,50.6595
2004-04-30,47.0835
2004-03-31,43.6249
2004-02-27,40.4685
2004-01-30,36.9267
2003-12-31,35.4929
2003-11-28,35.0564
2003-10-31,34.2398
2003-09-30,33.9402
2003-08-29,33.9682
2003-07-31,33.9416
2003-06-30,34.2307
2003-05-30,34.5965
2003-04-30,34.3036
2003-03-31,35.0544
2003-02-28,35.6955
2003-01-31,37.8075
2002-12-31,39.8998
2002-11-29,42.3331
2002-10-31,45.3164
2002-09-30,46.3144
2002-08-30,48.6538
2002-07-31,51.5969
2002-06-28,53.8287
2002-05-31,58.1555
2002-04-30,61.3311
2002-03-28,62.5456
2002-02-28,62.0111
2002-01-31,61.4980
2001-12-31,61.2420
2001-11-30,59.0360
2001-10-31,56.3720
2001-09-28,55.6427
2001-08-31,56.9597
2001-07-31,56.6241
2001-06-29,57.3316
2001-05-31,55.1619
2001-04-30,53.7238
2001-03-30,54.3566
2001-02-28,56.3216
2001-01-31,54.6713
2000-12-29,52.1053
2000-11-30,48.4484
2000-10-31,45.4408
2000-09-29,40.5032
