,WMA_monthly_10
2019-06-28,53.8919
2019-05-31,52.6919
2019-04-30,51.0459
2019-03-29,49.2740
2019-02-28,47.6576
2019-01-31,46.3135
2018-12-31,45.6455
2018-11-30,45.4577
2018-10-31,44.6975
2018-09-28,44.5466
2018-08-31,43.8434
2018-07-31,42.9213
2018-06-29,42.6296
2018-05-31,42.9861
2018-04-30,43.3072
2018-03-29,43.5473
2018-02-28,43.7471
2018-01-31,43.8399
2017-12-29,43.5405
2017-11-30,43.0708
2017-10-31,42.7623
2017-09-29,42.8719
2017-08-31,42.9470
2017-07-31,43.6210
2017-06-30,44.5218
2017-05-31,44.8456
2017-04-28,45.5365
2017-03-31,46.3263
2017-02-28,46.4526
2017-01-31,46.4475
2016-12-30,46.6757
2016-11-30,47.0640
2016-10-31,47.0124
2016-09-30,47.1583
2016-08-31,46.8365
2016-07-29,46.1115
2016-06-30,45.4953
2016-05-31,44.6377
2016-04-29,43.8587
2016-03-31,43.0562
2016-02-29,41.8741
2016-01-29,41.0595
2015-12-31,40.4541
2015-11-30,40.4316
2015-10-30,39.9401
2015-09-30,39.6957
2015-08-31,40.4725
2015-07-31,40.6969
2015-06-30,40.4912
2015-05-29,40.1305
2015-04-30,39.4867
2015-03-31,38.9582
2015-02-27,38.1225
2015-01-30,36.7231
2014-12-31,36.0068
2014-11-28,35.0336
2014-10-31,34.8764
2014-09-30,35.0276
2014-08-29,35.2551
2014-07-31,35.0132
2014-06-30,35.0805
2014-05-30,34.8567
2014-04-30,34.4920
2014-03-31,34.3273
2014-02-28,34.3080
2014-01-31,34.2672
2013-12-31,34.4083
2013-11-29,34.0937
2013-10-31,34.0165
2013-09-30,33.7320
2013-08-30,33.4921
2013-07-31,33.0098
2013-06-28,32.1869
2013-05-31,31.5354
2013-04-30,30.7376
2013-03-28,29.8122
2013-02-28,28.5646
2013-01-31,27.6932
2012-12-31,27.0538
2012-11-30,26.7126
2012-10-31,26.2991
2012-09-28,25.9525
2012-08-31,25.8063
2012-07-31,25.7984
2012-06-29,25.7217
2012-05-31,25.5400
2012-04-30,25.5104
2012-03-30,25.2212
2012-02-29,24.9476
2012-01-31,24.7973
2011-12-30,24.7087
2011-11-30,24.8290
2011-10-31,25.0681
2011-09-30,25.6049
2011-08-31,25.9852
2011-07-29,26.1031
2011-06-30,26.1700
2011-05-31,25.8359
2011-04-29,25.5392
2011-03-31,25.4649
2011-02-28,25.1069
2011-01-31,24.6942
2010-12-31,24.2943
2010-11-30,23.8196
2010-10-29,23.4630
2010-09-30,23.0514
2010-08-31,22.5960
2010-07-30,22.4987
2010-06-30,22.2125
2010-05-28,22.3329
2010-04-30,22.1685
2010-03-31,21.7100
2010-02-26,21.4303
2010-01-29,20.9878
2009-12-31,20.6417
2009-11-30,19.9111
2009-10-30,19.1240
2009-09-30,18.8128
2009-08-31,18.4956
2009-07-31,18.0468
2009-06-30,17.6546
2009-05-29,17.4433
2009-04-30,17.2754
2009-03-31,17.2516
2009-02-27,17.7141
2009-01-30,18.5974
2008-12-31,18.9964
2008-11-28,19.2524
2008-10-31,19.0467
2008-09-30,19.1929
2008-08-29,19.1595
2008-07-31,18.8888
2008-06-30,18.6185
2008-05-30,19.2004
2008-04-30,19.2532
2008-03-31,19.4546
2008-02-29,19.8688
2008-01-31,20.4615
2007-12-31,20.8486
2007-11-30,21.2718
2007-10-31,21.8045
2007-09-28,22.2965
2007-08-31,22.7217
2007-07-31,23.0861
2007-06-29,23.5665
2007-05-31,23.5502
2007-04-30,23.4289
2007-03-30,23.3470
2007-02-28,23.1984
2007-01-31,23.0521
2006-12-29,22.7956
2006-11-30,22.4725
2006-10-31,22.0752
2006-09-29,21.6871
2006-08-31,21.3217
2006-07-31,20.9443
2006-06-30,20.7111
2006-05-31,20.4255
2006-04-28,20.1160
2006-03-31,19.6300
2006-02-28,19.0669
2006-01-31,18.6646
2005-12-30,18.2185
2005-11-30,18.1186
2005-10-31,18.0671
2005-09-30,18.2040
2005-08-31,18.5852
2005-07-29,18.7833
2005-06-30,18.8886
2005-05-31,19.0430
2005-04-29,19.1052
2005-03-31,19.1424
2005-02-28,18.6969
2005-01-31,18.3649
2004-12-31,18.1147
2004-11-30,17.8051
2004-10-29,17.5961
2004-09-30,17.5480
2004-08-31,17.4356
2004-07-30,17.2946
2004-06-30,17.1107
2004-05-28,16.6432
2004-04-30,16.1906
2004-03-31,15.7741
2004-02-27,15.4356
2004-01-30,15.1129
2003-12-31,14.9211
2003-11-28,14.5864
2003-10-31,14.5000
2003-09-30,14.4009
2003-08-29,14.4535
2003-07-31,14.4801
2003-06-30,14.5813
2003-05-30,14.5901
2003-04-30,14.6654
2003-03-31,14.7697
2003-02-28,15.1232
2003-01-31,15.5476
2002-12-31,15.9435
2002-11-29,16.0306
2002-10-31,15.9842
2002-09-30,15.9110
2002-08-30,15.9926
2002-07-31,15.8086
2002-06-28,15.8707
2002-05-31,15.9398
2002-04-30,15.8346
2002-03-28,15.4766
2002-02-28,14.9590
2002-01-31,14.1789
2001-12-31,13.6816
2001-11-30,13.1666
2001-10-31,12.4881
2001-09-28,12.1587
2001-08-31,11.9610
2001-07-31,11.4393
2001-06-29,10.8338
2001-05-31,10.4140
2001-04-30,10.0890
2001-03-30,9.7732
2001-02-28,9.7147
2001-01-31,9.6141
2000-12-29,9.6001
2000-11-30,9.5313
2000-10-31,9.6805
2000-09-29,10.0972
