,WMA_monthly_10
2022-04-04,183.0363
2022-03-31,182.0044
2022-02-28,181.7768
2022-01-31,185.4124
2021-12-31,185.9253
2021-11-30,180.6718
2021-10-29,180.0843
2021-09-30,179.2981
2021-08-31,179.5674
2021-07-30,175.5070
2021-06-30,171.1892
2021-05-28,165.8592
2021-04-30,161.2801
2021-03-31,156.3244
2021-02-26,154.2620
2021-01-29,155.3186
2020-12-31,155.4422
2020-11-30,155.2213
2020-10-30,153.4155
2020-09-30,153.2821
2020-08-31,150.7177
2020-07-31,148.4479
2020-06-30,145.0482
2020-05-29,141.0735
2020-04-30,135.7677
2020-03-31,132.0849
2020-02-28,130.6514
2020-01-31,129.2615
2019-12-31,126.3362
2019-11-29,124.2493
2019-10-31,123.4774
2019-09-30,121.2909
2019-08-30,118.5955
2019-07-31,114.4055
2019-06-28,111.7850
2019-05-31,109.3094
2019-04-30,106.7052
2019-03-29,104.4539
2019-02-28,101.3769
2019-01-31,99.6642
2018-12-31,98.0544
2018-11-30,97.7798
2018-10-31,96.5736
2018-09-28,96.3514
2018-08-31,95.6669
2018-07-31,94.5542
2018-06-29,93.7349
2018-05-31,93.3437
2018-04-30,93.6131
2018-03-29,94.3491
2018-02-28,93.5096
2018-01-31,92.4802
2017-12-29,90.6946
2017-11-30,88.8557
2017-10-31,86.4390
2017-09-29,84.5906
2017-08-31,83.5416
2017-07-31,81.0121
2017-06-30,79.5553
2017-05-31,78.0188
2017-04-28,76.2838
2017-03-31,75.6860
2017-02-28,75.0002
2017-01-31,74.4655
2016-12-30,74.7360
2016-11-30,75.1113
2016-10-31,76.1300
2016-09-30,75.9139
2016-08-31,75.0405
2016-07-29,74.0437
2016-06-30,72.4069
2016-05-31,69.7998
2016-04-29,68.7280
2016-03-31,68.1015
2016-02-29,67.4100
2016-01-29,66.7698
2015-12-31,66.0839
2015-11-30,65.3103
2015-10-30,64.7149
2015-09-30,64.0537
2015-08-31,64.3555
2015-07-31,64.0220
2015-06-30,63.8458
2015-05-29,63.8494
2015-04-30,63.6595
2015-03-31,63.0334
2015-02-27,62.4337
2015-01-30,61.2059
2014-12-31,59.7517
2014-11-28,59.3250
2014-10-31,58.2284
2014-09-30,57.7408
2014-08-29,56.8184
2014-07-31,56.0274
2014-06-30,55.9455
2014-05-30,55.7770
2014-04-30,55.2248
2014-03-31,55.2119
