,WMA_monthly_10
2022-04-04,96.4932
2022-03-31,94.7737
2022-02-28,93.0528
2022-01-31,91.3725
2021-12-31,88.5784
2021-11-30,85.3687
2021-10-29,84.4305
2021-09-30,83.8868
2021-08-31,84.2892
2021-07-30,84.5616
2021-06-30,84.4664
2021-05-28,84.7928
2021-04-30,85.1991
2021-03-31,85.4843
2021-02-26,85.2481
2021-01-29,86.3860
2020-12-31,86.1760
2020-11-30,85.1362
2020-10-30,83.7412
2020-09-30,81.9448
2020-08-31,78.7668
2020-07-31,74.7318
2020-06-30,70.2618
2020-05-29,69.2150
2020-04-30,68.5554
2020-03-31,68.8849
2020-02-28,70.4161
2020-01-31,71.0783
2019-12-31,70.8823
2019-11-29,71.2802
2019-10-31,71.5832
2019-09-30,71.8958
2019-08-30,71.1017
2019-07-31,69.1323
2019-06-28,67.6748
2019-05-31,66.3363
2019-04-30,64.4206
2019-03-29,62.0589
2019-02-28,59.9150
2019-01-31,58.3678
2018-12-31,56.8097
2018-11-30,54.7506
2018-10-31,52.2994
2018-09-28,50.9035
2018-08-31,49.2830
2018-07-31,47.9365
2018-06-29,46.6063
2018-05-31,45.6884
2018-04-30,45.9440
2018-03-29,46.4539
2018-02-28,46.2564
2018-01-31,46.2532
2017-12-29,46.3536
2017-11-30,46.2113
2017-10-31,46.5547
2017-09-29,47.2350
2017-08-31,47.2650
2017-07-31,46.9549
2017-06-30,46.0327
2017-05-31,45.3144
2017-04-28,44.5777
2017-03-31,44.2590
2017-02-28,43.8622
2017-01-31,43.3995
2016-12-30,43.7580
2016-11-30,44.3026
2016-10-31,44.8738
2016-09-30,44.6146
2016-08-31,44.3198
2016-07-29,43.5995
2016-06-30,42.8791
2016-05-31,41.6198
2016-04-29,40.6178
2016-03-31,40.0250
2016-02-29,39.3986
2016-01-29,38.8001
2015-12-31,38.7999
2015-11-30,38.7201
2015-10-30,38.5149
2015-09-30,38.2441
2015-08-31,38.0880
2015-07-31,37.6095
2015-06-30,37.0127
2015-05-29,36.7327
2015-04-30,36.0449
2015-03-31,35.5158
2015-02-27,34.4956
2015-01-30,33.3557
2014-12-31,32.4858
2014-11-28,31.6928
2014-10-31,30.9631
2014-09-30,30.5537
2014-08-29,30.2807
2014-07-31,30.1297
2014-06-30,30.2948
2014-05-30,29.8976
2014-04-30,29.5047
2014-03-31,29.0894
2014-02-28,28.5956
2014-01-31,28.1478
2013-12-31,27.9939
2013-11-29,27.6616
2013-10-31,27.3440
2013-09-30,26.9579
2013-08-30,26.9280
2013-07-31,26.8778
2013-06-28,26.4182
2013-05-31,26.0559
2013-04-30,25.7316
2013-03-28,25.1106
2013-02-28,24.3343
2013-01-31,23.6741
2012-12-31,23.2937
2012-11-30,23.1942
2012-10-31,22.9707
2012-09-28,22.9884
2012-08-31,22.6682
2012-07-31,22.1978
2012-06-29,21.4106
2012-05-31,20.6914
2012-04-30,20.0388
2012-03-30,19.5098
2012-02-29,19.0448
2012-01-31,18.6563
2011-12-30,18.4224
2011-11-30,18.0934
2011-10-31,17.8011
2011-09-30,17.4504
2011-08-31,17.0063
2011-07-29,16.5279
2011-06-30,16.2460
2011-05-31,15.8705
2011-04-29,15.3078
2011-03-31,14.7356
2011-02-28,14.2293
2011-01-31,13.8454
2010-12-31,13.7184
2010-11-30,13.5745
2010-10-29,13.5530
2010-09-30,13.4930
2010-08-31,13.4436
2010-07-30,13.5165
2010-06-30,13.3673
2010-05-28,13.3303
2010-04-30,13.1480
2010-03-31,12.7829
2010-02-26,12.4403
2010-01-29,12.0389
2009-12-31,11.8716
2009-11-30,11.6535
2009-10-30,11.4651
2009-09-30,11.3593
2009-08-31,11.2676
2009-07-31,11.1670
2009-06-30,11.0127
2009-05-29,11.0632
2009-04-30,11.2813
2009-03-31,11.3537
2009-02-27,11.5243
2009-01-30,11.8472
2008-12-31,12.0149
2008-11-28,12.0637
2008-10-31,11.9637
2008-09-30,11.8608
2008-08-29,11.6226
2008-07-31,11.3113
2008-06-30,11.2580
2008-05-30,11.1062
2008-04-30,10.9022
2008-03-31,10.6736
2008-02-29,10.5243
2008-01-31,10.3928
2007-12-31,10.2616
2007-11-30,10.0752
2007-10-31,9.7713
2007-09-28,9.7797
2007-08-31,9.7784
2007-07-31,9.8383
2007-06-29,9.7104
2007-05-31,9.5672
2007-04-30,9.3155
2007-03-30,8.9862
2007-02-28,8.6177
2007-01-31,8.2954
2006-12-29,8.0417
2006-11-30,7.8557
2006-10-31,7.6771
2006-09-29,7.5222
2006-08-31,7.3988
2006-07-31,7.2843
2006-06-30,7.2469
2006-05-31,7.2183
2006-04-28,7.2038
2006-03-31,7.1699
2006-02-28,7.1234
2006-01-31,7.1694
2005-12-30,7.1286
2005-11-30,7.2341
2005-10-31,7.3363
2005-09-30,7.3676
2005-08-31,7.3082
2005-07-29,7.1634
2005-06-30,7.0078
2005-05-31,6.8782
2005-04-29,6.7249
2005-03-31,6.5583
2005-02-28,6.3922
2005-01-31,6.2093
2004-12-31,6.0421
2004-11-30,5.8826
2004-10-29,5.7930
2004-09-30,5.8476
2004-08-31,5.8674
2004-07-30,5.7980
2004-06-30,5.7264
2004-05-28,5.5821
2004-04-30,5.4148
2004-03-31,5.2304
2004-02-27,5.0573
2004-01-30,4.8982
2003-12-31,4.7619
2003-11-28,4.6074
2003-10-31,4.4026
2003-09-30,4.2608
2003-08-29,4.1616
2003-07-31,4.1412
2003-06-30,4.1131
2003-05-30,4.0729
2003-04-30,4.0457
2003-03-31,4.0271
2003-02-28,4.0451
2003-01-31,4.0729
2002-12-31,4.1223
2002-11-29,4.1381
2002-10-31,4.1590
2002-09-30,4.0559
2002-08-30,3.9701
2002-07-31,3.9151
2002-06-28,3.9341
2002-05-31,3.8644
2002-04-30,3.6898
2002-03-28,3.6556
2002-02-28,3.5908
2002-01-31,3.4749
2001-12-31,3.3770
2001-11-30,3.3337
2001-10-31,3.2942
2001-09-28,3.2540
2001-08-31,3.2057
2001-07-31,3.1062
2001-06-29,3.0357
2001-05-31,2.9450
2001-04-30,2.8356
2001-03-30,2.7474
2001-02-28,2.7028
2001-01-31,2.6451
2000-12-29,2.4991
2000-11-30,2.4044
2000-10-31,2.3358
2000-09-29,2.3177
