,WMA_monthly_10
2022-04-04,98.6468
2022-03-31,98.3794
2022-02-28,98.4390
2022-01-31,98.5709
2021-12-31,99.4750
2021-11-30,102.3909
2021-10-29,108.8834
2021-09-30,113.4062
2021-08-31,115.9144
2021-07-30,119.4706
2021-06-30,124.0548
2021-05-28,126.1343
2021-04-30,129.1742
2021-03-31,131.0272
2021-02-26,130.0233
2021-01-29,130.4890
2020-12-31,131.1312
2020-11-30,131.8502
2020-10-30,133.6707
2020-09-30,137.3375
2020-08-31,136.1655
2020-07-31,133.0564
2020-06-30,129.5428
2020-05-29,124.1104
2020-04-30,117.7313
2020-03-31,111.0545
2020-02-28,104.1269
2020-01-31,103.9825
2019-12-31,100.2740
2019-11-29,98.2746
2019-10-31,95.7985
2019-09-30,93.8882
2019-08-30,94.3536
2019-07-31,95.6546
2019-06-28,97.0117
2019-05-31,97.9409
2019-04-30,99.9046
2019-03-29,100.7236
2019-02-28,101.8633
2019-01-31,101.9895
2018-12-31,102.4580
2018-11-30,102.7523
2018-10-31,101.6860
2018-09-28,101.5008
2018-08-31,99.3898
2018-07-31,96.2323
2018-06-29,93.2030
2018-05-31,90.6040
2018-04-30,87.4043
2018-03-29,84.2704
2018-02-28,82.7206
2018-01-31,81.1175
2017-12-29,79.2184
2017-11-30,77.9916
2017-10-31,76.5625
2017-09-29,75.8037
2017-08-31,75.9146
2017-07-31,75.5923
2017-06-30,74.9372
2017-05-31,73.9959
2017-04-28,72.3319
2017-03-31,70.6433
2017-02-28,68.2479
2017-01-31,66.3821
2016-12-30,65.4957
2016-11-30,64.6112
2016-10-31,63.8586
2016-09-30,63.2463
2016-08-31,62.4577
2016-07-29,61.3247
2016-06-30,59.6501
2016-05-31,59.0603
2016-04-29,57.6736
2016-03-31,56.5513
2016-02-29,55.6923
2016-01-29,55.8819
2015-12-31,56.0067
2015-11-30,55.2479
2015-10-30,54.1072
2015-09-30,51.9622
2015-08-31,51.5495
2015-07-31,51.2450
2015-06-30,49.8440
2015-05-29,49.1982
2015-04-30,49.3024
2015-03-31,49.0455
2015-02-27,49.2173
2015-01-30,49.3558
2014-12-31,50.0798
2014-11-28,50.1239
2014-10-31,49.6515
2014-09-30,49.4533
2014-08-29,48.1053
2014-07-31,46.7203
2014-06-30,45.7250
2014-05-30,45.5600
2014-04-30,45.6142
2014-03-31,46.0509
2014-02-28,46.8423
2014-01-31,47.3018
2013-12-31,48.8386
2013-11-29,49.2114
2013-10-31,50.3193
2013-09-30,51.9007
2013-08-30,51.4385
2013-07-31,50.8297
2013-06-28,50.1104
2013-05-31,51.2437
2013-04-30,51.9357
2013-03-28,53.2361
2013-02-28,53.1675
2013-01-31,53.4752
2012-12-31,53.5499
2012-11-30,54.7937
2012-10-31,56.7104
2012-09-28,58.5266
2012-08-31,58.2316
2012-07-31,57.7087
2012-06-29,57.6278
2012-05-31,55.6641
2012-04-30,55.1882
2012-03-30,52.9015
2012-02-29,51.6621
2012-01-31,51.1323
2011-12-30,52.0364
2011-11-30,53.6908
2011-10-31,53.7557
2011-09-30,53.5603
2011-08-31,56.0608
2011-07-29,57.7964
2011-06-30,57.8734
2011-05-31,56.5442
2011-04-29,53.7101
2011-03-31,50.7471
2011-02-28,48.8762
2011-01-31,47.1419
2010-12-31,46.1557
2010-11-30,44.0948
2010-10-29,41.9636
2010-09-30,39.8390
2010-08-31,36.7301
2010-07-30,34.7530
2010-06-30,32.9614
2010-05-28,32.8481
2010-04-30,32.4331
2010-03-31,31.3357
2010-02-26,29.9552
2010-01-29,28.9913
2009-12-31,27.9678
2009-11-30,26.6451
2009-10-30,25.5598
2009-09-30,24.4885
2009-08-31,22.9016
2009-07-31,21.6717
2009-06-30,20.3071
2009-05-29,19.4333
2009-04-30,18.5599
2009-03-31,18.0971
2009-02-27,18.6093
2009-01-30,19.5748
2008-12-31,20.5914
2008-11-28,21.3874
2008-10-31,21.8662
2008-09-30,22.6374
2008-08-29,23.6412
2008-07-31,24.1280
2008-06-30,25.3061
2008-05-30,26.1971
2008-04-30,26.4481
2008-03-31,26.9167
2008-02-29,27.9175
2008-01-31,28.4157
2007-12-31,28.6444
2007-11-30,28.3237
2007-10-31,28.0720
2007-09-28,26.7684
2007-08-31,25.6739
2007-07-31,25.0343
2007-06-29,24.4201
2007-05-31,24.1108
2007-04-30,23.7844
2007-03-30,23.7014
2007-02-28,23.7740
2007-01-31,23.9299
2006-12-29,24.2468
2006-11-30,25.2749
2006-10-31,26.0982
2006-09-29,26.8012
2006-08-31,26.4546
2006-07-31,26.8248
2006-06-30,26.9566
2006-05-31,25.7107
2006-04-28,24.6232
2006-03-31,22.9594
2006-02-28,21.3988
2006-01-31,20.4681
2005-12-30,19.6506
2005-11-30,19.0388
2005-10-31,18.5682
2005-09-30,18.0027
2005-08-31,17.7453
2005-07-29,17.6761
2005-06-30,17.5155
2005-05-31,17.5756
2005-04-29,17.0472
2005-03-31,16.8571
2005-02-28,16.4450
2005-01-31,16.1678
