,WMA_monthly_10
2022-04-04,87.0267
2022-03-31,89.3698
2022-02-28,92.8655
2022-01-31,95.3675
2021-12-31,99.5387
2021-11-30,100.5465
2021-10-29,101.8256
2021-09-30,98.9395
2021-08-31,94.7376
2021-07-30,91.4393
2021-06-30,90.1664
2021-05-28,84.8598
2021-04-30,77.4915
2021-03-31,70.8198
2021-02-26,65.0920
2021-01-29,56.9660
2020-12-31,52.0129
2020-11-30,45.9164
2020-10-30,40.7864
2020-09-30,40.1622
2020-08-31,37.4480
2020-07-31,36.5805
2020-06-30,38.5553
2020-05-29,38.8636
2020-04-30,40.1840
2020-03-31,44.5013
2020-02-28,50.7307
2020-01-31,50.4400
2019-12-31,48.1658
2019-11-29,45.7093
2019-10-31,44.2420
2019-09-30,44.2082
2019-08-30,45.1400
2019-07-31,46.2825
2019-06-28,46.2865
2019-05-31,46.1538
2019-04-30,45.3425
2019-03-29,44.3082
2019-02-28,43.7340
2019-01-31,42.7433
2018-12-31,41.7940
2018-11-30,42.6991
2018-10-31,42.0200
2018-09-28,42.6400
2018-08-31,40.7327
2018-07-31,38.5191
2018-06-29,36.9382
2018-05-31,35.7464
2018-04-30,32.9945
2018-03-29,30.7245
2018-02-28,29.5955
2018-01-31,27.9941
2017-12-29,26.0268
2017-11-30,24.0077
2017-10-31,22.1777
2017-09-29,21.0795
2017-08-31,19.7741
2017-07-31,18.7523
2017-06-30,18.0879
2017-05-31,17.3865
2017-04-28,16.4341
2017-03-31,15.7057
2017-02-28,14.9405
2017-01-31,14.5946
2016-12-30,14.3204
2016-11-30,13.6563
2016-10-31,13.5116
2016-09-30,13.6470
2016-08-31,13.3465
2016-07-29,12.9905
2016-06-30,12.4465
2016-05-31,11.6622
2016-04-29,10.8142
2016-03-31,10.1955
2016-02-29,9.8207
2016-01-29,9.6522
2015-12-31,9.3311
2015-11-30,8.7700
2015-10-30,8.3430
2015-09-30,7.7715
2015-08-31,7.2712
2015-07-31,6.6018
