,WMA_monthly_10
2022-04-04,74.8104
2022-03-31,74.6893
2022-02-28,74.9864
2022-01-31,74.5678
2021-12-31,74.3443
2021-11-30,73.1602
2021-10-29,73.2879
2021-09-30,74.2661
2021-08-31,75.4392
2021-07-30,75.1990
2021-06-30,74.4037
2021-05-28,72.8371
2021-04-30,69.4101
2021-03-31,66.9326
2021-02-26,63.9365
2021-01-29,61.7522
2020-12-31,57.1759
2020-11-30,53.5712
2020-10-30,51.0945
2020-09-30,49.9433
2020-08-31,49.1854
2020-07-31,48.5317
2020-06-30,48.5704
2020-05-29,48.9644
2020-04-30,50.1382
2020-03-31,52.4875
2020-02-28,58.0864
2020-01-31,63.3818
2019-12-31,68.2504
2019-11-29,71.5869
2019-10-31,75.5632
2019-09-30,80.1206
2019-08-30,84.5207
2019-07-31,90.2078
2019-06-28,96.1509
2019-05-31,102.7894
2019-04-30,107.3946
2019-03-29,108.1954
2019-02-28,110.7194
2019-01-31,113.6201
2018-12-31,116.6637
2018-11-30,120.4085
2018-10-31,123.2482
2018-09-28,128.0604
2018-08-31,129.5184
2018-07-31,129.0243
2018-06-29,129.0201
2018-05-31,130.6367
2018-04-30,133.5147
2018-03-29,137.2922
2018-02-28,141.4236
2018-01-31,143.5622
2017-12-29,144.0005
2017-11-30,146.1879
2017-10-31,148.2039
2017-09-29,150.0999
2017-08-31,153.1858
2017-07-31,150.5752
2017-06-30,147.9878
2017-05-31,145.6276
2017-04-28,143.5013
2017-03-31,140.6687
2017-02-28,137.0854
2017-01-31,133.6355
2016-12-30,130.9073
2016-11-30,128.4353
2016-10-31,125.1332
2016-09-30,123.4978
2016-08-31,122.4561
2016-07-29,120.2531
2016-06-30,117.5844
2016-05-31,115.9175
2016-04-29,113.6679
2016-03-31,111.1675
2016-02-29,109.6394
2016-01-29,109.1721
2015-12-31,112.0256
2015-11-30,110.4328
2015-10-30,108.5446
2015-09-30,108.2824
2015-08-31,113.7042
2015-07-31,118.4409
2015-06-30,122.2554
2015-05-29,124.4321
2015-04-30,124.1197
2015-03-31,122.9958
2015-02-27,122.3025
2015-01-30,119.2288
2014-12-31,118.2002
2014-11-28,116.0536
2014-10-31,114.3220
2014-09-30,113.2616
2014-08-29,111.0357
2014-07-31,110.3502
2014-06-30,110.1491
2014-05-30,109.2951
2014-04-30,106.8486
2014-03-31,104.6625
2014-02-28,102.1621
2014-01-31,99.3898
2013-12-31,98.0644
2013-11-29,94.9922
2013-10-31,92.5391
2013-09-30,89.7561
2013-08-30,87.2711
2013-07-31,84.9597
2013-06-28,82.1953
2013-05-31,80.8555
2013-04-30,78.3021
2013-03-28,76.1063
2013-02-28,75.4260
2013-01-31,75.2269
2012-12-31,75.4050
2012-11-30,76.4394
2012-10-31,78.1881
2012-09-28,79.6659
2012-08-31,79.3686
2012-07-31,79.1274
2012-06-29,78.7150
2012-05-31,77.9521
2012-04-30,77.8952
2012-03-30,76.4488
2012-02-29,75.1353
2012-01-31,74.5233
2011-12-30,74.0938
2011-11-30,75.3284
2011-10-31,76.0526
2011-09-30,76.8120
2011-08-31,80.0086
2011-07-29,80.8079
2011-06-30,80.6307
2011-05-31,79.3267
2011-04-29,77.8427
2011-03-31,74.8701
2011-02-28,71.8551
2011-01-31,68.4136
2010-12-31,65.8349
2010-11-30,63.0064
2010-10-29,60.5389
2010-09-30,57.7044
2010-08-31,55.2890
2010-07-30,53.6376
2010-06-30,51.8650
2010-05-28,51.6253
2010-04-30,50.7816
2010-03-31,48.6592
2010-02-26,46.9674
2010-01-29,46.0190
2009-12-31,45.1814
2009-11-30,43.6545
2009-10-30,41.5498
2009-09-30,40.0719
2009-08-31,38.2984
2009-07-31,36.5335
2009-06-30,35.3201
2009-05-29,35.8965
2009-04-30,36.0736
2009-03-31,36.8395
2009-02-27,39.6073
2009-01-30,43.9770
2008-12-31,47.9409
2008-11-28,51.8116
2008-10-31,56.1957
2008-09-30,59.2335
2008-08-29,60.3673
2008-07-31,60.5719
2008-06-30,61.1353
2008-05-30,62.0331
2008-04-30,61.6496
2008-03-31,61.1381
2008-02-29,61.2449
2008-01-31,61.4614
2007-12-31,62.1436
2007-11-30,63.2148
2007-10-31,63.8408
2007-09-28,63.7270
2007-08-31,63.5150
2007-07-31,63.3926
2007-06-29,63.7181
2007-05-31,62.8063
2007-04-30,61.2228
2007-03-30,60.2614
2007-02-28,59.0553
2007-01-31,57.3603
2006-12-29,55.8256
2006-11-30,54.2683
2006-10-31,52.9115
2006-09-29,51.7958
2006-08-31,51.3298
2006-07-31,51.5270
2006-06-30,51.8463
2006-05-31,51.6565
2006-04-28,51.2259
2006-03-31,50.4710
2006-02-28,50.2104
2006-01-31,50.5116
2005-12-30,51.3793
2005-11-30,51.7113
2005-10-31,52.0614
2005-09-30,52.8658
2005-08-31,54.3398
2005-07-29,55.7691
2005-06-30,56.5758
2005-05-31,57.2733
2005-04-29,57.0958
2005-03-31,56.7863
2005-02-28,55.3830
2005-01-31,53.2781
2004-12-31,52.3534
2004-11-30,50.9979
2004-10-29,50.3864
2004-09-30,50.4172
2004-08-31,50.4126
2004-07-30,50.4555
2004-06-30,50.3637
2004-05-28,49.9264
2004-04-30,49.7338
2004-03-31,49.6215
2004-02-27,49.6399
2004-01-30,48.9714
2003-12-31,48.5003
2003-11-28,47.4022
2003-10-31,47.1279
2003-09-30,47.1662
2003-08-29,47.3572
2003-07-31,46.4675
2003-06-30,45.6356
2003-05-30,45.2278
2003-04-30,44.6832
2003-03-31,44.1432
2003-02-28,44.4723
2003-01-31,45.3769
2002-12-31,46.2755
2002-11-29,46.3264
2002-10-31,45.8917
2002-09-30,46.2116
2002-08-30,47.7129
2002-07-31,48.3338
2002-06-28,48.6005
2002-05-31,48.2858
2002-04-30,47.5637
2002-03-28,47.2574
2002-02-28,46.3923
2002-01-31,45.5278
2001-12-31,45.1713
2001-11-30,45.1420
2001-10-31,44.7158
2001-09-28,45.3412
2001-08-31,46.5189
2001-07-31,47.0852
2001-06-29,47.3062
2001-05-31,46.4004
2001-04-30,45.8008
2001-03-30,45.4527
2001-02-28,46.0980
2001-01-31,46.2173
2000-12-29,46.5532
2000-11-30,46.0389
2000-10-31,46.9442
2000-09-29,47.6980
