,WMA_monthly_10
2022-04-04,507.1538
2022-03-31,504.8907
2022-02-28,501.9693
2022-01-31,516.3040
2021-12-31,526.3335
2021-11-30,514.4744
2021-10-29,494.5400
2021-09-30,458.9749
2021-08-31,433.1611
2021-07-30,406.7029
2021-06-30,380.8960
2021-05-28,371.1529
2021-04-30,373.0871
2021-03-31,372.3340
2021-02-26,376.7813
2021-01-29,373.1107
2020-12-31,371.6896
2020-11-30,369.4973
2020-10-30,374.9680
2020-09-30,378.6235
2020-08-31,362.0713
2020-07-31,338.1924
2020-06-30,307.2662
2020-05-29,277.5693
2020-04-30,248.7716
2020-03-31,224.4420
2020-02-28,209.4093
2020-01-31,190.3360
2019-12-31,175.4600
2019-11-29,163.1420
2019-10-31,147.6971
2019-09-30,144.9115
2019-08-30,142.6776
2019-07-31,135.6704
2019-06-28,131.0916
2019-05-31,127.6918
2019-04-30,129.0053
2019-03-29,129.8862
2019-02-28,130.5596
2019-01-31,126.3522
2018-12-31,120.6198
2018-11-30,117.5900
2018-10-31,111.4822
2018-09-28,103.4256
2018-08-31,91.9635
2018-07-31,78.4502
2018-06-29,73.0515
2018-05-31,67.3096
2018-04-30,62.4500
2018-03-29,60.2825
2018-02-28,57.8038
2018-01-31,58.9982
2017-12-29,60.3004
2017-11-30,62.1275
2017-10-31,64.1422
2017-09-29,68.8720
2017-08-31,73.1793
2017-07-31,72.8835
2017-06-30,74.4249
2017-05-31,75.1035
2017-04-28,77.3909
2017-03-31,77.6815
2017-02-28,76.3731
2017-01-31,76.0087
2016-12-30,75.2600
2016-11-30,78.1451
2016-10-31,80.1227
2016-09-30,79.8124
2016-08-31,77.7413
2016-07-29,74.9053
2016-06-30,71.7462
2016-05-31,71.2018
2016-04-29,73.7222
2016-03-31,76.5462
2016-02-29,78.7976
2016-01-29,81.6129
2015-12-31,83.1347
2015-11-30,82.3409
2015-10-30,80.5209
2015-09-30,78.4960
2015-08-31,75.3838
2015-07-31,69.8718
2015-06-30,65.2733
2015-05-29,60.8733
2015-04-30,57.3562
2015-03-31,54.0862
2015-02-27,51.2475
2015-01-30,48.1851
2014-12-31,44.9624
2014-11-28,42.4187
2014-10-31,40.3278
2014-09-30,39.2471
2014-08-29,38.9427
2014-07-31,37.5916
2014-06-30,37.2540
2014-05-30,36.3271
2014-04-30,36.2551
2014-03-31,36.2415
2014-02-28,34.2327
2014-01-31,31.0224
2013-12-31,28.2240
2013-11-29,25.9713
2013-10-31,23.8156
2013-09-30,22.1775
2013-08-30,20.3567
2013-07-31,18.4951
2013-06-28,17.4689
2013-05-31,16.1545
2013-04-30,14.9562
2013-03-28,14.4987
2013-02-28,13.8765
2013-01-31,13.4882
2012-12-31,12.9562
2012-11-30,12.6715
2012-10-31,12.4411
2012-09-28,12.1382
2012-08-31,11.3569
2012-07-31,10.8264
2012-06-29,10.7302
2012-05-31,10.2625
2012-04-30,10.2571
2012-03-30,10.5155
2012-02-29,10.7527
2012-01-31,11.0311
2011-12-30,11.3595
2011-11-30,12.0864
2011-10-31,13.1585
2011-09-30,13.9789
2011-08-31,14.3844
2011-07-29,14.8164
2011-06-30,14.8400
2011-05-31,14.7662
2011-04-29,14.3758
2011-03-31,13.7329
2011-02-28,13.2047
2011-01-31,12.7715
2010-12-31,12.3543
2010-11-30,11.9360
2010-10-29,11.9093
2010-09-30,11.3213
2010-08-31,10.7284
2010-07-30,10.2178
2010-06-30,9.8431
2010-05-28,9.3275
2010-04-30,8.9251
2010-03-31,8.3598
2010-02-26,7.9385
2010-01-29,7.5616
2009-12-31,7.0916
2009-11-30,6.7285
2009-10-30,6.4415
2009-09-30,6.1507
2009-08-31,5.5576
2009-07-31,4.9265
2009-06-30,4.5360
2009-05-29,4.2071
2009-04-30,4.0138
2009-03-31,4.0453
2009-02-27,4.2067
2009-01-30,4.4509
2008-12-31,4.8607
2008-11-28,5.4398
2008-10-31,6.2736
2008-09-30,6.7276
2008-08-29,6.9227
2008-07-31,7.0364
2008-06-30,7.2387
2008-05-30,7.6222
2008-04-30,7.6718
2008-03-31,7.7649
2008-02-29,8.5493
2008-01-31,8.7573
2007-12-31,8.7662
2007-11-30,8.6853
2007-10-31,8.6416
2007-09-28,8.4900
2007-08-31,8.2340
2007-07-31,8.1162
2007-06-29,8.2675
2007-05-31,8.4742
2007-04-30,9.0742
2007-03-30,9.5198
2007-02-28,10.1964
2007-01-31,11.1415
2006-12-29,12.1460
2006-11-30,13.1140
2006-10-31,13.9682
2006-09-29,15.3809
2006-08-31,16.4225
2006-07-31,17.1564
2006-06-30,18.0580
2006-05-31,18.6316
2006-04-28,17.9827
2006-03-31,16.0655
2006-02-28,14.9233
