,WMA_monthly_10
2022-03-07,2.8630
2022-02-28,2.6861
2022-01-31,2.5719
2021-12-31,2.4436
2021-11-30,2.2480
2021-10-29,1.8970
2021-09-30,1.6744
2021-08-31,1.5266
2021-07-30,1.4387
2021-06-30,1.3183
2021-05-28,1.1488
2021-04-30,0.8819
2021-03-31,0.6264
2021-02-26,0.3944
2021-01-29,0.3588
2020-12-31,0.3298
2020-11-30,0.3050
2020-10-30,0.2806
2020-09-30,0.2485
2020-08-31,0.2185
2020-07-31,0.1803
2020-06-30,0.1568
2020-05-29,0.1514
2020-04-30,0.1652
2020-03-31,0.1850
2020-02-28,0.2032
2020-01-31,0.2083
2019-12-31,0.2156
2019-11-29,0.2258
2019-10-31,0.2348
2019-09-30,0.2401
2019-08-30,0.2443
2019-07-31,0.2293
2019-06-28,0.2184
2019-05-31,0.2064
2019-04-30,0.2084
2019-03-29,0.1927
2019-02-28,0.1962
2019-01-31,0.2116
2018-12-27,0.2351
2018-11-30,0.2433
2018-10-31,0.2382
2018-09-28,0.2334
2018-08-31,0.2255
2018-07-31,0.2164
2018-06-29,0.1962
2018-05-31,0.1854
2018-04-30,0.1675
2018-03-29,0.1564
2018-02-28,0.1552
2018-01-31,0.1542
2017-12-29,0.1373
2017-11-30,0.1335
2017-10-31,0.1284
2017-09-29,0.1230
2017-08-31,0.1142
2017-07-31,0.1317
2017-06-30,0.1489
2017-05-31,0.1621
2017-04-28,0.1757
2017-03-31,0.1761
2017-02-28,0.1758
2017-01-31,0.1538
2016-12-30,0.1109
2016-11-30,0.0992
2016-10-31,0.0955
2016-09-30,0.0953
2016-08-31,0.0956
2016-07-29,0.0915
2016-06-30,0.0903
2016-05-31,0.0854
2016-04-29,0.0803
2016-03-31,0.0891
2016-02-29,0.0962
2016-01-29,0.1057
2015-12-31,0.1177
2015-11-30,0.1297
2015-10-30,0.1410
2015-09-30,0.1521
2015-08-31,0.1598
2015-07-31,0.1711
2015-06-30,0.1831
2015-05-29,0.1957
2015-04-30,0.1987
2015-03-31,0.1999
2015-02-27,0.2003
2015-01-30,0.1857
2014-12-31,0.1800
2014-11-28,0.2065
2014-10-31,0.2322
2014-09-30,0.2479
2014-08-29,0.2613
2014-07-31,0.2644
2014-06-30,0.2463
2014-05-30,0.2256
2014-04-30,0.2069
2014-03-31,0.1879
2014-02-28,0.1068
2014-01-31,0.0952
2013-12-31,0.1097
2013-11-29,0.1266
2013-10-31,0.1430
2013-09-30,0.1490
2013-08-30,0.1559
2013-07-31,0.1656
2013-06-28,0.1769
2013-05-31,0.1927
2013-04-30,0.2060
2013-03-28,0.2243
2013-02-28,0.2273
2013-01-31,0.2429
2012-12-31,0.2507
2012-11-30,0.2641
2012-10-31,0.2854
2012-09-28,0.2966
2012-08-31,0.3142
2012-07-31,0.3381
2012-06-29,0.3639
2012-05-31,0.3625
2012-04-30,0.3731
2012-03-30,0.4060
2012-02-29,0.4165
2012-01-31,0.4588
2011-12-30,0.5162
2011-11-30,0.5793
2011-10-31,0.5893
2011-09-30,0.5952
2011-08-31,0.6251
2011-07-29,0.6462
2011-06-30,0.7340
2011-05-31,0.8260
2011-04-29,0.9550
2011-03-31,1.0555
2011-02-28,1.1888
2011-01-31,1.3069
2010-12-31,1.5130
2010-11-30,1.8152
2010-10-29,2.0814
2010-09-30,2.2350
2010-08-31,2.1922
2010-07-30,2.0513
2010-06-30,1.9790
2010-05-28,1.8676
2010-04-30,1.8957
2010-03-31,1.6730
2010-02-26,1.3913
2010-01-29,1.1042
2009-12-31,0.8181
2009-11-30,0.7407
2009-10-30,0.6611
2009-09-30,0.6128
2009-08-31,0.6257
2009-07-31,0.6150
2009-06-30,0.6022
2009-05-29,0.5631
2009-04-30,0.5459
2009-03-31,0.4446
2009-02-27,0.4252
2009-01-30,0.4385
2008-12-31,0.4636
2008-11-28,0.5598
2008-10-31,0.6582
2008-09-30,0.7213
2008-08-29,0.7931
2008-07-31,0.8757
2008-06-30,0.9453
2008-05-30,1.0226
2008-04-30,1.0485
2008-03-31,1.0440
2008-02-29,1.0320
2008-01-31,1.0592
2007-12-31,1.0887
2007-11-30,1.1116
2007-10-31,1.2523
2007-09-28,1.3429
2007-08-31,1.4399
2007-07-31,1.5501
2007-06-29,1.6821
2007-05-31,1.8250
2007-04-30,2.0006
2007-03-30,2.1436
2007-02-28,2.1086
2007-01-31,2.1316
2006-12-29,2.0868
2006-11-30,2.1446
2006-10-31,2.3105
2006-09-29,2.5341
2006-08-31,2.4174
2006-07-31,2.2570
2006-06-30,2.0726
2006-05-31,2.0519
2006-04-28,1.9908
2006-03-31,2.0334
2006-02-28,1.9385
2006-01-31,1.7257
2005-12-30,1.5141
2005-11-30,1.5327
2005-10-31,1.4967
2005-09-30,1.3996
2005-08-31,1.3199
2005-07-29,1.2796
2005-06-30,1.1607
2005-05-31,1.1596
2005-04-29,1.2109
2005-03-31,1.3407
2005-02-28,1.5534
2005-01-31,1.7083
2004-12-31,1.9788
2004-11-30,2.3039
2004-10-29,2.5461
2004-09-30,2.8472
2004-08-31,3.1908
2004-07-30,3.1635
2004-06-30,2.8744
2004-05-28,2.7817
2004-04-30,2.6563
2004-03-31,2.3781
2004-02-27,2.1785
2004-01-30,2.0312
2003-12-31,1.8097
2003-11-28,1.7083
2003-10-31,1.5370
2003-09-30,1.4144
2003-08-29,1.2700
2003-07-31,1.1037
2003-06-30,1.0400
2003-05-30,0.9698
2003-04-30,0.6203
2003-03-31,0.6460
2003-02-28,0.5998
2003-01-31,0.7717
2002-12-31,0.9949
2002-11-29,1.2479
2002-10-31,1.4792
2002-09-30,1.7541
2002-08-30,1.9985
2002-07-31,2.2821
2002-06-28,2.4370
2002-05-31,2.5417
2002-04-30,2.7446
2002-03-28,2.8733
2002-02-28,3.1002
2002-01-31,3.2791
2001-12-31,3.5490
2001-11-30,3.8488
2001-10-31,4.7023
2001-09-28,5.4166
2001-08-31,6.2400
2001-07-31,6.9324
2001-06-29,7.3245
2001-05-31,8.0617
2001-04-30,8.6639
2001-03-30,9.3217
2001-02-28,9.9151
2001-01-31,9.8745
2000-12-29,7.9188
2000-11-30,7.3330
2000-10-31,6.8210
2000-09-29,6.2435
