,WMA_monthly_10
2022-04-04,88.6441
2022-03-31,92.0927
2022-02-28,96.2562
2022-01-31,98.4334
2021-12-31,99.3618
2021-11-30,97.5414
2021-10-29,96.6000
2021-09-30,95.2501
2021-08-31,95.9465
2021-07-30,94.8914
2021-06-30,93.6535
2021-05-28,91.7370
2021-04-30,88.6844
2021-03-31,84.6019
2021-02-26,81.5305
2021-01-29,80.1003
2020-12-31,77.3806
2020-11-30,74.3155
2020-10-30,71.3669
2020-09-30,68.6408
2020-08-31,64.4767
2020-07-31,60.3043
2020-06-30,57.1262
2020-05-29,55.9497
2020-04-30,55.1803
2020-03-31,56.8665
2020-02-28,59.5074
2020-01-31,58.6886
2019-12-31,56.2972
2019-11-29,54.1697
2019-10-31,52.0792
2019-09-30,50.1950
2019-08-30,49.0517
2019-07-31,48.4264
2019-06-28,47.1011
2019-05-31,45.3059
2019-04-30,45.2601
2019-03-29,44.4298
2019-02-28,44.6402
2019-01-31,45.0529
2018-12-31,46.0443
2018-11-30,48.6896
2018-10-31,50.7777
2018-09-28,53.1190
2018-08-31,54.4219
2018-07-31,55.8291
2018-06-29,56.5528
2018-05-31,58.1625
2018-04-30,59.4944
2018-03-29,61.2862
2018-02-28,62.4188
2018-01-31,63.2873
2017-12-29,62.2467
2017-11-30,61.4428
2017-10-31,60.4035
2017-09-29,59.5766
2017-08-31,58.3349
2017-07-31,57.7507
2017-06-30,56.5242
2017-05-31,55.3329
2017-04-28,54.4970
2017-03-31,53.4766
2017-02-28,52.9018
2017-01-31,52.7886
2016-12-30,53.1717
2016-11-30,53.7759
2016-10-31,53.9735
2016-09-30,54.2921
2016-08-31,53.9639
2016-07-29,52.5139
2016-06-30,50.8670
2016-05-31,49.9360
2016-04-29,48.6939
2016-03-31,47.8588
2016-02-29,46.7402
2016-01-29,46.4965
2015-12-31,46.5269
2015-11-30,45.2394
2015-10-30,43.8615
2015-09-30,42.8234
2015-08-31,42.5482
2015-07-31,42.1243
2015-06-30,41.6241
2015-05-29,41.3959
2015-04-30,41.0194
2015-03-31,40.7921
2015-02-27,39.9562
2015-01-30,39.1981
2014-12-31,38.6652
2014-11-28,38.0707
2014-10-31,37.5283
2014-09-30,37.3156
2014-08-29,37.4916
2014-07-31,37.3111
2014-06-30,38.1010
2014-05-30,38.4828
2014-04-30,38.8711
2014-03-31,39.2774
2014-02-28,39.3156
2014-01-31,38.4125
2013-12-31,37.6749
2013-11-29,36.6457
2013-10-31,35.7786
2013-09-30,34.7839
2013-08-30,33.8335
2013-07-31,33.5262
2013-06-28,32.2725
2013-05-31,31.2209
2013-04-30,29.2629
2013-03-28,28.0493
2013-02-28,26.4257
2013-01-31,25.0785
2012-12-31,23.8520
2012-11-30,23.0374
2012-10-31,21.9117
2012-09-28,20.8526
2012-08-31,19.8581
2012-07-31,18.9307
