,WMA_monthly_10
2022-04-04,431.7262
2022-03-31,427.8237
2022-02-28,421.8927
2022-01-31,419.7423
2021-12-31,412.7820
2021-11-30,390.8478
2021-10-29,369.0128
2021-09-30,349.7354
2021-08-31,338.2048
2021-07-30,327.9230
2021-06-30,321.4859
2021-05-28,319.1859
2021-04-30,317.2675
2021-03-31,314.9805
2021-02-26,317.6161
2021-01-29,320.5264
2020-12-31,323.0796
2020-11-30,318.9792
2020-10-30,313.7458
2020-09-30,312.8254
2020-08-31,305.4300
2020-07-31,293.4668
2020-06-30,280.4906
2020-05-29,269.6587
2020-04-30,261.9862
2020-03-31,260.4239
2020-02-28,261.6919
2020-01-31,262.1364
2019-12-31,258.4109
2019-11-29,257.2340
2019-10-31,256.8256
2019-09-30,256.6563
2019-08-30,258.1771
2019-07-31,253.6252
2019-06-28,247.2976
2019-05-31,238.2843
2019-04-30,229.3522
2019-03-29,219.5560
2019-02-28,213.7719
2019-01-31,209.4505
2018-12-31,207.7875
2018-11-30,209.4068
2018-10-31,204.3360
2018-09-28,200.6894
2018-08-31,196.6023
2018-07-31,190.7843
2018-06-29,189.5921
2018-05-31,188.2302
2018-04-30,185.7304
2018-03-29,184.9935
2018-02-28,181.8401
2018-01-31,177.2971
2017-12-29,172.6333
2017-11-30,169.0616
2017-10-31,163.7446
2017-09-29,159.7774
2017-08-31,157.1321
2017-07-31,158.3926
2017-06-30,157.8988
2017-05-31,157.7615
2017-04-28,157.7817
2017-03-31,158.2642
2017-02-28,158.3377
2017-01-31,155.6718
2016-12-30,153.5303
2016-11-30,152.7976
2016-10-31,152.4318
2016-09-30,153.1961
2016-08-31,152.7966
2016-07-29,149.5815
2016-06-30,147.2582
2016-05-31,146.6541
2016-04-29,146.5323
2016-03-31,148.0928
2016-02-29,149.7298
2016-01-29,151.6325
2015-12-31,153.6967
2015-11-30,153.6032
2015-10-30,151.8604
2015-09-30,148.6434
2015-08-31,147.6178
2015-07-31,146.4399
2015-06-30,143.2650
2015-05-29,140.0120
2015-04-30,135.5257
2015-03-31,131.7821
2015-02-27,126.8405
2015-01-30,121.6658
2014-12-31,117.9486
2014-11-28,114.0959
2014-10-31,110.3148
2014-09-30,107.1400
2014-08-29,105.4653
2014-07-31,102.4728
2014-06-30,100.5581
2014-05-30,98.3014
2014-04-30,98.2515
2014-03-31,98.2808
2014-02-28,97.9156
2014-01-31,97.7625
2013-12-31,97.3547
2013-11-29,96.2767
2013-10-31,94.1048
2013-09-30,92.3019
2013-08-30,90.1806
2013-07-31,88.9612
2013-06-28,86.4454
2013-05-31,84.9492
2013-04-30,83.9648
2013-03-28,83.6818
2013-02-28,83.8342
2013-01-31,83.3182
2012-12-31,83.7263
2012-11-30,84.8407
2012-10-31,85.1607
2012-09-28,85.7655
2012-08-31,85.3454
2012-07-31,85.7002
2012-06-29,85.9151
2012-05-31,86.0387
2012-04-30,83.8942
2012-03-30,81.8352
2012-02-29,80.8964
2012-01-31,82.1835
2011-12-30,83.6158
2011-11-30,85.4867
2011-10-31,86.4997
2011-09-30,86.4556
2011-08-31,88.0814
2011-07-29,89.8632
2011-06-30,90.8292
2011-05-31,89.6785
2011-04-29,86.5651
2011-03-31,83.0400
2011-02-28,79.6686
2011-01-31,75.7837
2010-12-31,72.1403
2010-11-30,69.1731
2010-10-29,66.5976
2010-09-30,63.8405
2010-08-31,61.9940
2010-07-30,61.1936
2010-06-30,60.0495
2010-05-28,59.9820
2010-04-30,59.5538
2010-03-31,57.6160
2010-02-26,55.6392
2010-01-29,54.5886
2009-12-31,53.8621
2009-11-30,52.2434
2009-10-30,49.0761
2009-09-30,46.9284
2009-08-31,44.0141
2009-07-31,42.5998
2009-06-30,40.8750
2009-05-29,40.4126
2009-04-30,39.5347
2009-03-31,38.6125
2009-02-27,38.4721
2009-01-30,40.4470
2008-12-31,42.4630
2008-11-28,43.9093
2008-10-31,46.2555
2008-09-30,49.0748
2008-08-29,49.9602
2008-07-31,49.3337
2008-06-30,49.6752
2008-05-30,50.2682
2008-04-30,49.5802
2008-03-31,49.7643
2008-02-29,51.0461
2008-01-31,52.6468
2007-12-31,53.8412
2007-11-30,55.1619
2007-10-31,55.3314
2007-09-28,54.0949
2007-08-31,52.9164
2007-07-31,52.9184
2007-06-29,51.7411
2007-05-31,49.8276
2007-04-30,48.2978
2007-03-30,46.9215
2007-02-28,45.0633
2007-01-31,43.2505
2006-12-29,41.6592
2006-11-30,40.0454
2006-10-31,38.7800
2006-09-29,37.6750
2006-08-31,36.7730
2006-07-31,36.4128
2006-06-30,35.9582
2006-05-31,34.7957
2006-04-28,33.8690
2006-03-31,32.9399
2006-02-28,31.7889
2006-01-31,31.2539
2005-12-30,30.5087
2005-11-30,29.4425
2005-10-31,28.6967
2005-09-30,28.5694
2005-08-31,28.4016
2005-07-29,28.2404
2005-06-30,27.7609
2005-05-31,27.3135
2005-04-29,27.3951
2005-03-31,28.1826
2005-02-28,28.1146
2005-01-31,27.9490
2004-12-31,27.2855
2004-11-30,25.8945
2004-10-29,25.0485
2004-09-30,24.2728
2004-08-31,23.5923
2004-07-30,23.2696
2004-06-30,23.1023
2004-05-28,22.5317
2004-04-30,22.3391
2004-03-31,22.5909
2004-02-27,22.5193
2004-01-30,23.0002
2003-12-31,23.3075
2003-11-28,23.4712
2003-10-31,23.1657
2003-09-30,22.4921
2003-08-29,21.6113
2003-07-31,20.0966
2003-06-30,18.6469
2003-05-30,17.1985
2003-04-30,16.1785
2003-03-31,15.4818
2003-02-28,15.0192
2003-01-31,15.3305
2002-12-31,15.6165
2002-11-29,15.8530
2002-10-31,15.9028
2002-09-30,16.3845
2002-08-30,16.9783
2002-07-31,17.7441
2002-06-28,18.3700
2002-05-31,18.5841
2002-04-30,18.5211
2002-03-28,18.2495
