,WMA_monthly_10
2022-04-04,39.1067
2022-03-31,38.8635
2022-02-28,38.5920
2022-01-31,37.8478
2021-12-31,37.2386
2021-11-30,37.2280
2021-10-29,37.3438
2021-09-30,36.5328
2021-08-31,35.4449
2021-07-30,34.6366
2021-06-30,34.0476
2021-05-28,33.0210
2021-04-30,31.7406
2021-03-31,30.2504
2021-02-26,28.8636
2021-01-29,27.8769
2020-12-31,27.1323
2020-11-30,26.7759
2020-10-30,26.6064
2020-09-30,27.0293
2020-08-31,27.3499
2020-07-31,27.7763
2020-06-30,28.6709
2020-05-29,29.4837
2020-04-30,30.0151
2020-03-31,31.3124
2020-02-28,33.2030
2020-01-31,34.0106
