,WMA_monthly_10
2022-04-04,127.7939
2022-03-31,127.2317
2022-02-28,127.2930
2022-01-31,128.2232
2021-12-31,126.7972
2021-11-30,123.4337
2021-10-29,121.8217
2021-09-30,119.0184
2021-08-31,117.5276
2021-07-30,115.4085
2021-06-30,111.8440
2021-05-28,107.7390
2021-04-30,102.1890
2021-03-31,97.0187
2021-02-26,92.8925
2021-01-29,90.2273
2020-12-31,89.0823
2020-11-30,86.5029
2020-10-30,84.2992
2020-09-30,83.7076
2020-08-31,82.3903
2020-07-31,81.4300
2020-06-30,81.3318
2020-05-29,81.7916
2020-04-30,83.1848
2020-03-31,85.6594
2020-02-28,90.6699
2020-01-31,92.6242
2019-12-31,93.7735
2019-11-29,92.7608
2019-10-31,92.0798
2019-09-30,91.5535
2019-08-30,91.5494
2019-07-31,93.3287
2019-06-28,93.9681
2019-05-31,93.4173
2019-04-30,93.7130
2019-03-29,93.1941
2019-02-28,90.7044
2019-01-31,88.5135
2018-12-31,87.6030
2018-11-30,87.2056
2018-10-31,85.6295
2018-09-28,84.9186
2018-08-31,83.8156
2018-07-31,82.5333
2018-06-29,81.6020
2018-05-31,81.3814
2018-04-30,81.3092
2018-03-29,81.6728
2018-02-28,81.7915
2018-01-31,81.6747
2017-12-29,79.3818
2017-11-30,78.5049
2017-10-31,78.0874
2017-09-29,78.5052
2017-08-31,77.7097
2017-07-31,79.1475
2017-06-30,80.4659
2017-05-31,80.6647
2017-04-28,81.1104
2017-03-31,81.7625
2017-02-28,82.3835
2017-01-31,82.5707
2016-12-30,82.5962
2016-11-30,82.6981
2016-10-31,82.6087
2016-09-30,83.2903
2016-08-31,82.2614
2016-07-29,80.7567
2016-06-30,79.0183
2016-05-31,77.1237
2016-04-29,75.8436
2016-03-31,74.5813
2016-02-29,72.6291
2016-01-29,72.1420
2015-12-31,72.3333
2015-11-30,72.6813
2015-10-30,72.4130
2015-09-30,72.3297
2015-08-31,73.6866
2015-07-31,75.2227
2015-06-30,75.9023
2015-05-29,76.4360
2015-04-30,76.7845
2015-03-31,77.1705
2015-02-27,76.9286
2015-01-30,76.1958
2014-12-31,75.8113
2014-11-28,73.1183
2014-10-31,70.7423
2014-09-30,68.9729
2014-08-29,68.4712
2014-07-31,67.8969
2014-06-30,67.9863
2014-05-30,67.1658
2014-04-30,66.5566
2014-03-31,65.6803
2014-02-28,64.6815
2014-01-31,63.3957
2013-12-31,62.8634
2013-11-29,61.9939
2013-10-31,61.0209
2013-09-30,60.3826
2013-08-30,59.1993
2013-07-31,58.4211
2013-06-28,56.6230
2013-05-31,55.1419
2013-04-30,53.5723
2013-03-28,51.9556
2013-02-28,49.8664
2013-01-31,48.7210
2012-12-31,47.8996
2012-11-30,47.6588
2012-10-31,47.2378
2012-09-28,47.1247
2012-08-31,47.1659
2012-07-31,46.8856
2012-06-29,46.2881
2012-05-31,46.1139
2012-04-30,45.4810
2012-03-30,44.4471
2012-02-29,43.5574
2012-01-31,42.6056
2011-12-30,41.3506
