,WMA_monthly_10
2022-04-04,24.3231
2022-03-31,23.9868
2022-02-28,23.5359
2022-01-31,23.2996
2021-12-31,23.3820
2021-11-30,23.2453
2021-10-29,23.0108
2021-09-30,22.7471
2021-08-31,22.0143
2021-07-30,21.0555
2021-06-30,20.1343
2021-05-28,19.2296
2021-04-30,17.9471
2021-03-31,16.9603
2021-02-26,15.9521
2021-01-29,15.3739
2020-12-31,15.0733
2020-11-30,15.0679
2020-10-30,14.6575
2020-09-30,14.5931
2020-08-31,14.8047
2020-07-31,15.5181
2020-06-30,16.3657
2020-05-29,17.3933
2020-04-30,18.1772
2020-03-31,19.2071
2020-02-28,20.8360
2020-01-31,21.5347
2019-12-31,21.8269
2019-11-29,22.0691
2019-10-31,22.1859
2019-09-30,22.1997
2019-08-30,22.4725
2019-07-31,22.7157
2019-06-28,22.3711
2019-05-31,21.7220
2019-04-30,21.5623
2019-03-29,21.1738
2019-02-28,21.3329
2019-01-31,21.5391
2018-12-31,21.8483
2018-11-30,21.8677
2018-10-31,21.6115
2018-09-28,21.4491
2018-08-31,21.3990
2018-07-31,21.1431
2018-06-29,21.1837
2018-05-31,21.6296
2018-04-30,21.4459
2018-03-29,21.2688
2018-02-28,21.4307
2018-01-31,21.6195
2017-12-29,21.5710
2017-11-30,21.4754
2017-10-31,21.3440
2017-09-29,21.3899
2017-08-31,21.1048
2017-07-31,20.7528
2017-06-30,19.7364
2017-05-31,18.5139
2017-04-28,17.9087
2017-03-31,17.5213
2017-02-28,17.3177
2017-01-31,17.5177
2016-12-30,17.6489
2016-11-30,17.6857
2016-10-31,18.0295
2016-09-30,18.3929
2016-08-31,18.9066
2016-07-29,19.8698
2016-06-30,20.6971
2016-05-31,21.7773
2016-04-29,23.2736
2016-03-31,25.0495
2016-02-29,26.0280
2016-01-29,26.0956
2015-12-31,25.9663
2015-11-30,25.9399
2015-10-30,25.4319
2015-09-30,24.7878
2015-08-31,24.2432
2015-07-31,23.9932
2015-06-30,23.8040
2015-05-29,24.1543
2015-04-30,24.2461
2015-03-31,24.5767
2015-02-27,24.6179
2015-01-30,24.3210
2014-12-31,23.9441
2014-11-28,23.6101
2014-10-31,23.2569
2014-09-30,23.0309
2014-08-29,22.9280
2014-07-31,22.4390
2014-06-30,22.0568
2014-05-30,21.4044
2014-04-30,21.2884
2014-03-31,21.3362
2014-02-28,21.1264
2014-01-31,20.6932
2013-12-31,20.4023
2013-11-29,20.2263
2013-10-31,20.1540
2013-09-30,19.8756
2013-08-30,19.7095
2013-07-31,19.2688
2013-06-28,18.1826
2013-05-31,17.4210
2013-04-30,16.3127
2013-03-28,15.2439
2013-02-28,13.7679
2013-01-31,12.7657
2012-12-31,11.9431
2012-11-30,11.6191
2012-10-31,11.3605
2012-09-28,11.1187
2012-08-31,10.8937
2012-07-31,10.7683
2012-06-29,10.6552
2012-05-31,10.5409
2012-04-30,10.5295
2012-03-30,10.5978
2012-02-29,10.4352
2012-01-31,10.3235
2011-12-30,10.2024
2011-11-30,10.0631
2011-10-31,9.9783
