,WMA_monthly_10
2022-04-04,136.2174
2022-03-31,138.0014
2022-02-28,139.8266
2022-01-31,141.6200
2021-12-31,143.7063
2021-11-30,142.0810
2021-10-29,141.5584
2021-09-30,139.3607
2021-08-31,139.2089
2021-07-30,135.1304
2021-06-30,130.6787
2021-05-28,125.9675
2021-04-30,122.4762
2021-03-31,118.5338
2021-02-26,114.9193
2021-01-29,112.0867
2020-12-31,113.1605
2020-11-30,115.0535
2020-10-30,116.7062
2020-09-30,120.4936
2020-08-31,121.1147
2020-07-31,121.4676
2020-06-30,121.3809
2020-05-29,121.6866
2020-04-30,120.2864
2020-03-31,119.5166
2020-02-28,124.4535
2020-01-31,126.5799
2019-12-31,126.6627
2019-11-29,127.0880
2019-10-31,125.3647
2019-09-30,127.2555
2019-08-30,129.3610
2019-07-31,134.3708
2019-06-28,133.2422
2019-05-31,131.6575
2019-04-30,131.7351
2019-03-29,131.1493
2019-02-28,132.0367
2019-01-31,133.3953
2018-12-31,132.1436
2018-11-30,132.3428
2018-10-31,131.3943
2018-09-28,130.0507
2018-08-31,129.9749
2018-07-31,131.7627
2018-06-29,133.2933
2018-05-31,136.6073
2018-04-30,140.4400
2018-03-29,140.7807
2018-02-28,141.9075
2018-01-31,142.2202
2017-12-29,140.6191
2017-11-30,138.1340
2017-10-31,134.4728
2017-09-29,131.7063
2017-08-31,129.3505
2017-07-31,127.9587
2017-06-30,127.3886
2017-05-31,126.5601
2017-04-28,125.1388
2017-03-31,123.3724
2017-02-28,122.6148
2017-01-31,122.9543
2016-12-30,124.7338
2016-11-30,126.1467
2016-10-31,126.9181
2016-09-30,125.7727
2016-08-31,122.0666
2016-07-29,118.7385
2016-06-30,115.8224
2016-05-31,113.8835
2016-04-29,111.1896
2016-03-31,110.0003
2016-02-29,109.9118
2016-01-29,111.8783
2015-12-31,111.4362
2015-11-30,110.5608
2015-10-30,109.3744
2015-09-30,108.6263
2015-08-31,110.1039
2015-07-31,110.2858
2015-06-30,109.0516
2015-05-29,108.7950
2015-04-30,106.4958
2015-03-31,104.7699
2015-02-27,102.2549
2015-01-30,98.5253
2014-12-31,97.4076
2014-11-28,96.9958
2014-10-31,96.3614
2014-09-30,95.8512
2014-08-29,95.7860
2014-07-31,94.3766
2014-06-30,92.7430
2014-05-30,90.0811
2014-04-30,87.9781
2014-03-31,85.5930
2014-02-28,83.4399
2014-01-31,81.3256
2013-12-31,80.2912
2013-11-29,79.1507
2013-10-31,77.2745
2013-09-30,76.1211
2013-08-30,74.7243
2013-07-31,73.6547
2013-06-28,71.9170
2013-05-31,70.8961
2013-04-30,68.5346
2013-03-28,66.3252
2013-02-28,63.8491
2013-01-31,61.7995
2012-12-31,59.9915
2012-11-30,58.7031
2012-10-31,57.5186
2012-09-28,56.1909
2012-08-31,55.6601
2012-07-31,54.9638
2012-06-29,55.1210
2012-05-31,55.5012
2012-04-30,55.6868
2012-03-30,55.2666
2012-02-29,55.2276
2012-01-31,55.5807
2011-12-30,56.2643
2011-11-30,57.6271
2011-10-31,58.7141
2011-09-30,58.5995
2011-08-31,59.1867
2011-07-29,59.3168
2011-06-30,58.6665
2011-05-31,57.1456
2011-04-29,55.3264
2011-03-31,53.2296
2011-02-28,51.0338
2011-01-31,49.6625
2010-12-31,48.1077
2010-11-30,46.5727
2010-10-29,45.3549
2010-09-30,44.3949
2010-08-31,43.5869
2010-07-30,43.1448
2010-06-30,42.6259
2010-05-28,42.5099
2010-04-30,41.8629
2010-03-31,39.9208
2010-02-26,38.1277
2010-01-29,37.1246
2009-12-31,36.3705
2009-11-30,35.1121
2009-10-30,33.7141
2009-09-30,32.6330
2009-08-31,31.4496
2009-07-31,30.6083
2009-06-30,29.9050
2009-05-29,29.7830
2009-04-30,29.9531
2009-03-31,30.3858
2009-02-27,31.1526
