,WMA_monthly_10
2017-05-30,13.3161
2017-04-28,13.1784
2017-03-31,13.1318
2017-02-28,13.1980
2017-01-31,13.3890
2016-12-30,13.6614
2016-11-30,13.7835
2016-10-31,13.8405
2016-09-30,14.0574
2016-08-31,14.0872
2016-07-29,13.9673
2016-06-30,13.7949
2016-05-31,13.8430
2016-04-29,13.6814
2016-03-31,13.6813
2016-02-29,13.7318
2016-01-29,14.1613
2015-12-31,14.7430
2015-11-30,15.1000
2015-10-30,15.1844
2015-09-30,15.3360
2015-08-31,15.8551
2015-07-31,16.1487
2015-06-30,16.1622
2015-05-29,15.9591
2015-04-30,15.4573
2015-03-31,14.9175
2015-02-27,14.4017
2015-01-30,13.9282
2014-12-31,13.1694
2014-11-28,12.5635
2014-10-31,11.9421
2014-09-30,11.4104
2014-08-29,10.8892
2014-07-31,10.7311
2014-06-30,10.6638
2014-05-30,10.3400
2014-04-30,10.1079
2014-03-31,9.7499
2014-02-28,9.5648
2014-01-31,9.2838
2013-12-31,9.0187
2013-11-29,8.4686
2013-10-31,8.1370
2013-09-30,7.9606
2013-08-30,8.0010
2013-07-31,8.0645
2013-06-28,7.9703
2013-05-31,8.0177
2013-04-30,7.9935
2013-03-28,7.9353
2013-02-28,7.7620
2013-01-31,7.5804
2012-12-31,7.3815
2012-11-30,7.3103
2012-10-31,7.2914
2012-09-28,7.1960
2012-08-31,6.9015
2012-07-31,6.6856
2012-06-29,6.6975
2012-05-31,6.6047
2012-04-30,6.6100
2012-03-30,6.6073
2012-02-29,6.4138
2012-01-31,6.2838
2011-12-30,6.3805
2011-11-30,6.8304
2011-10-31,7.3305
2011-09-30,7.9340
2011-08-31,8.6997
2011-07-29,9.3117
2011-06-30,9.7834
2011-05-31,10.1017
2011-04-29,10.2836
2011-03-31,10.1287
2011-02-28,9.9073
2011-01-31,9.5470
2010-12-31,9.2877
2010-11-30,9.0112
2010-10-29,9.1522
2010-09-30,9.3186
2010-08-31,9.4573
2010-07-30,9.9464
2010-06-30,10.2759
2010-05-28,10.9111
2010-04-30,11.3172
2010-03-31,11.1604
2010-02-26,10.9075
2010-01-29,10.8914
2009-12-31,10.8340
2009-11-30,10.4461
2009-10-30,9.9926
2009-09-30,9.4556
2009-08-31,8.6621
2009-07-31,8.0774
2009-06-30,7.5098
2009-05-29,7.5280
2009-04-30,8.0490
2009-03-31,8.8458
2009-02-27,10.5032
2009-01-30,12.8657
2008-12-31,15.3751
2008-11-28,17.7061
2008-10-31,20.3069
2008-09-30,22.6804
2008-08-29,23.2736
2008-07-31,23.5694
2008-06-30,23.3165
2008-05-30,23.6580
2008-04-30,23.6274
2008-03-31,23.7434
2008-02-29,24.6600
2008-01-31,25.4429
2007-12-31,25.7082
2007-11-30,24.8984
2007-10-31,23.7776
2007-09-28,22.3147
2007-08-31,21.6820
2007-07-31,21.2079
2007-06-29,20.0440
2007-05-31,19.0654
2007-04-30,17.9352
2007-03-30,17.1091
2007-02-28,16.8667
2007-01-31,16.5478
2006-12-29,16.3838
2006-11-30,16.0548
2006-10-31,15.9379
2006-09-29,15.8258
2006-08-31,15.7597
2006-07-31,15.9860
2006-06-30,16.4282
2006-05-31,16.5510
2006-04-28,16.6109
2006-03-31,16.3874
2006-02-28,15.4784
2006-01-31,14.6216
2005-12-30,13.8171
2005-11-30,13.2865
2005-10-31,12.6069
2005-09-30,12.1623
2005-08-31,12.2218
2005-07-29,12.3467
2005-06-30,12.3138
2005-05-31,12.2639
2005-04-29,12.1334
2005-03-31,12.4159
2005-02-28,12.5886
2005-01-31,12.7664
2004-12-31,12.8453
2004-11-30,12.6271
2004-10-29,12.4513
2004-09-30,12.4903
2004-08-31,12.7827
2004-07-30,13.0608
2004-06-30,13.4222
2004-05-28,13.3107
2004-04-30,13.2346
2004-03-31,13.3536
2004-02-27,13.2804
2004-01-30,13.0457
2003-12-31,12.7804
2003-11-28,12.5014
2003-10-31,12.5827
2003-09-30,12.6124
2003-08-29,12.6788
2003-07-31,12.1598
2003-06-30,11.5232
2003-05-30,11.0217
2003-04-30,10.6185
2003-03-31,10.5296
2003-02-28,10.9744
2003-01-31,11.4960
2002-12-31,12.0651
2002-11-29,12.7233
2002-10-31,13.2931
2002-09-30,14.5523
2002-08-30,15.9322
2002-07-31,17.1216
2002-06-28,18.4592
2002-05-31,19.2564
2002-04-30,19.6616
2002-03-28,20.2867
2002-02-28,20.5647
2002-01-31,21.1965
2001-12-31,21.4497
2001-11-30,21.5073
2001-10-31,22.3904
2001-09-28,24.1095
2001-08-31,26.1175
2001-07-31,26.9965
2001-06-29,27.9236
2001-05-31,28.4870
2001-04-30,29.3277
