,WMA_monthly_10
2022-04-04,17.3940
2022-03-31,16.9250
2022-02-28,16.5012
2022-01-31,16.3314
2021-12-31,16.1376
2021-11-30,16.2283
2021-10-29,16.3544
2021-09-30,16.1789
2021-08-31,16.0009
2021-07-30,15.8168
2021-06-30,15.3333
2021-05-28,14.6597
2021-04-30,13.8801
2021-03-31,13.2730
2021-02-26,12.7496
2021-01-29,12.5493
2020-12-31,12.4346
2020-11-30,12.5067
2020-10-30,12.5488
2020-09-30,13.1382
2020-08-31,13.8044
2020-07-31,14.3117
2020-06-30,14.8601
2020-05-29,15.3470
2020-04-30,15.7964
2020-03-31,16.4586
2020-02-28,17.4122
2020-01-31,17.5351
2019-12-31,17.3603
2019-11-29,17.1354
2019-10-31,17.1206
2019-09-30,16.9647
2019-08-30,16.6862
2019-07-31,16.4009
2019-06-28,16.0042
2019-05-31,15.5480
2019-04-30,15.1912
2019-03-29,14.8007
2019-02-28,14.3682
2019-01-31,14.0055
2018-12-31,13.7464
2018-11-30,13.9262
2018-10-31,13.8584
2018-09-28,13.8026
2018-08-31,13.6570
2018-07-31,13.5140
2018-06-29,13.3694
2018-05-31,13.2869
2018-04-30,13.3955
2018-03-29,13.6691
2018-02-28,14.1284
2018-01-31,14.4817
2017-12-29,14.6251
2017-11-30,14.8138
2017-10-31,15.1895
2017-09-29,15.4694
2017-08-31,15.6525
2017-07-31,15.8248
2017-06-30,15.8717
2017-05-31,16.1477
2017-04-28,16.4971
2017-03-31,16.5497
2017-02-28,16.4085
2017-01-31,16.2734
2016-12-30,15.9249
2016-11-30,15.7800
2016-10-31,15.3429
2016-09-30,15.0701
2016-08-31,14.4398
2016-07-29,14.0549
2016-06-30,13.9674
2016-05-31,14.2925
2016-04-29,14.9178
2016-03-31,15.8465
2016-02-29,17.0793
2016-01-29,18.5971
2015-12-31,20.6602
2015-11-30,23.2792
2015-10-30,24.9386
2015-09-30,26.2580
2015-08-31,27.7643
2015-07-31,28.7067
2015-06-30,29.3780
2015-05-29,29.6274
2015-04-30,29.3821
2015-03-31,28.8363
2015-02-27,28.3411
2015-01-30,27.8596
2014-12-31,27.2425
2014-11-28,26.3733
2014-10-31,25.5177
2014-09-30,24.9461
2014-08-29,24.4249
2014-07-31,23.5812
2014-06-30,23.2546
2014-05-30,22.9491
2014-04-30,23.0417
2014-03-31,23.2730
2014-02-28,23.6302
2014-01-31,24.1405
2013-12-31,24.4206
2013-11-29,24.5063
2013-10-31,24.6575
2013-09-30,24.8196
2013-08-30,24.9659
2013-07-31,24.7751
2013-06-28,24.5652
2013-05-31,24.3191
2013-04-30,24.0590
2013-03-28,23.5713
2013-02-28,23.1173
2013-01-31,22.8322
2012-12-31,22.5020
2012-11-30,22.4570
2012-10-31,22.5677
2012-09-28,22.5323
2012-08-31,22.3215
2012-07-31,21.9878
2012-06-29,21.5214
2012-05-31,21.4307
2012-04-30,21.0323
2012-03-30,20.3388
2012-02-29,19.2474
2012-01-31,18.4625
2011-12-30,17.9525
