,WMA_monthly_10
2022-04-04,93.7763
2022-03-31,96.8031
2022-02-28,100.3453
2022-01-31,102.5362
2021-12-31,103.6663
2021-11-30,100.6232
2021-10-29,99.1841
2021-09-30,98.2285
2021-08-31,98.1165
2021-07-30,94.8631
2021-06-30,91.5600
2021-05-28,88.8952
2021-04-30,85.8004
2021-03-31,81.1107
2021-02-26,76.1523
2021-01-29,73.8772
2020-12-31,70.7545
2020-11-30,68.6225
2020-10-30,66.3770
2020-09-30,64.8718
2020-08-31,60.9570
2020-07-31,57.9885
2020-06-30,55.1589
2020-05-29,54.0736
2020-04-30,52.9606
2020-03-31,53.6660
2020-02-28,56.7099
2020-01-31,55.6675
2019-12-31,53.2444
2019-11-29,52.5782
2019-10-31,51.0082
2019-09-30,49.0821
2019-08-30,47.5933
2019-07-31,46.8203
2019-06-28,46.6371
2019-05-31,46.3577
2019-04-30,45.9096
2019-03-29,45.0467
2019-02-28,44.7560
2019-01-31,44.7462
2018-12-31,45.0361
2018-11-30,47.1020
2018-10-31,48.8845
2018-09-28,50.9778
2018-08-31,52.7047
2018-07-31,53.6038
2018-06-29,54.3881
2018-05-31,55.1085
2018-04-30,55.9581
2018-03-29,56.5940
2018-02-28,56.0177
2018-01-31,55.7339
2017-12-29,54.1574
2017-11-30,52.2139
2017-10-31,50.0170
2017-09-29,49.0147
2017-08-31,48.3371
2017-07-31,47.6634
2017-06-30,46.6945
2017-05-31,45.4736
2017-04-28,44.5205
2017-03-31,43.6287
2017-02-28,42.5252
2017-01-31,41.7746
2016-12-30,41.8015
2016-11-30,42.1133
2016-10-31,42.4838
2016-09-30,43.1230
2016-08-31,43.8076
2016-07-29,43.6812
2016-06-30,43.6614
2016-05-31,43.8497
2016-04-29,44.2561
2016-03-31,44.8032
2016-02-29,44.7993
2016-01-29,45.9668
2015-12-31,47.2617
2015-11-30,47.4194
2015-10-30,47.0706
2015-09-30,46.8250
2015-08-31,46.9027
2015-07-31,46.3671
2015-06-30,45.2164
2015-05-29,44.2110
2015-04-30,43.7834
2015-03-31,43.4301
2015-02-27,41.8613
2015-01-30,40.3658
2014-12-31,39.6875
2014-11-28,39.0149
2014-10-31,37.8015
2014-09-30,37.2391
2014-08-29,37.3584
2014-07-31,37.3536
2014-06-30,37.8380
2014-05-30,37.1672
2014-04-30,36.5591
2014-03-31,36.3004
2014-02-28,35.8648
2014-01-31,34.6523
2013-12-31,34.0958
2013-11-29,33.6302
2013-10-31,33.9107
2013-09-30,34.2776
2013-08-30,34.7203
2013-07-31,35.8706
2013-06-28,36.6820
2013-05-31,37.0670
2013-04-30,36.7185
2013-03-28,35.8677
2013-02-28,34.7366
2013-01-31,33.9114
2012-12-31,32.3367
2012-11-30,30.9954
2012-10-31,29.4781
2012-09-28,27.7526
2012-08-31,26.2138
2012-07-31,24.8013
2012-06-29,23.6682
2012-05-31,21.9759
2012-04-30,20.7335
2012-03-30,19.2492
2012-02-29,17.7264
2012-01-31,16.7713
2011-12-30,16.0768
2011-11-30,15.7064
2011-10-31,15.5597
2011-09-30,15.7640
2011-08-31,16.5085
2011-07-29,17.0526
2011-06-30,17.0507
2011-05-31,16.8920
2011-04-29,16.5210
2011-03-31,16.0606
2011-02-28,15.7371
2011-01-31,15.0635
2010-12-31,14.4856
2010-11-30,13.9754
2010-10-29,14.0633
2010-09-30,14.2339
2010-08-31,14.2181
2010-07-30,14.5647
2010-06-30,14.6290
2010-05-28,14.8628
2010-04-30,14.4384
2010-03-31,13.4114
2010-02-26,12.7060
2010-01-29,12.0205
2009-12-31,11.3773
2009-11-30,11.0688
2009-10-30,10.6928
2009-09-30,10.2608
2009-08-31,9.4420
2009-07-31,8.3497
2009-06-30,7.8565
2009-05-29,7.7797
2009-04-30,7.7727
2009-03-31,7.7727
2009-02-27,8.2868
2009-01-30,9.1211
2008-12-31,9.9629
2008-11-28,10.8061
2008-10-31,12.1126
2008-09-30,13.4724
2008-08-29,13.6295
2008-07-31,14.2629
2008-06-30,15.2255
2008-05-30,16.4188
2008-04-30,17.0899
2008-03-31,17.8147
2008-02-29,18.8900
2008-01-31,20.3646
2007-12-31,21.8903
2007-11-30,24.3168
2007-10-31,27.6575
2007-09-28,30.3719
2007-08-31,33.5763
2007-07-31,36.1867
2007-06-29,38.6681
2007-05-31,40.3512
2007-04-30,40.5921
2007-03-30,41.3351
2007-02-28,42.2371
2007-01-31,42.1323
2006-12-29,41.3561
2006-11-30,40.9582
2006-10-31,40.6980
2006-09-29,41.4688
2006-08-31,42.7434
2006-07-31,44.2370
2006-06-30,45.9957
2006-05-31,48.0748
2006-04-28,49.8962
2006-03-31,50.7858
2006-02-28,50.7960
2006-01-31,50.7492
2005-12-30,50.2168
2005-11-30,49.9101
2005-10-31,50.0876
2005-09-30,50.6208
2005-08-31,50.2845
2005-07-29,49.3227
2005-06-30,47.2874
2005-05-31,45.5596
2005-04-29,44.4198
2005-03-31,44.1888
2005-02-28,42.9965
2005-01-31,40.9552
2004-12-31,39.5514
2004-11-30,37.9998
2004-10-29,38.2089
2004-09-30,38.4708
2004-08-31,38.3509
2004-07-30,38.4974
2004-06-30,39.0724
2004-05-28,39.1688
2004-04-30,38.8829
2004-03-31,38.3026
2004-02-27,36.3322
2004-01-30,34.7121
2003-12-31,33.6191
2003-11-28,31.5902
2003-10-31,29.0523
2003-09-30,26.6510
2003-08-29,25.0802
2003-07-31,24.1702
2003-06-30,23.3079
2003-05-30,21.7996
2003-04-30,20.4684
2003-03-31,20.1067
2003-02-28,20.1555
2003-01-31,20.1845
2002-12-31,20.2155
2002-11-29,20.4247
2002-10-31,20.5534
2002-09-30,20.4795
2002-08-30,20.2372
2002-07-31,20.0850
2002-06-28,19.9730
2002-05-31,19.0359
2002-04-30,18.4795
2002-03-28,17.7737
2002-02-28,17.1496
2002-01-31,16.2805
2001-12-31,15.2896
2001-11-30,14.8088
2001-10-31,14.9797
2001-09-28,15.2150
2001-08-31,15.4355
2001-07-31,14.9923
2001-06-29,14.3488
2001-05-31,13.8943
2001-04-30,13.6709
2001-03-30,12.8279
2001-02-28,12.1092
2001-01-31,11.5720
2000-12-29,10.8444
2000-11-30,10.0197
2000-10-31,9.3976
2000-09-29,8.6383
