,WMA_monthly_10
2022-04-04,6.3195
2022-03-31,6.4728
2022-02-28,6.6587
2022-01-31,6.8990
2021-12-31,6.9840
2021-11-30,6.6886
2021-10-29,6.1502
2021-09-30,5.4806
2021-08-31,4.6362
2021-07-30,4.3973
2021-06-30,4.2878
2021-05-28,4.1180
2021-04-30,3.9993
2021-03-31,3.9767
2021-02-26,3.8685
2021-01-29,3.7647
2020-12-31,3.7687
2020-11-30,3.7315
2020-10-30,3.6198
2020-09-30,3.7427
2020-08-31,3.8838
2020-07-31,3.9258
2020-06-30,3.9251
2020-05-29,3.8080
2020-04-30,3.8140
2020-03-31,3.8753
2020-02-28,4.1392
2020-01-31,4.3283
2019-12-31,4.3180
2019-11-29,4.5177
2019-10-31,4.6371
2019-09-30,5.0389
2019-08-30,5.5538
2019-07-31,6.2719
2019-06-28,7.0293
2019-05-31,7.5827
2019-04-30,8.0566
2019-03-29,8.1230
2019-02-28,8.4595
2019-01-31,9.4250
2018-12-31,10.8841
2018-11-30,12.9814
2018-10-31,15.5193
2018-09-28,18.8137
2018-08-31,22.3735
2018-07-31,27.2020
2018-06-29,32.9821
2018-05-31,38.9645
2018-04-30,45.6145
2018-03-29,49.1273
2018-02-28,51.7873
2018-01-31,53.7727
2017-12-29,54.2182
2017-11-30,54.9182
2017-10-31,54.4473
2017-09-29,51.0109
2017-08-31,46.4418
2017-07-31,46.8873
2017-06-30,46.2458
2017-05-31,45.6095
2017-04-28,45.2556
2017-03-31,44.7695
2017-02-28,43.7258
2017-01-31,41.2975
2016-12-30,40.8138
2016-11-30,43.8480
2016-10-31,45.0189
2016-09-30,48.8829
2016-08-31,53.0091
2016-07-29,60.2255
2016-06-30,67.9382
2016-05-31,80.2327
2016-04-29,95.1084
2016-03-31,113.1556
