,WMA_monthly_10
2022-04-04,354.9875
2022-03-31,359.1241
2022-02-28,364.0939
2022-01-31,371.9016
2021-12-31,375.1985
2021-11-30,367.7387
2021-10-29,357.9758
2021-09-30,343.7862
2021-08-31,337.1318
2021-07-30,323.6573
2021-06-30,309.5692
2021-05-28,296.6882
2021-04-30,287.6745
2021-03-31,279.3669
2021-02-26,275.5378
2021-01-29,275.3935
2020-12-31,275.9036
2020-11-30,271.1641
2020-10-30,267.3489
2020-09-30,266.6465
2020-08-31,259.9398
2020-07-31,251.0096
2020-06-30,243.1816
2020-05-29,235.4459
2020-04-30,228.0375
2020-03-31,224.0494
2020-02-28,225.3260
2020-01-31,220.6872
2019-12-31,211.7702
2019-11-29,205.1439
2019-10-31,199.1900
2019-09-30,192.9351
2019-08-30,188.6687
2019-07-31,181.2096
2019-06-28,173.1955
2019-05-31,168.2302
2019-04-30,165.2320
2019-03-29,159.3972
2019-02-28,156.1039
2019-01-31,153.9987
2018-12-31,154.5913
2018-11-30,158.8999
2018-10-31,159.8618
2018-09-28,163.3211
2018-08-31,162.6603
2018-07-31,159.4390
2018-06-29,156.9313
2018-05-31,153.8617
2018-04-30,150.0812
2018-03-29,147.1171
2018-02-28,143.5427
2018-01-31,138.1145
2017-12-29,132.7657
2017-11-30,129.2461
2017-10-31,124.1258
2017-09-29,119.8593
2017-08-31,115.4589
2017-07-31,111.3542
2017-06-30,107.3092
2017-05-31,104.7494
2017-04-28,102.5094
2017-03-31,99.9170
2017-02-28,98.1629
2017-01-31,96.2296
2016-12-30,95.5520
2016-11-30,96.3869
2016-10-31,95.9257
2016-09-30,95.5010
2016-08-31,93.6308
2016-07-29,91.4495
2016-06-30,89.6410
2016-05-31,90.0697
2016-04-29,89.8276
2016-03-31,90.3402
2016-02-29,90.8870
2016-01-29,93.0544
2015-12-31,95.4619
2015-11-30,95.8907
2015-10-30,95.6259
2015-09-30,96.5776
2015-08-31,97.2145
2015-07-31,97.0816
2015-06-30,95.3449
2015-05-29,93.7678
2015-04-30,91.7923
2015-03-31,89.6228
2015-02-27,87.7592
2015-01-30,86.7242
2014-12-31,86.4739
2014-11-28,85.1766
2014-10-31,82.5462
2014-09-30,79.8996
2014-08-29,77.7000
2014-07-31,75.2567
2014-06-30,73.6679
2014-05-30,71.5557
2014-04-30,69.4848
2014-03-31,68.3311
2014-02-28,66.8148
2014-01-31,65.0359
2013-12-31,63.6746
2013-11-29,61.1559
2013-10-31,58.9324
2013-09-30,57.0612
2013-08-30,54.8762
2013-07-31,53.5439
2013-06-28,51.1628
2013-05-31,49.5496
2013-04-30,46.5929
2013-03-28,44.1805
2013-02-28,42.7223
2013-01-31,41.9998
2012-12-31,39.9899
2012-11-30,38.5165
2012-10-31,37.1322
2012-09-28,35.6016
2012-08-31,34.5597
2012-07-31,34.1854
2012-06-29,33.5166
2012-05-31,33.3942
2012-04-30,33.2395
2012-03-30,32.3573
2012-02-29,31.2458
2012-01-31,30.6961
2011-12-30,30.3342
2011-11-30,30.5083
2011-10-31,30.4233
2011-09-30,30.0888
2011-08-31,30.4982
2011-07-29,30.7797
2011-06-30,30.1472
2011-05-31,28.7998
2011-04-29,26.9369
2011-03-31,24.9102
2011-02-28,23.4971
2011-01-31,22.2825
2010-12-31,21.4870
2010-11-30,21.1349
2010-10-29,20.7414
2010-09-30,20.3184
2010-08-31,20.1909
2010-07-30,20.7020
2010-06-30,20.7979
2010-05-28,21.5726
2010-04-30,22.3007
2010-03-31,22.4065
2010-02-26,21.6849
2010-01-29,21.4902
2009-12-31,21.0839
2009-11-30,20.6595
2009-10-30,20.7568
2009-09-30,20.7403
2009-08-31,21.2378
2009-07-31,20.6532
2009-06-30,20.7773
2009-05-29,20.7114
2009-04-30,20.5913
2009-03-31,20.2271
2009-02-27,21.0880
2009-01-30,22.9968
2008-12-31,24.5868
2008-11-28,26.6482
2008-10-31,28.6551
2008-09-30,30.2369
2008-08-29,30.5916
2008-07-31,29.9730
2008-06-30,30.4898
2008-05-30,31.2313
2008-04-30,31.8188
2008-03-31,32.8135
2008-02-29,34.6516
2008-01-31,36.4314
2007-12-31,39.1171
2007-11-30,42.0975
2007-10-31,45.2874
2007-09-28,47.9536
2007-08-31,49.8962
2007-07-31,52.8283
2007-06-29,54.7459
2007-05-31,55.3807
2007-04-30,54.6680
2007-03-30,54.3203
2007-02-28,54.4337
2007-01-31,54.1023
2006-12-29,52.7492
2006-11-30,51.7373
2006-10-31,50.5654
2006-09-29,49.8049
2006-08-31,49.1007
2006-07-31,48.9043
2006-06-30,49.6034
2006-05-31,50.2828
2006-04-28,51.2080
2006-03-31,50.4321
2006-02-28,47.8177
2006-01-31,45.4800
2005-12-30,43.3590
2005-11-30,41.2289
2005-10-31,39.0130
2005-09-30,37.6859
2005-08-31,36.5226
2005-07-29,35.4987
2005-06-30,34.5908
2005-05-31,33.8726
2005-04-29,33.2669
2005-03-31,32.8656
2005-02-28,32.4430
2005-01-31,31.6466
2004-12-31,30.7672
2004-11-30,29.5088
2004-10-29,28.5769
2004-09-30,27.7394
2004-08-31,27.1207
2004-07-30,26.7692
2004-06-30,26.3587
2004-05-28,26.1074
2004-04-30,25.6989
2004-03-31,25.2726
2004-02-27,24.2401
2004-01-30,23.3608
2003-12-31,22.5756
2003-11-28,21.9152
2003-10-31,21.3820
2003-09-30,20.6880
2003-08-29,20.1238
2003-07-31,19.7534
2003-06-30,19.3717
2003-05-30,18.8833
2003-04-30,18.4159
2003-03-31,18.2471
2003-02-28,18.2437
2003-01-31,18.3926
2002-12-31,18.7024
2002-11-29,19.0232
2002-10-31,19.0933
2002-09-30,18.8852
2002-08-30,18.4712
2002-07-31,17.9689
2002-06-28,17.2818
2002-05-31,16.4695
2002-04-30,15.6635
2002-03-28,15.1227
2002-02-28,14.6972
2002-01-31,14.5312
2001-12-31,14.2562
2001-11-30,13.7134
2001-10-31,13.5022
2001-09-28,13.2233
2001-08-31,12.6950
2001-07-31,12.2978
2001-06-29,11.8848
2001-05-31,11.3450
2001-04-30,10.7950
2001-03-30,10.1852
2001-02-28,9.7807
2001-01-31,9.3447
2000-12-29,8.7472
2000-11-30,8.2367
2000-10-31,7.6192
2000-09-29,6.9044
