,WMA_monthly_10
2022-04-04,389.6655
2022-03-31,389.1165
2022-02-28,388.1647
2022-01-31,387.6931
2021-12-31,384.5718
2021-11-30,370.2100
2021-10-29,360.4259
2021-09-30,350.6881
2021-08-31,348.8214
2021-07-30,337.6663
2021-06-30,327.5316
2021-05-28,316.7613
2021-04-30,300.9861
2021-03-31,284.5439
2021-02-26,268.6076
2021-01-29,249.7996
2020-12-31,238.2183
2020-11-30,226.2075
2020-10-30,217.4234
2020-09-30,208.8110
2020-08-31,206.3322
2020-07-31,210.7164
2020-06-30,215.5946
2020-05-29,221.3961
2020-04-30,230.7537
2020-03-31,241.2291
2020-02-28,252.2392
2020-01-31,256.2588
2019-12-31,252.7597
2019-11-29,244.7628
2019-10-31,237.1069
2019-09-30,229.0800
2019-08-30,217.3714
2019-07-31,207.7867
2019-06-28,198.1768
2019-05-31,191.1193
2019-04-30,187.3171
2019-03-29,181.5740
2019-02-28,179.8617
2019-01-31,180.7055
2018-12-31,184.0334
2018-11-30,188.7471
2018-10-31,190.7576
2018-09-28,197.1316
2018-08-31,202.0649
2018-07-31,204.3255
2018-06-29,206.6446
2018-05-31,204.5309
2018-04-30,202.5280
2018-03-29,206.0043
2018-02-28,207.5491
2018-01-31,210.0250
2017-12-29,208.0534
2017-11-30,207.2129
2017-10-31,208.9306
2017-09-29,209.3042
2017-08-31,211.7451
2017-07-31,212.6875
2017-06-30,210.3411
2017-05-31,207.9583
2017-04-28,204.9077
2017-03-31,202.0993
2017-02-28,199.1001
2017-01-31,195.7427
2016-12-30,188.7743
2016-11-30,181.8217
2016-10-31,173.5782
2016-09-30,170.4594
2016-08-31,168.0328
2016-07-29,164.4159
2016-06-30,156.5728
2016-05-31,150.1342
2016-04-29,143.6237
2016-03-31,140.1081
2016-02-29,138.0716
2016-01-29,138.9302
2015-12-31,143.0227
2015-11-30,145.2995
2015-10-30,143.1117
2015-09-30,140.5923
2015-08-31,138.0583
2015-07-31,131.9014
2015-06-30,127.2005
2015-05-29,124.9257
2015-04-30,120.9143
2015-03-31,117.8569
2015-02-27,114.9773
2015-01-30,111.3309
2014-12-31,113.9858
2014-11-28,116.3798
2014-10-31,116.9037
2014-09-30,117.7183
2014-08-29,115.9223
2014-07-31,113.2010
2014-06-30,111.2295
2014-05-30,107.3045
2014-04-30,104.5298
2014-03-31,101.1067
2014-02-28,96.6564
2014-01-31,92.9023
2013-12-31,91.2621
2013-11-29,91.0832
2013-10-31,91.4837
2013-09-30,91.6114
2013-08-30,91.5707
2013-07-31,91.6325
2013-06-28,90.8720
2013-05-31,89.9247
2013-04-30,86.6167
2013-03-28,84.3252
2013-02-28,81.2715
2013-01-31,78.7673
2012-12-31,75.8253
2012-11-30,73.4593
2012-10-31,71.6510
2012-09-28,71.0468
2012-08-31,70.2538
2012-07-31,70.4372
2012-06-29,70.6791
2012-05-31,70.1674
2012-04-30,71.6260
2012-03-30,70.5672
2012-02-29,69.0385
2012-01-31,67.5273
2011-12-30,66.7195
2011-11-30,67.2607
2011-10-31,67.3968
2011-09-30,68.8882
2011-08-31,72.1497
2011-07-29,74.3125
2011-06-30,75.7746
2011-05-31,76.4129
2011-04-29,76.1065
2011-03-31,74.8595
2011-02-28,73.8840
2011-01-31,73.1212
2010-12-31,73.2572
2010-11-30,71.7767
2010-10-29,71.4120
2010-09-30,71.8739
2010-08-31,73.0037
2010-07-30,74.8654
2010-06-30,74.9528
2010-05-28,75.1574
2010-04-30,73.9698
2010-03-31,72.0825
2010-02-26,72.0725
2010-01-29,72.7922
2009-12-31,73.5639
2009-11-30,72.5218
2009-10-30,72.0241
2009-09-30,72.0874
2009-08-31,70.7029
2009-07-31,69.8496
2009-06-30,69.6658
2009-05-29,71.0941
2009-04-30,72.5224
2009-03-31,73.8362
2009-02-27,76.4292
2009-01-30,79.9214
2008-12-31,83.2447
2008-11-28,84.1758
2008-10-31,87.0708
2008-09-30,92.2463
2008-08-29,92.6269
2008-07-31,93.0940
2008-06-30,95.2422
2008-05-30,98.0591
2008-04-30,99.1721
2008-03-31,102.2203
2008-02-29,106.4808
2008-01-31,111.0811
2007-12-31,113.5307
2007-11-30,114.4506
2007-10-31,114.7716
2007-09-28,115.5360
2007-08-31,115.1430
2007-07-31,113.8121
2007-06-29,111.4391
2007-05-31,104.1059
2007-04-30,96.6237
2007-03-30,89.7936
2007-02-28,83.8888
2007-01-31,79.1602
2006-12-29,75.8136
2006-11-30,74.0796
2006-10-31,72.8022
2006-09-29,73.0755
2006-08-31,73.7018
2006-07-31,74.6005
2006-06-30,75.7736
2006-05-31,75.0787
2006-04-28,74.0383
2006-03-31,70.3027
2006-02-28,65.7487
2006-01-31,61.9673
2005-12-30,59.6658
2005-11-30,58.2664
2005-10-31,56.7827
2005-09-30,54.3929
2005-08-31,51.6460
2005-07-29,49.3999
2005-06-30,46.7263
2005-05-31,44.2156
2005-04-29,42.6267
2005-03-31,41.7904
2005-02-28,40.6188
2005-01-31,38.9681
2004-12-31,37.7576
2004-11-30,36.5239
2004-10-29,35.7150
2004-09-30,35.6339
2004-08-31,35.5437
2004-07-30,35.4259
2004-06-30,35.4045
2004-05-28,35.2042
2004-04-30,35.1461
2004-03-31,34.9084
2004-02-27,34.0729
2004-01-30,32.5262
2003-12-31,31.1803
2003-11-28,29.4112
2003-10-31,28.0737
2003-09-30,26.8367
2003-08-29,26.1685
2003-07-31,25.0894
2003-06-30,23.9374
2003-05-30,23.4878
2003-04-30,23.0009
2003-03-31,23.3218
2003-02-28,24.0875
2003-01-31,25.0088
2002-12-31,25.8989
2002-11-29,26.7324
2002-10-31,27.5661
2002-09-30,29.1928
2002-08-30,30.2895
2002-07-31,30.8543
2002-06-28,31.2092
2002-05-31,31.4722
2002-04-30,31.6443
2002-03-28,32.1200
2002-02-28,32.2349
2002-01-31,32.4657
2001-12-31,32.8726
2001-11-30,32.4564
2001-10-31,32.5994
2001-09-28,33.1449
2001-08-31,33.8010
2001-07-31,34.3812
2001-06-29,34.2656
2001-05-31,33.2694
2001-04-30,32.1835
2001-03-30,31.5020
2001-02-28,31.3518
2001-01-31,30.8430
2000-12-29,30.9069
2000-11-30,30.8826
2000-10-31,31.2862
2000-09-29,31.8726
