,WMA_monthly_10
2022-04-04,198.4691
2022-03-31,202.3904
2022-02-28,206.2924
2022-01-31,209.4628
2021-12-31,209.7584
2021-11-30,205.1574
2021-10-29,200.2998
2021-09-30,198.7233
2021-08-31,197.3405
2021-07-30,191.1251
2021-06-30,184.9962
2021-05-28,177.5235
2021-04-30,167.4268
2021-03-31,159.2988
2021-02-26,147.6764
2021-01-29,138.0262
2020-12-31,130.9264
2020-11-30,123.2511
2020-10-30,115.1613
2020-09-30,111.0673
2020-08-31,108.6214
2020-07-31,105.8367
2020-06-30,104.3469
2020-05-29,103.2415
2020-04-30,105.4999
2020-03-31,107.0903
2020-02-28,111.7046
2020-01-31,110.7827
2019-12-31,106.8404
2019-11-29,102.1736
2019-10-31,99.1159
2019-09-30,95.6700
2019-08-30,92.5564
2019-07-31,90.2453
2019-06-28,87.3880
2019-05-31,85.4486
2019-04-30,85.3204
2019-03-29,82.1829
2019-02-28,82.4933
2019-01-31,82.5598
2018-12-31,83.8866
2018-11-30,88.4986
2018-10-31,92.0323
2018-09-28,97.7518
2018-08-31,102.1220
2018-07-31,105.6217
2018-06-29,109.0477
2018-05-31,110.1198
2018-04-30,110.3071
2018-03-29,112.1530
2018-02-28,111.7753
2018-01-31,109.7396
2017-12-29,108.1654
2017-11-30,106.9040
2017-10-31,106.0151
2017-09-29,104.1604
2017-08-31,102.7510
2017-07-31,101.1393
2017-06-30,99.8397
2017-05-31,98.3209
2017-04-28,96.2759
2017-03-31,94.4755
2017-02-28,92.9092
2017-01-31,91.1585
2016-12-30,89.9774
2016-11-30,88.3039
2016-10-31,86.0095
2016-09-30,83.2942
2016-08-31,80.0815
2016-07-29,79.1294
2016-06-30,78.9112
2016-05-31,79.8006
2016-04-29,77.9301
2016-03-31,77.8825
2016-02-29,79.1070
2016-01-29,82.4696
2015-12-31,85.6618
2015-11-30,87.2214
2015-10-30,86.9371
2015-09-30,89.2419
2015-08-31,89.8722
2015-07-31,90.6451
2015-06-30,88.7802
2015-05-29,86.1901
2015-04-30,80.2950
2015-03-31,76.6801
2015-02-27,71.6650
2015-01-30,68.8957
2014-12-31,66.7342
2014-11-28,64.7330
2014-10-31,61.9756
2014-09-30,60.4120
2014-08-29,58.4382
2014-07-31,55.9908
2014-06-30,54.1781
2014-05-30,51.1970
2014-04-30,48.4129
2014-03-31,45.5628
2014-02-28,42.3681
2014-01-31,39.1233
2013-12-31,36.9328
2013-11-29,34.9262
2013-10-31,33.2980
2013-09-30,31.4577
2013-08-30,30.2522
2013-07-31,28.8295
2013-06-28,28.0588
2013-05-31,27.4374
2013-04-30,26.7021
2013-03-28,26.4646
2013-02-28,25.5922
2013-01-31,24.2551
2012-12-31,23.2618
2012-11-30,22.8810
2012-10-31,22.7631
2012-09-28,22.5291
2012-08-31,22.0242
2012-07-31,21.7197
2012-06-29,21.3949
2012-05-31,20.8386
2012-04-30,20.6272
2012-03-30,19.6082
2012-02-29,18.4907
2012-01-31,17.8367
2011-12-30,17.9539
2011-11-30,19.3762
2011-10-31,20.6863
2011-09-30,21.8620
2011-08-31,23.6794
2011-07-29,25.0662
2011-06-30,25.7190
