,WMA_monthly_10
2022-04-04,153.3823
2022-03-31,149.5056
2022-02-28,145.2137
2022-01-31,143.3375
2021-12-31,138.5313
2021-11-30,130.3485
2021-10-29,124.5714
2021-09-30,118.9929
2021-08-31,116.4376
2021-07-30,111.6678
2021-06-30,107.5631
2021-05-28,104.6267
2021-04-30,101.8467
2021-03-31,98.8575
2021-02-26,97.4502
2021-01-29,97.1859
2020-12-31,95.7595
2020-11-30,94.6513
2020-10-30,93.4180
2020-09-30,92.1273
2020-08-31,90.3860
2020-07-31,88.2506
2020-06-30,85.1078
2020-05-29,83.8772
2020-04-30,82.8483
2020-03-31,82.0286
2020-02-28,82.6027
2020-01-31,82.4476
2019-12-31,80.4195
2019-11-29,78.6769
2019-10-31,76.2039
2019-09-30,73.8629
2019-08-30,71.6192
2019-07-31,69.3887
2019-06-28,67.4284
2019-05-31,65.3018
2019-04-30,64.1967
2019-03-29,62.3717
2019-02-28,61.1867
2019-01-31,60.2988
2018-12-31,59.4351
2018-11-30,60.3333
2018-10-31,59.8059
2018-09-28,59.7353
2018-08-31,59.0523
2018-07-31,58.4847
2018-06-29,58.1177
2018-05-31,57.6709
2018-04-30,57.4467
2018-03-29,57.0069
2018-02-28,56.7349
2018-01-31,56.7979
2017-12-29,55.9024
2017-11-30,54.8604
2017-10-31,53.3084
2017-09-29,51.8131
2017-08-31,50.2702
2017-07-31,48.6113
2017-06-30,47.2254
2017-05-31,46.0728
2017-04-28,45.4501
2017-03-31,44.9027
2017-02-28,44.6657
2017-01-31,44.5268
2016-12-30,44.6458
2016-11-30,43.8914
2016-10-31,43.3064
2016-09-30,42.3600
2016-08-31,41.0027
2016-07-29,39.6006
2016-06-30,37.7230
2016-05-31,36.5015
2016-04-29,35.4520
2016-03-31,34.5851
2016-02-29,33.8141
2016-01-29,33.9959
2015-12-31,34.0664
2015-11-30,33.5804
2015-10-30,33.2006
2015-09-30,32.8102
2015-08-31,33.0299
2015-07-31,33.4860
2015-06-30,33.4919
2015-05-29,34.0623
2015-04-30,34.3162
2015-03-31,34.4775
2015-02-27,34.0882
2015-01-30,33.8334
2014-12-31,33.1416
2014-11-28,32.7147
2014-10-31,32.3828
2014-09-30,32.0611
2014-08-29,32.3036
2014-07-31,32.0942
2014-06-30,31.8445
2014-05-30,31.4534
2014-04-30,30.9908
2014-03-31,30.6005
2014-02-28,30.1562
2014-01-31,29.7059
2013-12-31,29.6076
2013-11-29,29.7802
2013-10-31,29.8702
2013-09-30,29.6135
2013-08-30,29.6209
2013-07-31,29.9793
2013-06-28,29.8409
2013-05-31,29.7284
2013-04-30,29.1717
2013-03-28,28.2520
2013-02-28,27.4819
2013-01-31,26.8396
2012-12-31,25.9982
2012-11-30,25.5756
2012-10-31,25.5028
2012-09-28,25.2936
2012-08-31,24.8702
2012-07-31,24.5302
2012-06-29,24.3223
2012-05-31,23.8957
2012-04-30,23.7140
2012-03-30,23.0077
2012-02-29,22.2652
2012-01-31,21.9054
2011-12-30,21.8533
2011-11-30,22.3134
2011-10-31,22.9815
2011-09-30,23.4087
2011-08-31,24.6222
2011-07-29,25.4816
2011-06-30,25.1047
2011-05-31,24.5322
2011-04-29,23.6402
2011-03-31,22.6626
2011-02-28,21.5965
2011-01-31,20.3507
2010-12-31,19.4193
2010-11-30,18.6185
2010-10-29,18.1021
2010-09-30,17.6696
2010-08-31,17.4477
2010-07-30,17.5356
2010-06-30,17.4352
2010-05-28,17.5094
2010-04-30,17.2180
2010-03-31,16.5579
2010-02-26,15.8467
2010-01-29,15.4578
2009-12-31,14.9816
2009-11-30,14.1336
2009-10-30,13.4666
2009-09-30,12.9984
2009-08-31,12.3708
2009-07-31,11.7631
2009-06-30,11.8093
2009-05-29,12.3137
2009-04-30,13.2889
2009-03-31,14.4667
2009-02-27,16.7468
2009-01-30,19.8455
2008-12-31,22.8787
2008-11-28,25.3476
2008-10-31,28.9219
2008-09-30,32.0666
2008-08-29,32.9369
2008-07-31,34.0077
2008-06-30,34.7641
2008-05-30,35.4513
2008-04-30,35.0710
2008-03-31,34.7542
2008-02-29,34.9019
2008-01-31,35.6381
2007-12-31,36.4009
2007-11-30,36.3574
2007-10-31,35.9451
2007-09-28,34.9660
2007-08-31,34.6664
2007-07-31,34.9310
2007-06-29,35.3867
2007-05-31,35.9171
2007-04-30,35.8584
2007-03-30,35.3258
2007-02-28,34.9664
2007-01-31,34.4951
2006-12-29,33.7052
2006-11-30,33.0880
2006-10-31,32.1158
2006-09-29,31.3416
2006-08-31,30.8736
2006-07-31,30.1843
2006-06-30,29.7609
2006-05-31,29.5073
2006-04-28,29.3157
2006-03-31,28.9685
2006-02-28,28.0440
2006-01-31,27.0072
2005-12-30,25.9454
2005-11-30,25.0696
2005-10-31,24.3697
2005-09-30,23.9170
2005-08-31,23.3593
2005-07-29,22.7641
2005-06-30,21.9185
2005-05-31,21.2963
2005-04-29,20.9144
2005-03-31,20.6382
2005-02-28,20.4589
2005-01-31,20.0708
2004-12-31,19.8484
2004-11-30,19.2386
2004-10-29,18.6391
2004-09-30,18.2471
2004-08-31,17.8691
2004-07-30,17.3667
2004-06-30,17.0469
2004-05-28,16.6956
2004-04-30,16.4646
2004-03-31,16.4843
2004-02-27,15.8002
2004-01-30,15.1808
2003-12-31,14.5531
2003-11-28,14.0462
2003-10-31,13.6474
2003-09-30,13.3685
2003-08-29,13.0071
2003-07-31,12.8108
2003-06-30,12.6646
2003-05-30,12.5406
2003-04-30,12.4766
2003-03-31,12.4589
2003-02-28,12.3841
2003-01-31,12.3096
2002-12-31,12.2721
2002-11-29,12.2283
2002-10-31,12.1590
2002-09-30,12.1635
2002-08-30,11.9922
2002-07-31,11.6945
2002-06-28,11.3836
2002-05-31,10.9362
2002-04-30,10.5798
2002-03-28,10.2989
2002-02-28,10.0502
2002-01-31,9.8798
2001-12-31,9.7398
2001-11-30,9.5415
2001-10-31,9.3820
2001-09-28,9.3249
2001-08-31,9.2610
2001-07-31,9.0872
2001-06-29,8.9603
2001-05-31,8.7834
2001-04-30,8.6879
2001-03-30,8.5799
2001-02-28,8.4952
2001-01-31,8.3779
2000-12-29,8.2581
2000-11-30,8.0204
2000-10-31,7.9058
2000-09-29,7.7823
