,WMA_monthly_10
2022-04-04,160.8619
2022-03-31,161.1579
2022-02-28,161.2590
2022-01-31,157.3649
2021-12-31,151.9739
2021-11-30,144.4049
2021-10-29,136.9014
2021-09-30,138.2784
2021-08-31,140.6660
2021-07-30,139.5308
2021-06-30,137.2304
2021-05-28,135.6942
2021-04-30,135.2427
2021-03-31,133.1564
2021-02-26,131.2239
2021-01-29,127.7214
2020-12-31,119.0512
2020-11-30,109.7310
2020-10-30,100.3172
2020-09-30,94.4644
2020-08-31,88.9719
2020-07-31,82.6262
2020-06-30,78.1090
2020-05-29,75.8496
2020-04-30,75.3546
2020-03-31,75.1703
2020-02-28,76.8602
2020-01-31,76.8918
2019-12-31,75.1936
2019-11-29,72.3523
2019-10-31,69.8218
2019-09-30,67.3944
2019-08-30,65.3345
2019-07-31,62.8340
2019-06-28,61.0637
2019-05-31,58.6246
2019-04-30,57.7907
2019-03-29,53.1525
2019-02-28,53.4271
2019-01-31,54.3536
2018-12-31,55.9986
2018-11-30,56.5100
2018-10-31,57.0345
2018-09-28,56.7820
2018-08-31,54.8921
2018-07-31,53.3385
2018-06-29,52.3190
2018-05-31,52.5208
2018-04-30,52.2807
2018-03-29,53.3391
2018-02-28,53.6878
2018-01-31,52.2646
2017-12-29,50.2061
2017-11-30,48.6810
2017-10-31,46.5423
2017-09-29,47.1347
2017-08-31,47.8224
2017-07-31,48.6631
2017-06-30,49.6624
2017-05-31,50.4384
2017-04-28,50.9403
2017-03-31,52.0590
2017-02-28,52.5554
2017-01-31,53.0658
2016-12-30,54.0747
2016-11-30,53.0172
2016-10-31,51.1286
2016-09-30,48.9233
2016-08-31,46.4287
2016-07-29,44.6792
2016-06-30,42.9272
2016-05-31,42.5697
2016-04-29,42.1150
2016-03-31,42.5609
2016-02-29,43.1574
2016-01-29,44.0316
2015-12-31,46.1257
2015-11-30,47.8290
2015-10-30,49.8870
2015-09-30,50.6401
2015-08-31,52.4971
2015-07-31,54.2260
2015-06-30,55.0109
2015-05-29,56.2317
2015-04-30,56.5282
2015-03-31,57.2135
2015-02-27,57.8396
2015-01-30,58.1354
2014-12-31,60.1073
2014-11-28,60.3493
2014-10-31,60.7951
2014-09-30,60.4155
2014-08-29,60.5415
2014-07-31,60.3606
2014-06-30,60.4752
2014-05-30,59.6051
2014-04-30,58.3757
2014-03-31,57.1303
2014-02-28,55.6261
2014-01-31,54.4740
2013-12-31,53.3557
2013-11-29,52.0933
2013-10-31,50.8007
2013-09-30,50.0150
2013-08-30,49.4671
2013-07-31,48.9426
2013-06-28,48.6679
2013-05-31,48.8714
2013-04-30,48.7254
2013-03-28,48.7502
2013-02-28,47.8848
2013-01-31,47.1992
2012-12-31,46.4775
2012-11-30,46.3288
2012-10-31,45.8908
2012-09-28,46.0818
2012-08-31,45.6197
2012-07-31,45.1858
2012-06-29,44.8350
2012-05-31,44.9678
2012-04-30,44.8258
2012-03-30,43.7129
