,WMA_monthly_10
2022-04-04,78.0901
2022-03-31,79.1537
2022-02-28,79.0333
2022-01-31,78.9788
2021-12-31,80.0644
2021-11-30,79.1916
2021-10-29,77.7981
2021-09-30,75.7309
2021-08-31,73.6198
2021-07-30,71.5151
2021-06-30,69.4927
2021-05-28,67.1812
2021-04-30,62.7143
2021-03-31,57.9226
2021-02-26,53.1206
2021-01-29,49.1074
2020-12-31,45.4515
2020-11-30,41.4978
2020-10-30,37.7416
2020-09-30,35.8599
2020-08-31,35.3317
2020-07-31,35.1232
2020-06-30,35.9657
2020-05-29,36.8054
2020-04-30,38.4771
2020-03-31,40.4148
2020-02-28,44.2299
2020-01-31,46.4702
2019-12-31,47.4005
2019-11-29,47.3381
2019-10-31,47.6290
2019-09-30,48.6128
2019-08-30,49.1342
2019-07-31,50.3273
2019-06-28,51.0767
2019-05-31,51.2768
2019-04-30,53.1466
2019-03-29,53.2011
2019-02-28,53.4725
2019-01-31,53.7664
2018-12-31,55.0277
2018-11-30,58.1987
2018-10-31,60.4725
2018-09-28,63.4589
2018-08-31,63.7690
2018-07-31,63.5177
2018-06-29,63.1925
2018-05-31,63.9396
2018-04-30,65.4930
2018-03-29,67.1221
2018-02-28,67.8008
2018-01-31,68.4484
2017-12-29,66.7111
2017-11-30,65.2687
2017-10-31,63.9820
2017-09-29,62.8628
2017-08-31,61.0935
2017-07-31,60.2376
2017-06-30,60.0721
2017-05-31,59.9089
2017-04-28,60.5597
2017-03-31,60.9365
2017-02-28,60.0680
2017-01-31,58.9581
2016-12-30,57.4848
2016-11-30,56.2048
2016-10-31,53.9464
2016-09-30,52.8812
2016-08-31,52.3111
2016-07-29,51.8714
2016-06-30,51.5405
2016-05-31,52.2026
2016-04-29,51.8837
2016-03-31,51.9806
2016-02-29,53.0611
2016-01-29,55.8712
2015-12-31,59.8514
2015-11-30,63.8195
2015-10-30,66.6735
2015-09-30,69.0277
2015-08-31,71.3480
2015-07-31,72.5862
2015-06-30,72.6202
2015-05-29,73.1385
2015-04-30,72.9364
2015-03-31,72.1296
2015-02-27,71.2585
2015-01-30,70.3276
2014-12-31,71.0055
2014-11-28,69.9709
2014-10-31,68.1847
2014-09-30,67.2398
2014-08-29,65.7786
2014-07-31,63.8961
2014-06-30,62.2799
2014-05-30,59.9096
2014-04-30,57.3516
2014-03-31,55.1822
2014-02-28,53.0802
2014-01-31,51.3698
2013-12-31,50.1192
2013-11-29,48.2412
2013-10-31,46.7188
2013-09-30,45.5760
2013-08-30,45.1074
2013-07-31,45.0520
2013-06-28,43.8419
2013-05-31,42.4785
2013-04-30,40.4567
2013-03-28,38.8541
2013-02-28,36.7759
2013-01-31,35.0697
2012-12-31,33.2543
2012-11-30,32.4171
2012-10-31,32.0828
2012-09-28,32.1584
2012-08-31,33.2346
2012-07-31,34.3130
2012-06-29,35.4744
2012-05-31,37.2434
2012-04-30,38.1902
2012-03-30,38.5273
2012-02-29,38.3282
2012-01-31,38.0582
2011-12-30,37.3274
2011-11-30,36.9372
2011-10-31,36.5916
2011-09-30,36.4762
2011-08-31,38.2258
2011-07-29,38.6347
2011-06-30,37.6671
2011-05-31,36.3745
2011-04-29,35.1641
2011-03-31,34.0024
2011-02-28,33.1391
2011-01-31,32.6106
2010-12-31,31.9513
2010-11-30,30.4542
2010-10-29,30.1118
2010-09-30,29.6763
2010-08-31,29.3296
2010-07-30,29.5742
2010-06-30,29.0941
2010-05-28,29.0233
2010-04-30,28.2011
2010-03-31,26.9605
2010-02-26,26.5795
2010-01-29,26.5390
2009-12-31,26.2770
2009-11-30,25.1615
2009-10-30,24.0280
2009-09-30,22.8897
2009-08-31,21.8912
2009-07-31,21.0345
2009-06-30,20.8966
2009-05-29,22.1193
2009-04-30,23.7675
2009-03-31,26.0121
2009-02-27,28.7310
2009-01-30,32.6918
2008-12-31,35.6399
2008-11-28,38.1904
2008-10-31,41.2895
2008-09-30,44.0404
2008-08-29,43.7783
2008-07-31,42.9880
2008-06-30,41.8287
2008-05-30,40.1258
2008-04-30,37.6142
2008-03-31,35.5528
2008-02-29,34.3289
2008-01-31,33.4401
2007-12-31,33.2276
2007-11-30,33.6751
2007-10-31,34.6972
2007-09-28,35.2268
2007-08-31,35.6472
2007-07-31,35.3293
2007-06-29,35.0445
2007-05-31,34.7691
2007-04-30,34.4272
2007-03-30,34.3290
2007-02-28,34.6809
2007-01-31,34.7711
2006-12-29,34.3936
2006-11-30,34.3499
