,WMA_monthly_10
2022-04-04,302.0820
2022-03-31,301.6209
2022-02-28,299.5220
2022-01-31,286.3517
2021-12-31,279.0392
2021-11-30,266.4786
2021-10-29,255.2521
2021-09-30,241.8649
2021-08-31,230.2883
2021-07-30,217.8108
2021-06-30,208.5645
2021-05-28,193.3353
2021-04-30,174.6818
2021-03-31,153.0632
2021-02-26,133.8769
2021-01-29,114.0448
2020-12-31,102.2362
2020-11-30,95.6780
2020-10-30,93.7591
2020-09-30,98.4427
2020-08-31,103.5127
2020-07-31,106.4262
2020-06-30,108.6149
2020-05-29,110.2676
2020-04-30,113.0360
2020-03-31,115.3647
2020-02-28,122.9989
2020-01-31,122.8345
2019-12-31,119.4241
2019-11-29,116.9917
2019-10-31,116.9288
2019-09-30,117.4477
2019-08-30,117.9511
2019-07-31,118.7613
2019-06-28,117.4228
2019-05-31,117.2191
2019-04-30,118.0009
2019-03-29,115.6157
2019-02-28,113.9795
2019-01-31,110.8279
2018-12-31,109.3608
2018-11-30,112.9463
2018-10-31,113.4900
2018-09-28,116.8023
2018-08-31,119.7354
2018-07-31,122.7478
2018-06-29,127.1004
2018-05-31,128.4497
2018-04-30,130.0553
2018-03-29,131.9992
2018-02-28,131.4306
2018-01-31,130.0047
2017-12-29,127.1474
2017-11-30,127.4988
2017-10-31,128.1929
2017-09-29,130.4753
2017-08-31,133.4685
2017-07-31,136.2774
2017-06-30,136.9911
2017-05-31,136.4904
2017-04-28,135.6874
2017-03-31,135.4346
2017-02-28,133.2530
2017-01-31,129.1756
2016-12-30,124.7305
2016-11-30,121.1839
2016-10-31,117.5063
2016-09-30,119.4082
2016-08-31,122.3498
2016-07-29,125.1427
2016-06-30,128.5345
2016-05-31,131.2726
2016-04-29,132.4682
2016-03-31,133.3262
2016-02-29,134.5370
2016-01-29,136.9489
2015-12-31,137.5198
2015-11-30,135.1784
2015-10-30,131.3183
2015-09-30,128.6438
2015-08-31,127.6332
2015-07-31,127.1073
2015-06-30,123.9390
2015-05-29,120.1563
2015-04-30,117.0942
2015-03-31,114.8475
2015-02-27,113.1367
2015-01-30,112.4138
2014-12-31,112.8991
2014-11-28,111.9595
2014-10-31,111.8353
2014-09-30,111.5007
2014-08-29,112.6176
2014-07-31,112.3556
2014-06-30,112.3986
2014-05-30,109.7679
2014-04-30,108.4936
2014-03-31,106.0943
2014-02-28,101.7095
2014-01-31,95.3974
2013-12-31,89.8615
2013-11-29,86.2622
2013-10-31,82.3102
2013-09-30,78.5946
2013-08-30,76.2749
2013-07-31,74.3232
2013-06-28,71.2982
2013-05-31,69.4173
2013-04-30,68.3181
2013-03-28,67.9895
2013-02-28,66.1416
2013-01-31,64.9147
2012-12-31,63.5598
2012-11-30,62.4429
2012-10-31,61.3224
2012-09-28,59.8248
2012-08-31,58.8907
2012-07-31,58.2230
2012-06-29,57.2906
2012-05-31,56.8704
2012-04-30,56.3364
2012-03-30,54.9254
2012-02-29,53.8629
2012-01-31,53.4100
2011-12-30,53.1341
2011-11-30,52.4050
2011-10-31,51.8369
2011-09-30,51.6367
2011-08-31,52.7379
2011-07-29,52.2595
2011-06-30,50.8283
2011-05-31,49.3789
2011-04-29,47.6615
2011-03-31,45.3781
2011-02-28,43.0868
2011-01-31,41.3699
2010-12-31,39.3334
2010-11-30,37.4502
2010-10-29,36.4610
2010-09-30,35.5789
2010-08-31,35.1437
2010-07-30,35.0167
2010-06-30,34.4033
2010-05-28,33.7327
2010-04-30,32.9482
2010-03-31,31.5052
2010-02-26,30.4601
2010-01-29,29.2125
2009-12-31,28.3095
2009-11-30,27.7470
2009-10-30,27.2513
2009-09-30,26.6073
2009-08-31,26.4148
2009-07-31,26.0277
2009-06-30,25.8833
2009-05-29,26.1562
2009-04-30,26.5131
2009-03-31,26.8164
2009-02-27,26.9472
2009-01-30,27.6521
2008-12-31,28.2374
2008-11-28,28.2723
2008-10-31,28.1808
2008-09-30,27.6339
2008-08-29,26.7309
2008-07-31,26.8142
2008-06-30,27.0206
2008-05-30,28.0050
2008-04-30,28.5542
2008-03-31,29.6048
2008-02-29,30.9384
2008-01-31,32.1857
2007-12-31,32.2179
2007-11-30,32.1572
2007-10-31,31.4648
2007-09-28,31.2142
2007-08-31,30.7263
2007-07-31,30.2807
2007-06-29,30.4633
2007-05-31,30.0757
2007-04-30,29.8143
2007-03-30,29.8746
2007-02-28,29.8049
2007-01-31,30.1258
2006-12-29,30.0292
2006-11-30,30.3211
2006-10-31,30.3820
2006-09-29,30.7171
2006-08-31,30.9131
2006-07-31,30.7149
2006-06-30,30.5519
2006-05-31,30.3053
2006-04-28,29.3885
2006-03-31,28.3456
2006-02-28,27.6401
2006-01-31,26.8342
2005-12-30,26.2944
2005-11-30,26.1874
2005-10-31,25.9835
2005-09-30,25.8013
2005-08-31,26.0383
2005-07-29,25.7534
2005-06-30,25.4056
2005-05-31,26.0584
2005-04-29,26.6986
2005-03-31,27.3050
2005-02-28,27.5649
2005-01-31,27.1964
