,WMA_monthly_10
2022-04-04,82.1180
2022-03-31,81.4082
2022-02-28,80.1337
2022-01-31,78.5645
2021-12-31,76.0234
2021-11-30,73.7214
2021-10-29,72.1582
2021-09-30,69.2536
2021-08-31,67.5699
2021-07-30,65.3009
2021-06-30,63.3690
2021-05-28,59.8799
2021-04-30,55.4589
2021-03-31,51.0254
2021-02-26,46.9968
2021-01-29,43.1471
2020-12-31,40.8306
2020-11-30,38.0134
2020-10-30,35.8883
2020-09-30,35.2733
2020-08-31,35.7557
2020-07-31,36.4427
2020-06-30,37.7324
2020-05-29,38.9890
2020-04-30,39.9764
2020-03-31,40.7111
2020-02-28,42.3039
2020-01-31,42.7110
2019-12-31,42.2408
2019-11-29,41.3791
2019-10-31,40.1142
2019-09-30,40.4326
2019-08-30,40.5970
2019-07-31,41.5146
2019-06-28,41.6923
2019-05-31,42.5759
2019-04-30,43.3652
2019-03-29,43.5409
2019-02-28,44.4578
2019-01-31,44.9669
2018-12-31,45.4619
2018-11-30,47.0591
2018-10-31,48.2289
2018-09-28,49.2534
2018-08-31,49.7629
2018-07-31,49.8793
2018-06-29,49.8411
2018-05-31,49.5988
2018-04-30,48.3513
2018-03-29,46.8864
2018-02-28,45.7817
2018-01-31,44.2898
2017-12-29,42.5420
2017-11-30,40.9406
2017-10-31,39.6476
2017-09-29,38.9516
2017-08-31,38.3533
2017-07-31,38.2690
2017-06-30,37.4864
2017-05-31,36.4932
2017-04-28,36.0402
2017-03-31,35.3491
2017-02-28,34.1445
2017-01-31,32.7988
2016-12-30,31.0966
2016-11-30,29.4474
2016-10-31,27.7082
2016-09-30,27.1845
2016-08-31,26.7151
2016-07-29,26.2436
2016-06-30,26.3001
2016-05-31,26.9674
2016-04-29,26.8073
2016-03-31,27.0964
2016-02-29,27.5098
2016-01-29,28.5145
2015-12-31,29.5295
2015-11-30,29.2304
2015-10-30,28.6646
2015-09-30,28.6381
2015-08-31,28.9344
2015-07-31,28.8901
2015-06-30,28.0001
2015-05-29,27.4119
2015-04-30,26.9216
2015-03-31,26.5709
2015-02-27,26.1389
2015-01-30,25.8399
2014-12-31,26.1442
2014-11-28,25.6794
2014-10-31,25.4652
2014-09-30,25.1549
2014-08-29,24.6394
2014-07-31,24.1695
2014-06-30,23.7238
2014-05-30,23.3114
2014-04-30,23.1300
2014-03-31,22.6441
2014-02-28,21.9019
2014-01-31,21.1341
2013-12-31,20.5368
2013-11-29,19.5797
2013-10-31,18.7394
2013-09-30,18.0729
2013-08-30,17.5211
2013-07-31,16.8884
2013-06-28,15.9093
2013-05-31,14.9419
2013-04-30,14.0778
2013-03-28,13.6329
2013-02-28,12.9794
2013-01-31,12.5281
2012-12-31,12.0002
2012-11-30,11.8168
2012-10-31,11.8126
2012-09-28,11.6993
2012-08-31,11.6996
2012-07-31,11.5614
2012-06-29,11.5483
2012-05-31,11.4744
2012-04-30,11.5122
2012-03-30,11.2964
2012-02-29,11.1207
2012-01-31,11.0906
2011-12-30,11.5287
2011-11-30,12.1496
2011-10-31,12.7512
2011-09-30,13.3847
2011-08-31,14.2373
2011-07-29,14.9623
2011-06-30,15.2674
2011-05-31,15.2695
2011-04-29,14.9684
2011-03-31,14.5613
2011-02-28,14.1689
2011-01-31,13.6280
2010-12-31,13.2492
2010-11-30,13.0349
2010-10-29,13.1971
2010-09-30,13.3593
2010-08-31,13.8262
2010-07-30,14.5412
2010-06-30,15.0113
2010-05-28,15.6351
2010-04-30,15.9403
2010-03-31,15.7619
2010-02-26,15.6575
2010-01-29,15.6116
2009-12-31,15.5324
2009-11-30,15.2734
2009-10-30,15.0139
2009-09-30,14.8970
2009-08-31,14.4830
2009-07-31,14.2505
2009-06-30,14.1778
2009-05-29,14.2520
2009-04-30,14.3938
2009-03-31,14.4367
2009-02-27,15.0394
2009-01-30,16.2059
2008-12-31,17.3242
2008-11-28,18.0960
2008-10-31,18.5930
2008-09-30,19.0751
2008-08-29,18.4748
2008-07-31,18.1674
2008-06-30,18.0157
2008-05-30,18.2096
2008-04-30,18.1194
2008-03-31,18.0919
2008-02-29,18.5235
2008-01-31,18.8122
2007-12-31,18.6232
2007-11-30,17.8172
2007-10-31,17.1014
2007-09-28,16.4812
2007-08-31,16.0451
2007-07-31,15.8423
2007-06-29,15.5402
2007-05-31,15.2715
2007-04-30,14.6245
2007-03-30,14.4207
2007-02-28,14.3112
2007-01-31,14.1637
2006-12-29,13.9340
2006-11-30,13.5977
2006-10-31,13.3522
2006-09-29,13.0790
2006-08-31,12.8109
2006-07-31,12.7543
2006-06-30,12.7416
2006-05-31,12.6787
2006-04-28,12.4752
2006-03-31,12.0038
2006-02-28,11.5462
2006-01-31,11.1466
2005-12-30,10.8913
2005-11-30,10.5929
2005-10-31,10.1538
2005-09-30,9.6784
2005-08-31,9.2598
2005-07-29,8.9058
2005-06-30,8.4661
2005-05-31,8.3428
2005-04-29,8.1737
2005-03-31,8.1368
2005-02-28,8.0662
2005-01-31,7.9929
2004-12-31,7.8221
2004-11-30,7.5525
2004-10-29,7.4722
2004-09-30,7.6634
2004-08-31,7.8820
2004-07-30,8.1206
2004-06-30,8.4999
2004-05-28,8.7794
2004-04-30,9.0400
2004-03-31,9.2311
2004-02-27,9.2096
2004-01-30,9.0485
2003-12-31,8.7646
2003-11-28,8.5302
2003-10-31,8.2954
2003-09-30,7.7494
2003-08-29,7.4286
2003-07-31,7.2308
2003-06-30,7.0736
2003-05-30,6.9479
2003-04-30,6.8658
2003-03-31,6.9700
2003-02-28,7.3386
2003-01-31,7.6601
2002-12-31,7.8523
2002-11-29,7.8469
2002-10-31,7.7838
2002-09-30,8.1383
2002-08-30,8.6380
2002-07-31,9.1216
2002-06-28,9.6741
2002-05-31,9.9306
2002-04-30,10.1028
2002-03-28,10.4344
2002-02-28,10.6084
2002-01-31,10.8825
2001-12-31,10.9875
2001-11-30,11.0146
2001-10-31,11.3623
2001-09-28,12.1313
2001-08-31,13.3159
2001-07-31,14.6809
2001-06-29,15.9797
2001-05-31,17.4871
2001-04-30,18.8111
2001-03-30,20.1890
2001-02-28,22.3412
2001-01-31,23.8546
2000-12-29,24.7661
2000-11-30,25.3989
2000-10-31,26.0747
2000-09-29,25.5875
