,WMA_monthly_10
2022-04-04,65.0374
2022-03-31,63.9963
2022-02-28,62.8854
2022-01-31,61.4514
2021-12-31,59.4655
2021-11-30,57.0875
2021-10-29,55.3481
2021-09-30,53.8615
2021-08-31,53.0064
2021-07-30,50.6656
2021-06-30,48.7651
2021-05-28,46.0447
2021-04-30,43.4027
2021-03-31,41.7959
2021-02-26,40.5763
2021-01-29,39.8439
2020-12-31,38.7261
2020-11-30,36.6925
2020-10-30,34.6390
2020-09-30,33.5544
2020-08-31,32.5773
2020-07-31,31.5743
2020-06-30,31.3067
2020-05-29,31.6522
2020-04-30,32.3187
2020-03-31,33.8456
2020-02-28,36.3487
2020-01-31,38.1683
2019-12-31,39.2522
2019-11-29,39.6302
2019-10-31,40.4282
2019-09-30,40.3914
2019-08-30,40.3029
2019-07-31,40.4017
2019-06-28,40.1206
2019-05-31,39.6095
2019-04-30,39.3064
2019-03-29,38.1025
2019-02-28,36.9433
2019-01-31,36.2297
2018-12-31,36.2767
2018-11-30,37.2485
2018-10-31,38.1339
2018-09-28,40.0193
2018-08-31,40.6900
2018-07-31,41.4573
2018-06-29,41.5143
2018-05-31,41.8741
2018-04-30,42.0319
2018-03-29,42.1750
2018-02-28,42.5189
2018-01-31,42.9824
2017-12-29,42.5262
2017-11-30,41.6790
2017-10-31,41.0409
2017-09-29,41.0889
2017-08-31,41.4338
2017-07-31,41.5073
2017-06-30,41.7861
2017-05-31,41.8853
2017-04-28,42.0776
2017-03-31,42.3892
2017-02-28,42.8124
2017-01-31,42.7802
2016-12-30,42.3923
2016-11-30,42.5315
2016-10-31,42.5331
2016-09-30,42.5321
2016-08-31,42.4821
2016-07-29,42.2360
2016-06-30,41.9962
2016-05-31,42.0396
2016-04-29,42.1358
2016-03-31,42.1389
2016-02-29,42.0367
2016-01-29,42.3263
2015-12-31,43.5548
2015-11-30,44.1423
2015-10-30,44.5400
2015-09-30,44.2003
2015-08-31,44.1020
2015-07-31,43.0145
2015-06-30,41.3372
2015-05-29,39.6957
2015-04-30,38.2398
2015-03-31,37.1001
2015-02-27,35.7520
2015-01-30,33.9513
2014-12-31,33.1063
2014-11-28,31.7994
2014-10-31,30.8469
2014-09-30,30.3879
2014-08-29,30.0995
2014-07-31,29.5308
2014-06-30,29.5245
2014-05-30,29.0831
2014-04-30,28.7675
2014-03-31,28.0554
2014-02-28,27.4264
2014-01-31,26.4310
2013-12-31,25.7762
2013-11-29,24.4632
2013-10-31,23.2645
2013-09-30,22.1680
2013-08-30,21.3814
2013-07-31,20.2203
2013-06-28,19.0516
2013-05-31,18.2505
2013-04-30,17.3290
2013-03-28,16.5983
2013-02-28,15.4103
2013-01-31,14.4674
2012-12-31,14.1000
2012-11-30,13.9501
2012-10-31,13.9489
2012-09-28,14.0716
2012-08-31,14.3411
2012-07-31,14.8446
2012-06-29,15.0693
2012-05-31,15.4525
2012-04-30,15.8850
2012-03-30,15.8557
2012-02-29,15.8944
2012-01-31,15.9682
2011-12-30,16.1111
2011-11-30,16.8193
2011-10-31,17.5938
2011-09-30,18.4706
2011-08-31,19.6068
2011-07-29,20.5450
2011-06-30,21.0416
2011-05-31,21.1399
2011-04-29,20.9071
2011-03-31,20.5649
2011-02-28,19.9942
2011-01-31,19.2183
2010-12-31,18.4772
2010-11-30,17.8395
2010-10-29,17.4943
2010-09-30,17.1390
2010-08-31,16.8730
2010-07-30,16.8959
2010-06-30,16.7187
2010-05-28,16.8056
2010-04-30,16.7038
2010-03-31,16.4553
2010-02-26,16.2461
2010-01-29,16.1246
2009-12-31,15.9975
2009-11-30,15.4139
2009-10-30,14.6529
2009-09-30,14.2697
2009-08-31,13.7659
2009-07-31,13.3504
2009-06-30,13.0543
2009-05-29,12.8229
2009-04-30,12.4004
2009-03-31,12.1073
2009-02-27,12.7119
2009-01-30,13.9073
2008-12-31,14.9230
2008-11-28,15.8651
2008-10-31,16.8387
2008-09-30,17.7414
2008-08-29,17.9425
2008-07-31,17.8489
2008-06-30,18.1595
2008-05-30,18.9455
2008-04-30,19.0333
2008-03-31,19.0656
2008-02-29,19.1961
2008-01-31,19.6038
2007-12-31,19.8127
2007-11-30,20.5610
2007-10-31,21.4192
2007-09-28,22.1612
2007-08-31,22.8700
2007-07-31,23.5118
2007-06-29,24.0375
2007-05-31,23.9704
2007-04-30,23.6033
2007-03-30,23.0704
2007-02-28,22.6332
2007-01-31,22.0345
2006-12-29,21.2906
2006-11-30,20.5535
2006-10-31,20.1538
2006-09-29,19.7376
2006-08-31,19.6708
2006-07-31,19.7443
2006-06-30,20.1432
2006-05-31,20.2014
2006-04-28,20.3025
2006-03-31,20.2304
2006-02-28,19.8430
2006-01-31,19.4870
2005-12-30,19.2073
2005-11-30,18.8402
2005-10-31,18.7725
2005-09-30,18.8198
2005-08-31,19.0868
2005-07-29,19.1228
2005-06-30,18.9568
2005-05-31,19.0078
2005-04-29,18.8939
2005-03-31,19.0396
2005-02-28,18.9369
2005-01-31,18.7902
2004-12-31,18.6986
2004-11-30,18.4504
2004-10-29,18.3172
2004-09-30,18.3418
2004-08-31,18.6261
2004-07-30,18.7506
2004-06-30,18.9875
2004-05-28,18.7981
2004-04-30,18.7948
2004-03-31,18.8625
2004-02-27,18.8465
2004-01-30,18.7751
2003-12-31,18.6422
2003-11-28,18.0935
2003-10-31,17.5357
2003-09-30,16.8388
2003-08-29,16.4873
2003-07-31,15.8129
2003-06-30,14.9927
2003-05-30,13.9592
2003-04-30,12.9820
2003-03-31,12.0579
2003-02-28,11.3494
2003-01-31,10.9592
2002-12-31,10.5343
2002-11-29,10.1898
2002-10-31,9.8069
2002-09-30,11.1469
2002-08-30,12.5771
2002-07-31,14.2685
2002-06-28,16.1751
2002-05-31,16.3359
2002-04-30,16.1691
2002-03-28,15.9574
2002-02-28,15.5448
2002-01-31,15.2325
