,WMA_monthly_10
2019-12-06,66.5866
2019-11-29,65.4551
2019-10-31,63.9520
2019-09-30,62.6559
2019-08-30,61.1387
2019-07-31,60.9206
2019-06-28,59.8684
2019-05-31,59.6470
2019-04-30,60.1100
2019-03-29,59.6747
2019-02-28,60.4639
2019-01-31,60.2578
2018-12-31,61.2254
2018-11-30,64.0890
2018-10-31,64.9061
2018-09-28,65.8291
2018-08-31,65.9215
2018-07-31,64.5736
2018-06-29,63.3392
2018-05-31,62.9473
2018-04-30,62.0951
2018-03-29,61.2416
2018-02-28,59.9039
2018-01-31,58.0081
2017-12-29,55.7515
2017-11-30,54.4358
2017-10-31,53.5229
2017-09-29,52.8138
2017-08-31,52.0321
2017-07-31,51.8612
2017-06-30,51.1492
2017-05-31,50.3093
2017-04-28,49.8341
2017-03-31,48.5480
2017-02-28,47.3116
2017-01-31,45.0572
2016-12-30,42.9364
2016-11-30,40.7736
2016-10-31,38.8247
2016-09-30,37.9863
2016-08-31,37.3666
2016-07-29,36.6429
2016-06-30,36.1791
2016-05-31,35.8919
2016-04-29,35.1419
2016-03-31,34.7826
2016-02-29,35.4516
2016-01-29,36.7190
2015-12-31,37.5318
2015-11-30,37.2791
2015-10-30,36.8362
2015-09-30,36.7367
2015-08-31,37.1775
2015-07-31,37.2384
2015-06-30,36.5845
2015-05-29,36.0548
2015-04-30,35.4926
2015-03-31,35.1257
2015-02-27,34.7709
2015-01-30,34.3742
2014-12-31,34.4343
2014-11-28,33.8606
2014-10-31,33.6577
2014-09-30,33.4653
2014-08-29,33.4136
2014-07-31,33.2747
2014-06-30,33.0777
2014-05-30,32.4296
2014-04-30,31.9937
2014-03-31,31.4892
2014-02-28,30.6180
2014-01-31,29.9411
2013-12-31,29.2507
2013-11-29,28.4446
2013-10-31,27.6013
2013-09-30,27.0931
2013-08-30,26.6901
2013-07-31,26.2700
2013-06-28,25.3278
2013-05-31,24.7861
2013-04-30,24.0279
2013-03-28,23.6475
2013-02-28,23.2418
2013-01-31,22.9716
2012-12-31,22.5203
2012-11-30,21.9862
2012-10-31,21.5337
2012-09-28,20.9320
2012-08-31,20.0052
2012-07-31,19.4722
2012-06-29,19.0920
2012-05-31,18.5527
2012-04-30,18.2369
2012-03-30,17.7394
2012-02-29,17.3167
2012-01-31,17.1584
2011-12-30,17.5012
2011-11-30,18.4761
2011-10-31,19.5716
2011-09-30,20.5781
2011-08-31,21.9404
2011-07-29,23.0800
2011-06-30,23.5435
2011-05-31,23.7553
2011-04-29,23.5757
2011-03-31,23.3130
2011-02-28,22.9213
2011-01-31,22.3161
2010-12-31,21.6164
2010-11-30,20.9699
2010-10-29,21.2801
2010-09-30,21.2664
2010-08-31,21.0930
2010-07-30,21.3755
2010-06-30,21.0804
2010-05-28,21.1917
2010-04-30,20.6295
2010-03-31,19.4616
2010-02-26,18.5151
2010-01-29,17.8793
2009-12-31,16.9714
2009-11-30,16.5536
2009-10-30,15.4479
2009-09-30,15.1875
2009-08-31,14.5339
2009-07-31,13.9912
2009-06-30,14.4090
2009-05-29,15.6611
2009-04-30,17.8097
2009-03-31,20.0876
2009-02-27,23.3552
2009-01-30,27.1942
2008-12-31,31.6173
2008-11-28,33.8262
2008-10-31,36.2012
2008-09-30,37.7059
2008-08-29,38.8191
2008-07-31,40.7873
2008-06-30,43.4518
2008-05-30,47.3954
2008-04-30,49.3446
2008-03-31,51.2868
2008-02-29,53.7652
2008-01-31,56.1447
2007-12-31,57.2780
2007-11-30,59.5866
2007-10-31,60.9595
2007-09-28,62.2202
2007-08-31,63.1055
2007-07-31,63.5268
2007-06-29,64.0721
2007-05-31,63.4309
2007-04-30,62.1182
2007-03-30,61.4391
2007-02-28,60.8242
2007-01-31,59.9051
2006-12-29,59.0871
2006-11-30,57.8974
2006-10-31,56.9201
2006-09-29,56.2764
2006-08-31,55.7790
2006-07-31,55.3170
2006-06-30,54.4571
2006-05-31,53.8451
2006-04-28,53.2365
2006-03-31,52.4034
2006-02-28,52.1675
2006-01-31,51.9601
2005-12-30,51.9412
2005-11-30,51.7236
2005-10-31,51.4708
2005-09-30,51.3192
2005-08-31,51.5681
2005-07-29,51.6825
2005-06-30,51.5017
2005-05-31,51.3103
2005-04-29,50.8163
2005-03-31,50.3744
2005-02-28,49.9221
2005-01-31,49.3398
2004-12-31,48.8325
2004-11-30,48.0466
2004-10-29,47.5784
2004-09-30,47.2851
2004-08-31,46.9765
2004-07-30,46.9250
2004-06-30,47.1224
2004-05-28,47.3764
2004-04-30,47.5447
2004-03-31,47.2795
2004-02-27,46.6605
2004-01-30,45.5064
2003-12-31,44.1489
2003-11-28,42.6938
2003-10-31,41.0950
2003-09-30,39.9027
2003-08-29,39.5017
2003-07-31,38.9805
2003-06-30,38.5333
2003-05-30,38.3591
2003-04-30,38.2463
2003-03-31,38.5521
2003-02-28,39.5878
2003-01-31,40.3046
2002-12-31,41.1340
2002-11-29,41.9866
2002-10-31,42.6446
2002-09-30,43.1011
2002-08-30,43.4874
2002-07-31,43.0400
2002-06-28,42.8421
2002-05-31,42.4066
2002-04-30,41.8925
2002-03-28,41.4153
2002-02-28,41.0095
2002-01-31,41.0601
2001-12-31,41.3249
2001-11-30,41.4815
2001-10-31,41.5959
2001-09-28,42.1779
2001-08-31,41.7761
2001-07-31,40.9330
2001-06-29,39.7898
2001-05-31,38.9763
2001-04-30,38.3811
2001-03-30,37.3758
2001-02-28,36.1451
2001-01-31,34.6184
2000-12-29,32.8836
2000-11-30,31.4447
2000-10-31,31.4871
2000-09-29,32.0114
