,WMA_monthly_10
2022-04-04,44.8724
2022-03-31,45.1669
2022-02-28,47.8635
2022-01-31,51.4885
2021-12-31,55.2322
2021-11-30,58.5529
2021-10-29,61.8625
2021-09-30,63.4378
2021-08-31,63.5153
2021-07-30,62.4247
2021-06-30,59.9205
2021-05-28,57.0740
2021-04-30,55.8002
2021-03-31,54.5695
2021-02-26,51.2158
2021-01-29,44.5407
2020-12-31,42.2171
2020-11-30,38.8544
2020-10-30,36.6256
2020-09-30,35.1640
2020-08-31,32.8844
2020-07-31,31.1245
2020-06-30,30.2120
2020-05-29,30.7351
2020-04-30,31.2498
2020-03-31,32.2940
2020-02-28,34.3033
2020-01-31,34.8636
2019-12-31,35.5622
2019-11-29,36.3158
2019-10-31,37.3249
2019-09-30,38.4825
2019-08-30,37.4211
2019-07-31,35.9524
2019-06-28,34.2936
2019-05-31,33.9873
2019-04-30,33.3178
2019-03-29,32.0858
2019-02-28,32.1651
2019-01-31,32.6176
2018-12-31,32.4820
2018-11-30,33.2795
2018-10-31,33.4816
2018-09-28,32.8885
2018-08-31,33.2958
2018-07-31,32.2165
2018-06-29,31.4664
2018-05-31,28.0842
2018-04-30,25.9945
2018-03-29,24.4769
2018-02-28,23.0013
2018-01-31,20.7278
2017-12-29,19.3569
2017-11-30,18.1635
2017-10-31,17.5398
2017-09-29,16.8304
2017-08-31,16.8322
2017-07-31,16.8456
2017-06-30,17.1347
2017-05-31,17.1245
2017-04-28,17.0020
2017-03-31,17.2218
2017-02-28,17.7247
2017-01-31,18.0576
2016-12-30,18.0347
2016-11-30,18.2849
2016-10-31,18.1062
2016-09-30,18.1200
2016-08-31,17.2493
2016-07-29,17.2449
2016-06-30,17.8951
2016-05-31,18.6940
2016-04-29,20.0873
2016-03-31,21.9824
2016-02-29,23.8924
2016-01-29,25.8958
2015-12-31,28.7444
2015-11-30,30.8936
2015-10-30,32.8525
2015-09-30,34.3898
2015-08-31,36.4725
2015-07-31,38.6495
2015-06-30,40.6149
2015-05-29,41.8791
2015-04-30,43.2164
2015-03-31,44.1738
2015-02-27,42.7887
2015-01-30,41.6016
2014-12-31,42.4989
2014-11-28,44.0442
2014-10-31,44.9360
2014-09-30,46.2802
