,WMA_monthly_10
2022-04-04,341.8402
2022-03-31,340.0262
2022-02-28,336.8604
2022-01-31,339.7715
2021-12-31,343.1224
2021-11-30,343.6258
2021-10-29,341.2160
2021-09-30,328.7898
2021-08-31,319.2336
2021-07-30,306.1945
2021-06-30,294.5364
2021-05-28,282.2135
2021-04-30,263.9253
2021-03-31,245.0769
2021-02-26,221.0645
2021-01-29,199.7871
2020-12-31,185.8476
2020-11-30,172.1185
2020-10-30,157.6260
2020-09-30,151.7767
2020-08-31,146.2265
2020-07-31,139.4222
2020-06-30,136.0009
2020-05-29,133.0673
2020-04-30,131.7547
2020-03-31,132.4064
2020-02-28,137.8435
2020-01-31,138.0558
2019-12-31,137.2947
2019-11-29,130.2976
2019-10-31,125.2898
2019-09-30,123.2595
2019-08-30,122.7162
2019-07-31,124.5058
2019-06-28,124.4255
2019-05-31,123.6622
2019-04-30,127.6989
2019-03-29,126.2538
2019-02-28,130.4818
2019-01-31,131.2918
2018-12-31,134.6613
2018-11-30,143.4827
2018-10-31,150.8129
2018-09-28,158.5511
2018-08-31,158.2998
2018-07-31,159.1924
2018-06-29,161.1875
2018-05-31,162.8596
2018-04-30,161.6207
2018-03-29,161.4438
2018-02-28,155.9705
2018-01-31,148.8785
2017-12-29,139.6727
2017-11-30,131.3418
2017-10-31,124.6715
2017-09-29,120.6211
2017-08-31,116.3847
2017-07-31,115.1375
2017-06-30,112.9907
2017-05-31,111.4276
2017-04-28,110.0598
2017-03-31,107.7491
2017-02-28,101.6333
2017-01-31,93.8647
2016-12-30,85.2031
2016-11-30,79.3649
2016-10-31,73.3722
2016-09-30,71.9500
2016-08-31,70.0165
2016-07-29,67.2531
2016-06-30,64.6129
2016-05-31,64.2987
2016-04-29,63.4685
2016-03-31,63.5127
2016-02-29,64.9045
2016-01-29,69.0456
2015-12-31,74.6385
2015-11-30,76.1264
2015-10-30,76.5756
2015-09-30,78.2113
2015-08-31,83.5080
2015-07-31,87.8580
2015-06-30,93.4355
2015-05-29,95.8080
2015-04-30,98.2549
2015-03-31,99.4555
2015-02-27,101.8213
2015-01-30,103.8556
2014-12-31,107.9662
2014-11-28,108.3445
2014-10-31,106.0798
2014-09-30,103.8222
2014-08-29,100.6051
2014-07-31,95.2324
2014-06-30,91.1304
2014-05-30,86.3327
2014-04-30,81.4091
2014-03-31,76.9996
2014-02-28,71.6956
2014-01-31,66.9420
2013-12-31,63.0616
