,WMA_monthly_10
2022-02-14,187.0674
2022-01-31,181.9033
2021-12-31,175.7822
2021-11-30,164.8192
2021-10-29,149.0951
2021-09-30,141.5328
2021-08-31,139.1274
2021-07-30,135.2139
2021-06-30,131.5105
2021-05-28,128.0103
2021-04-30,127.3372
2021-03-31,125.9430
2021-02-26,124.6947
2021-01-29,121.4925
2020-12-31,117.2725
2020-11-30,109.9511
2020-10-30,100.8154
2020-09-30,96.2086
2020-08-31,93.9844
2020-07-31,91.5057
2020-06-30,88.2924
2020-05-29,86.7702
2020-04-30,86.7748
2020-03-31,88.1917
2020-02-28,91.7190
2020-01-31,94.8768
2019-12-31,98.6528
2019-11-29,100.5253
2019-10-31,103.6025
2019-09-30,106.9922
2019-08-30,109.3877
2019-07-31,109.9795
2019-06-28,108.2203
2019-05-31,105.0794
2019-04-30,104.1478
2019-03-29,99.1441
2019-02-28,91.9159
2019-01-31,83.8532
2018-12-31,77.4966
2018-11-30,75.5880
2018-10-31,72.0262
2018-09-28,69.4464
2018-08-31,67.5728
2018-07-31,66.0114
2018-06-29,65.4809
2018-05-31,66.1348
2018-04-30,66.1849
2018-03-29,66.9502
2018-02-28,66.2138
2018-01-31,65.4854
2017-12-29,64.2370
2017-11-30,63.7910
2017-10-31,62.7675
2017-09-29,60.8382
2017-08-31,59.0954
2017-07-31,57.8910
2017-06-30,57.0588
2017-05-31,55.8567
2017-04-28,53.9585
2017-03-31,52.4307
2017-02-28,51.5967
2017-01-31,50.3183
2016-12-30,49.0027
2016-11-30,47.0822
2016-10-31,46.1560
2016-09-30,45.7304
2016-08-31,44.6275
2016-07-29,43.4145
2016-06-30,42.6212
2016-05-31,42.5685
2016-04-29,42.1924
2016-03-31,42.5923
2016-02-29,42.2560
2016-01-29,41.8710
2015-12-31,40.8900
2015-11-30,40.3616
2015-10-30,39.1852
2015-09-30,38.3143
2015-08-31,38.3351
2015-07-31,38.4517
2015-06-30,38.6371
2015-05-29,38.3863
2015-04-30,37.4864
2015-03-31,37.3421
2015-02-27,37.4278
2015-01-30,37.5596
2014-12-31,38.5826
2014-11-28,38.9780
2014-10-31,39.0271
2014-09-30,39.3359
2014-08-29,39.9570
2014-07-31,40.6272
2014-06-30,41.5985
2014-05-30,41.5223
2014-04-30,41.4806
2014-03-31,41.3191
2014-02-28,39.8241
2014-01-31,38.4161
2013-12-31,37.8151
2013-11-29,37.1471
2013-10-31,36.5744
2013-09-30,35.7266
2013-08-30,34.4596
2013-07-31,33.5471
2013-06-28,31.9521
2013-05-31,31.3510
2013-04-30,30.4496
2013-03-28,29.9327
2013-02-28,29.2717
2013-01-31,28.7207
2012-12-31,28.3117
2012-11-30,28.0037
2012-10-31,27.8848
2012-09-28,28.0652
2012-08-31,28.1291
2012-07-31,28.0984
2012-06-29,28.2467
2012-05-31,28.1746
2012-04-30,28.3333
2012-03-30,27.8574
2012-02-29,27.3455
2012-01-31,26.7237
2011-12-30,26.2371
2011-11-30,26.3224
2011-10-31,26.2929
2011-09-30,26.1073
2011-08-31,26.7992
2011-07-29,26.8721
2011-06-30,26.7479
2011-05-31,25.7964
2011-04-29,24.8382
2011-03-31,23.8816
2011-02-28,23.0979
2011-01-31,22.1313
2010-12-31,21.2365
2010-11-30,20.7568
2010-10-29,20.4858
2010-09-30,20.2530
2010-08-31,19.9794
2010-07-30,20.0241
2010-06-30,19.4748
2010-05-28,19.2574
2010-04-30,19.1085
2010-03-31,18.7090
2010-02-26,18.2770
2010-01-29,17.7132
2009-12-31,17.4247
2009-11-30,16.8168
2009-10-30,16.4629
2009-09-30,16.1967
2009-08-31,15.5915
2009-07-31,15.0909
2009-06-30,14.7037
2009-05-29,14.5571
2009-04-30,14.4185
2009-03-31,14.4018
2009-02-27,14.6661
2009-01-30,15.2247
2008-12-31,16.0066
2008-11-28,16.7116
2008-10-31,17.6860
2008-09-30,18.4392
2008-08-29,18.4800
2008-07-31,18.1467
2008-06-30,18.0015
2008-05-30,17.7981
2008-04-30,17.2932
2008-03-31,17.1581
2008-02-29,17.2187
2008-01-31,17.5553
2007-12-31,18.0209
2007-11-30,18.5321
2007-10-31,19.0658
2007-09-28,19.2691
2007-08-31,19.2447
2007-07-31,19.2903
2007-06-29,19.3841
2007-05-31,19.1874
2007-04-30,18.6507
2007-03-30,17.9031
2007-02-28,17.6515
2007-01-31,17.4364
2006-12-29,17.4193
2006-11-30,17.5088
2006-10-31,17.2140
2006-09-29,17.0958
2006-08-31,17.5010
2006-07-31,17.7955
2006-06-30,18.5340
2006-05-31,19.0342
2006-04-28,19.1228
2006-03-31,18.9730
2006-02-28,19.1389
2006-01-31,19.0592
2005-12-30,18.8850
2005-11-30,19.1564
2005-10-31,19.2999
2005-09-30,19.8478
2005-08-31,19.9305
2005-07-29,20.0127
2005-06-30,20.0498
2005-05-31,20.4787
2005-04-29,20.6324
2005-03-31,20.9826
2005-02-28,21.1284
2005-01-31,21.1902
2004-12-31,21.4968
2004-11-30,21.8977
2004-10-29,22.2339
2004-09-30,22.7581
2004-08-31,23.8802
2004-07-30,25.0015
2004-06-30,25.8589
2004-05-28,26.1863
2004-04-30,25.9748
2004-03-31,26.0314
2004-02-27,25.4549
2004-01-30,24.1443
2003-12-31,22.6081
2003-11-28,21.2895
2003-10-31,19.8760
2003-09-30,19.0657
2003-08-29,18.6352
2003-07-31,17.7379
2003-06-30,17.2995
2003-05-30,16.9076
2003-04-30,15.7883
2003-03-31,14.9753
2003-02-28,14.7812
2003-01-31,14.8430
2002-12-31,15.5611
2002-11-29,16.3718
2002-10-31,16.9043
2002-09-30,18.4187
2002-08-30,20.5971
2002-07-31,22.4715
2002-06-28,24.4182
2002-05-31,26.1625
2002-04-30,26.3220
2002-03-28,26.2056
2002-02-28,25.8376
2002-01-31,26.1231
2001-12-31,25.3503
2001-11-30,25.1267
2001-10-31,25.5097
2001-09-28,26.8239
2001-08-31,29.2202
2001-07-31,30.0556
2001-06-29,31.3531
2001-05-31,33.1026
2001-04-30,35.2845
2001-03-30,37.1186
2001-02-28,41.0741
2001-01-31,44.9894
2000-12-29,47.3350
2000-11-30,51.1212
2000-10-31,55.9083
2000-09-29,56.0608
