,WMA_monthly_10
2022-04-04,52.7404
2022-03-31,54.1661
2022-02-28,55.8057
2022-01-31,56.8114
2021-12-31,58.1297
2021-11-30,58.9620
2021-10-29,61.1711
2021-09-30,61.7544
2021-08-31,62.0495
2021-07-30,61.4378
2021-06-30,59.6348
2021-05-28,57.9956
2021-04-30,55.3086
2021-03-31,52.0876
2021-02-26,49.2152
2021-01-29,48.0992
2020-12-31,46.6390
2020-11-30,45.3180
2020-10-30,44.3640
2020-09-30,44.2365
2020-08-31,44.9520
2020-07-31,45.6527
2020-06-30,46.5517
2020-05-29,47.6845
2020-04-30,48.5316
2020-03-31,50.3869
2020-02-28,53.1495
2020-01-31,54.1014
2019-12-31,53.7283
2019-11-29,52.9801
2019-10-31,51.9949
2019-09-30,51.0069
2019-08-30,49.9990
2019-07-31,48.9002
2019-06-28,47.0917
2019-05-31,44.2547
2019-04-30,42.1227
2019-03-29,40.3414
2019-02-28,38.7243
2019-01-31,38.6563
2018-12-31,38.6969
2018-11-30,39.9030
2018-10-31,41.4245
2018-09-28,44.0474
2018-08-31,46.6291
2018-07-31,49.2094
2018-06-29,50.5462
2018-05-31,52.8676
2018-04-30,55.5133
2018-03-29,57.2596
2018-02-28,59.2371
2018-01-31,60.3414
2017-12-29,60.6352
2017-11-30,60.0002
2017-10-31,58.9883
2017-09-29,58.9558
2017-08-31,59.1102
2017-07-31,59.8613
2017-06-30,59.6058
2017-05-31,58.7931
2017-04-28,58.2311
2017-03-31,57.6927
2017-02-28,57.2838
2017-01-31,56.6288
2016-12-30,57.2475
2016-11-30,57.7373
2016-10-31,58.1705
2016-09-30,58.7633
2016-08-31,59.0477
2016-07-29,58.9773
2016-06-30,58.2192
2016-05-31,57.6373
2016-04-29,56.9525
2016-03-31,56.5697
2016-02-29,55.6619
2016-01-29,54.7075
2015-12-31,53.9704
2015-11-30,52.7513
2015-10-30,51.3896
2015-09-30,49.8594
2015-08-31,50.1856
2015-07-31,50.1727
2015-06-30,49.1803
2015-05-29,49.0461
2015-04-30,48.7398
2015-03-31,48.5462
2015-02-27,48.3048
2015-01-30,47.5614
2014-12-31,47.2621
2014-11-28,46.2609
2014-10-31,44.8196
2014-09-30,44.0623
2014-08-29,44.2272
2014-07-31,44.0266
2014-06-30,43.9928
2014-05-30,43.7021
2014-04-30,43.3539
2014-03-31,43.3978
2014-02-28,43.1210
2014-01-31,42.9140
2013-12-31,42.5096
2013-11-29,41.5773
2013-10-31,40.7108
2013-09-30,39.7908
2013-08-30,39.4367
2013-07-31,39.2466
2013-06-28,38.8197
2013-05-31,38.6379
2013-04-30,38.2346
2013-03-28,37.6496
2013-02-28,36.9524
2013-01-31,36.4312
2012-12-31,35.8211
2012-11-30,35.5594
2012-10-31,35.2555
2012-09-28,35.4058
2012-08-31,35.2958
2012-07-31,35.5231
2012-06-29,35.6399
2012-05-31,35.4579
2012-04-30,35.4356
2012-03-30,34.6684
2012-02-29,34.0405
2012-01-31,33.6408
2011-12-30,33.3904
2011-11-30,33.6443
2011-10-31,33.7041
2011-09-30,33.5698
2011-08-31,34.5007
2011-07-29,34.6088
2011-06-30,34.1585
2011-05-31,33.4987
2011-04-29,32.4929
2011-03-31,31.6416
2011-02-28,30.8046
2011-01-31,29.8970
2010-12-31,29.2959
2010-11-30,28.8946
2010-10-29,29.0915
2010-09-30,29.2702
2010-08-31,29.3703
2010-07-30,30.2698
2010-06-30,30.8654
2010-05-28,31.5404
2010-04-30,31.8126
2010-03-31,31.2704
2010-02-26,30.9285
2010-01-29,30.8185
2009-12-31,30.5203
2009-11-30,29.7417
2009-10-30,29.1720
2009-09-30,28.5811
2009-08-31,27.5802
2009-07-31,26.6665
2009-06-30,25.8816
2009-05-29,25.7023
2009-04-30,25.9310
2009-03-31,26.4006
2009-02-27,27.3909
2009-01-30,29.2724
2008-12-31,30.7138
2008-11-28,32.1100
2008-10-31,34.1260
2008-09-30,35.6668
2008-08-29,36.0991
2008-07-31,36.3000
2008-06-30,36.3454
2008-05-30,37.0050
2008-04-30,36.9809
2008-03-31,37.2222
2008-02-29,37.4651
2008-01-31,37.5475
2007-12-31,37.1094
2007-11-30,35.8294
2007-10-31,34.7287
2007-09-28,33.6490
2007-08-31,32.3793
2007-07-31,31.3548
2007-06-29,30.7016
2007-05-31,29.6584
2007-04-30,28.8890
2007-03-30,28.5198
2007-02-28,28.2102
2007-01-31,28.0771
2006-12-29,28.0289
2006-11-30,28.1197
2006-10-31,27.7882
2006-09-29,27.4892
2006-08-31,27.3431
2006-07-31,26.7113
2006-06-30,26.2181
2006-05-31,25.8248
2006-04-28,25.4682
2006-03-31,25.0740
2006-02-28,24.7938
2006-01-31,24.5938
2005-12-30,24.6687
2005-11-30,24.7528
2005-10-31,24.6862
2005-09-30,24.6662
2005-08-31,24.7247
2005-07-29,24.8650
2005-06-30,24.7446
2005-05-31,24.7409
2005-04-29,24.4218
2005-03-31,24.2790
2005-02-28,24.1114
2005-01-31,23.8484
2004-12-31,23.3982
2004-11-30,22.8350
2004-10-29,22.4825
2004-09-30,22.1220
2004-08-31,21.7091
2004-07-30,21.3228
2004-06-30,21.0934
2004-05-28,20.5107
2004-04-30,20.1028
2004-03-31,19.7100
2004-02-27,19.5964
2004-01-30,19.4678
2003-12-31,19.4333
2003-11-28,19.0561
2003-10-31,18.6004
2003-09-30,18.1784
2003-08-29,17.5938
2003-07-31,17.0411
2003-06-30,16.4778
2003-05-30,16.1115
2003-04-30,16.0534
2003-03-31,15.9964
2003-02-28,16.1885
2003-01-31,16.4146
2002-12-31,16.7733
2002-11-29,16.8043
2002-10-31,17.1290
2002-09-30,17.1516
2002-08-30,16.8357
2002-07-31,16.4847
2002-06-28,16.0623
2002-05-31,15.8015
2002-04-30,15.2037
2002-03-28,14.5549
2002-02-28,14.0534
2002-01-31,13.8119
2001-12-31,13.5163
